plan_id	selector_sha	deployment_id	scenario_id	stratum_id	semantic_key_json	implementation_key	shape_regime	selection_reason	sampling_unit	target_launch_signature	target_indices	warmup_indices	weight	weight_basis	inclusion_probability	seed	split_role	expected_capture_bytes	execution_scope	eligibility_status
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	prefill	prefill|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""prefill""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:0	0	NA	173	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	prefill	prefill|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""prefill""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:230	230	NA	173	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	prefill	prefill|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""prefill""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:461	461	NA	173	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	prefill	prefill|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""prefill""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:691	691	NA	173	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	decode1	decode1|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""decode1""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:0	0	NA	185	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	decode1	decode1|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""decode1""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:246	246	NA	185	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	decode1	decode1|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""decode1""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:493	493	NA	185	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B8	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	decode1	decode1|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""decode1""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:739	739	NA	185	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B12	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	prefill	prefill|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""prefill""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:0	0	NA	115.333333333	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
LAYER_ANCHOR_CHEAP_V1__B12	d6555f5b478ea09adb364bca5e440bde1545e4b793c76f68c850ddf83da36c07	C12_FROZEN_LLAMA32_1B	prefill	prefill|OPERATOR_UNKNOWN|IMPLEMENTATION_UNKNOWN|DTYPE_UNKNOWN|SHAPE_UNKNOWN|KV_LAYOUT_UNKNOWN|TP_UNKNOWN	"{""operator"": ""UNKNOWN"", ""phase"": ""prefill""}"	UNKNOWN_CHEAP	UNKNOWN_CHEAP	INFEASIBLE_NO_CHEAP_LAYER_ID; phase-order fallback only	compute_kernel	opaque-index:138	138	NA	115.333333333	phase_stratum_N_over_n	NA	15001	RETROSPECTIVE_TEST	NA	OFFLINE_ONLY_NOT_CAPTURE_AUTHORIZATION	INFEASIBLE_FINE_STRATA
