input_id	revision	path	blob_id	sha256	role	availability	raw_path	raw_status
C12_ARM_RESULTS	a268aba0d01310294074ded5bb8017e2092394c0	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_C5_FULL_ROI_FAIR_PERFORMANCE/ARM_RESULTS.tsv	55a4e981d5aefd7804654c89ae9b665e16d14377	3fc10e5f643e37ee2cc4b8210745249ea0e2c7d3c540608edaf0e6a48086ac15	formal 22-arm total anchors	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
C12_ARM_STATUS	a268aba0d01310294074ded5bb8017e2092394c0	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_C5_FULL_ROI_FAIR_PERFORMANCE/ARM_STATUS.tsv	feecb2dfdb4f5b2544f204d9f79b3ec379a22a3f	7e702efe14cc68b0e1bac0ac04b75cfc7d057eb802b60ea6c19e39f30a3e37e6	manifest-authorized raw locations	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
OPERATOR_MAP	8801f2e9fea4e0df1d79853a5e4440c4da463486	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv	f735d20188c6ca594ad636b72418e5bab70e48e1	095bac392a799bc34097eba768d97e0c4db696ca043a3df6d4fb06ae4075721e	trace-informed oracle labels only	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
TRACE_SCAN_PREFILL	8801f2e9fea4e0df1d79853a5e4440c4da463486	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_OPERATOR_AWARE_CHARACTERIZATION/TRACE_SCAN_prefill.tsv	e19879f131ccf985db18f462d9c5170a129e7749	ee62325e370d0d8857d51fd30132c56fb6eeb63d7ed5a28f817128b16eccba9f	existing scan; no rescan	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
TRACE_SCAN_DECODE	8801f2e9fea4e0df1d79853a5e4440c4da463486	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_OPERATOR_AWARE_CHARACTERIZATION/TRACE_SCAN_decode1.tsv	01a2faf869b3a76c966bd54c6c6f8c673cacdf59	56a64cbeca483d508aaba85ecef3c4ca2d3ea150ca1df2becfc331e019e2007a	existing scan; no rescan	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
OPERATOR_CONSERVATION	8801f2e9fea4e0df1d79853a5e4440c4da463486	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_OPERATOR_AWARE_CHARACTERIZATION/ARM_CONSERVATION.tsv	6c8ef32c78033d32fa939aa5229da813cfebb8a4	489fcc6bef6eac26538cf89ac0c35d300b9941310e25a7c7b9b3856a2472371b	historical conservation reference	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
C13_SUPERSEDING	9ab1e0708af66a533d9327f35f1a3e63a34c4285	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C13_EFFECTIVE_CONFIG_AUDIT/SUPERSEDING_C13_RESULTS.tsv	88cfc330d990e9272f911131d351f03b6f9da517	ec5c08744bd37d56cb0f6b23fb5081842d7afa65f8c59fc8ffb18e87d40668c1	accepted-after-EQ only	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
C13_INVALIDATED	9ab1e0708af66a533d9327f35f1a3e63a34c4285	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C13_EFFECTIVE_CONFIG_AUDIT/INVALIDATED_ARM_AUDIT.tsv	8e018be10d38883c00a7863f867d2dc42f65d9a1	793840430cbac4c5f71c7f3c2eb9d98bafa9941247534c3659c3f86d5c6e6536	mandatory exclusion list	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
C13_MANIFEST	9ab1e0708af66a533d9327f35f1a3e63a34c4285	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C13_EFFECTIVE_CONFIG_AUDIT/C13_EFFECTIVE_CONFIG_AUDIT_MANIFEST.tsv	4fb6b70c6da6c675b55780b63fbf2ceeb19418e1	4aca7b3fd07a7d2cb2a3e7e85a7f696c22206f47a45f0c8fad58f88c5e2bb075	accepted raw locations	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
C14_RESULTS	d3ac4c7b12f8e9253e6d14f34e58dbf484b39a05	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C14_DUAL_PATH_EXPLORATION/MICRODIAGNOSTIC_RESULTS.tsv	3327f2f648879e604b1bbdbd3052255a1af3109b	1a926f9de5d55d20cd76f8b70b498fdf9dc6a8abefd462ee53299e3e4f2e8815	cold micro boundary	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
C14_SELECTORS	d3ac4c7b12f8e9253e6d14f34e58dbf484b39a05	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C14_DUAL_PATH_EXPLORATION/C14_MICRODIAGNOSTIC_SELECTORS.tsv	be6aeb63a558538ef3fba4bce1c1e756810e22ee	03cfed516445c41bd275445753ad0e88a63859a315d1db20235577638c18d434	cold micro identity joins	GIT_BLOB_VERIFIED	NA	COMPACT_ONLY
