source	identity	roi	arm	lseg	compute_index	metric	value	unit
C12	decode1:F0:NONE	decode1	F0	NONE	0	gpu_sim_cycle	17451	cycles
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_l1_tlb_accesses	1568	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_l1_tlb_hits	1536	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_l1_tlb_misses	32	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_l2_tlb_accesses	32	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_l2_tlb_hits	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_l2_tlb_misses	32	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_translation_walk_starts	2	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_pte_requests	7	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_pte_l2_only_responses	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_pte_dram_responses	7	events
C12	decode1:F0:NONE	decode1	F0	NONE	0	vm_translation_requester_latency_cycles_total	70824	cycles
C12	decode1:F0:NONE	decode1	F0	NONE	1	gpu_sim_cycle	5381	cycles
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_l1_tlb_accesses	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_l1_tlb_hits	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_l1_tlb_misses	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_l2_tlb_accesses	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_l2_tlb_hits	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_l2_tlb_misses	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_translation_walk_starts	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_pte_requests	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_pte_l2_only_responses	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_pte_dram_responses	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	1	vm_translation_requester_latency_cycles_total	90	cycles
C12	decode1:F0:NONE	decode1	F0	NONE	2	gpu_sim_cycle	5978	cycles
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_l1_tlb_accesses	2	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_l1_tlb_hits	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_l1_tlb_misses	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_l2_tlb_accesses	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_l2_tlb_hits	1	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_l2_tlb_misses	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_translation_walk_starts	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_pte_requests	0	events
C12	decode1:F0:NONE	decode1	F0	NONE	2	vm_pte_l2_only_responses	0	events
