seed	budget	roi	metric	reference_value	estimate	absolute_error	relative_error_fraction	relative_error_percent	interpretation
15002	8	prefill	gpu_sim_cycle	62490238	44941594	17548644	0.280822166176	28.0822166176	predeclared random-selection variability only; not a context-bias or population CI
15002	8	prefill	vm_l1_tlb_accesses	94168155	57651039	36517116	0.387786253219	38.7786253219	predeclared random-selection variability only; not a context-bias or population CI
15002	8	prefill	vm_l1_tlb_misses	1119527	631969	487558	0.435503565345	43.5503565345	predeclared random-selection variability only; not a context-bias or population CI
15002	8	prefill	vm_l2_tlb_accesses	1119527	631969	487558	0.435503565345	43.5503565345	predeclared random-selection variability only; not a context-bias or population CI
15002	8	prefill	vm_l2_tlb_misses	45227	14705	30522	0.674862360979	67.4862360979	predeclared random-selection variability only; not a context-bias or population CI
15002	8	prefill	vm_translation_walk_starts	20816	5709	15107	0.725739815527	72.5739815527	predeclared random-selection variability only; not a context-bias or population CI
15002	8	prefill	vm_pte_requests	20899	5709	15190	0.726829034882	72.6829034882	predeclared random-selection variability only; not a context-bias or population CI
15002	8	prefill	vm_pte_dram_responses	8629	1730	6899	0.799513269208	79.9513269208	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	gpu_sim_cycle	34564626	5957185	28607441	0.827650818499	82.7650818499	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	vm_l1_tlb_accesses	76015393	350760	75664633	0.995385671426	99.5385671426	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	vm_l1_tlb_misses	57947	8325	49622	0.856334236457	85.6334236457	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	vm_l2_tlb_accesses	57947	8325	49622	0.856334236457	85.6334236457	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	vm_l2_tlb_misses	22220	0	22220	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	vm_translation_walk_starts	15691	0	15691	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	vm_pte_requests	15796	0	15796	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	8	decode1	vm_pte_dram_responses	4134	0	4134	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	12	prefill	gpu_sim_cycle	62490238	81941911.3333	19451673.3333	0.311275392059	31.1275392059	predeclared random-selection variability only; not a context-bias or population CI
