source	exp_id	roi	l2_mode	gate_status	raw_sha256	per_kernel_cycles	status
C13	C13-CAP-P320-REPAIRED-EXACTMODE-A1	prefill	0	EQ1_THEN_EQ2_PASS	f5c4146886b6ddf9baf2ae2e0c6e34d84834adbd68a9ac2d35dd85fce5bbc97b	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	prefill	0	EQ1_THEN_EQ2_PASS	2c1ce74e99b5f71c13798019ca5e56fe26d41b7d0b17d5a84fdfa385af1a3532	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-EQ-P320S10-C12BIN-EXACTMODE	prefill	0	EQ1_THEN_EQ2_PASS	d6392f353b088aee9c0af33f82e5348bbceb82148d78bbcde7ff16319e80041d	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-EQ-P320S10-NEWBIN-EXACTMODE	prefill	0	EQ1_THEN_EQ2_PASS	9909edab804c8dd81b36ff289001c63d1c6f2eeb921dd2f7fcdf91b662f92c0f	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-LAT-D11-REPAIRED-EXACTMODE-A1	decode1	0	EQ1_THEN_EQ2_PASS	52cbf87c2aa56c6968da427cf6cb0c4ba37904a38f4ce289d49242f7dde4bcb9	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-LAT-P8-REPAIRED-EXACTMODE-A1	prefill	0	EQ1_THEN_EQ2_PASS	b1472f9d8ddd58c8f2ced51fdd2a966e8affabddbfefd1e8af0f2759d97db72c	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-LAT-P9-REPAIRED-EXACTMODE-A1	prefill	0	EQ1_THEN_EQ2_PASS	ed80813991a662ad99bdee68da09cf96c944f61b4f7b1b4c79b111ff6d2a8df7	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	decode1	0	EQ1_THEN_EQ2_PASS	d1333e869911484504495ab27d51314e88fe06360f652e8fefdb8ad933980378	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-SEL-D10-REPAIRED-EXACTMODE-A1	decode1	0	EQ1_THEN_EQ2_PASS	0124fc3b43f358a52f2c967f2788dc21b1603d503716c3d770f17817c561d5ad	PASS	ACCEPTED_AFTER_EQ_GATE
C13	C13-SEL-P10-REPAIRED-EXACTMODE-A1	prefill	0	EQ1_THEN_EQ2_PASS	09266489e647ffde321917091c013a09144d4cc31fc30a67d077a980e8a491f1	PASS	ACCEPTED_AFTER_EQ_GATE
