point_id	arm	arrival_target	rep	t_bg_start_ns	t_ready_ns	t_submit_end_ns	t_fg_first_kernel_start_ns	t_fg_last_kernel_end_ns	t_bg_end_ns	actual_arrival_fraction_of_b0	arrival_valid	background_active_at_ready	ready_to_fg_start_us	submit_to_fg_start_us	ready_to_fg_complete_us	foreground_gpu_duration_us	background_gpu_span_us	background_completion_extension_us	background_kernel_at_fg_start	gpu_interval_overlap	background_kernel_count	foreground_kernel_count	background_stream_ids	foreground_stream_ids
B0_A25	MONOLITHIC	0.25	0	1207955471	1208062313	1208102864	1208097999	1208127567	1208369871	0.2589832766302479	True	True	35.686	-4.865	65.254	29.568	414.4	1.8559879302978288	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A25	MONOLITHIC	0.25	1	1208400143	1208506915	1208545628	1208541519	1208574159	1208814480	0.2588135977645947	True	True	34.604	-4.109	67.244	32.64	414.337	1.7929879302978406	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A25	MONOLITHIC	0.25	2	1208848336	1208954779	1208992582	1208988624	1209020688	1209262864	0.25801610709602474	True	True	33.845	-3.958	65.909	32.064	414.528	1.9839879302978716	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A25	MONOLITHIC	0.25	3	1209292208	1209398350	1209435930	1209432336	1209462384	1209706097	0.25728648797371606	True	True	33.986	-3.594	64.034	30.048	413.889	1.3449879302978616	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A25	MONOLITHIC	0.25	4	1209735057	1209841358	1209881483	1209878289	1209907697	1210149233	0.2576719013971283	True	True	36.931	-3.194	66.339	29.408	414.176	1.6319879302978393	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A25	MONOLITHIC	0.25	5	1210178033	1210284211	1210321702	1210317842	1210348690	1210592370	0.2573737513903377	True	True	33.631	-3.86	64.479	30.848	414.337	1.7929879302978406	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A25	MONOLITHIC	0.25	6	1210620850	1210727133	1210765982	1210762642	1210793234	1211035314	0.25762826968881747	True	True	35.509	-3.34	66.101	30.592	414.464	1.9199879302978502	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A50	MONOLITHIC	0.5	0	1193111689	1193322219	1193362689	1193359178	1193390250	1193525962	0.5103213083709224	True	True	36.959	-3.511	68.031	31.072	414.273	1.7289879302978761	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A50	MONOLITHIC	0.5	1	1193556490	1193766256	1193806199	1193802122	1193833546	1193970730	0.5084693847515076	True	True	35.866	-4.077	67.29	31.424	414.24	1.6959879302978607	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A50	MONOLITHIC	0.5	2	1194002506	1194212225	1194250073	1194247787	1194276555	1194416555	0.5083554575131405	True	True	35.562	-2.286	64.33	28.768	414.049	1.5049879302978297	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A50	MONOLITHIC	0.5	3	1194445963	1194655611	1194693036	1194689067	1194718059	1194860363	0.5081833546636922	True	True	33.456	-3.969	62.448	28.992	414.4	1.8559879302978288	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A50	MONOLITHIC	0.5	4	1194888651	1195098302	1195136033	1195132940	1195162860	1195302892	0.5081906266150774	True	True	34.638	-3.093	64.558	29.92	414.241	1.696987930297837	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A50	MONOLITHIC	0.5	5	1195331084	1195540506	1195577412	1195574060	1195602540	1195745549	0.507635534326012	True	True	33.554	-3.352	62.034	28.48	414.465	1.9209879302978266	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
B0_A50	MONOLITHIC	0.5	6	1195773741	1195983275	1196020559	1196017965	1196046509	1196187981	0.5079070205110571	True	True	34.69	-2.594	63.234	28.544	414.24	1.6959879302978607	OVERLAP_BG_KERNEL_0:18992,1,1	True	1	2	13	16
