point_id	arm	arrival_fraction	rep	hypothetical_invalidation_t_ready_ns	remaining_background_wall_us	time_to_next_software_boundary_us	fraction_background_kernel_time_after_boundary	real_invalidation_authority	claim
B0_A25	MONOLITHIC	0.25	0	1208062313	307.558	307.558	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A25	MONOLITHIC	0.25	1	1208506915	307.565	307.565	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A25	MONOLITHIC	0.25	2	1208954779	308.085	308.085	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A25	MONOLITHIC	0.25	3	1209398350	307.747	307.747	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A25	MONOLITHIC	0.25	4	1209841358	307.875	307.875	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A25	MONOLITHIC	0.25	5	1210284211	308.159	308.159	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A25	MONOLITHIC	0.25	6	1210727133	308.181	308.181	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A50	MONOLITHIC	0.5	0	1193322219	203.743	203.743	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A50	MONOLITHIC	0.5	1	1193766256	204.474	204.474	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A50	MONOLITHIC	0.5	2	1194212225	204.33	204.33	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A50	MONOLITHIC	0.5	3	1194655611	204.752	204.752	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A50	MONOLITHIC	0.5	4	1195098302	204.59	204.59	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A50	MONOLITHIC	0.5	5	1195540506	205.043	205.043	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B0_A50	MONOLITHIC	0.5	6	1195983275	204.706	204.706	0.0	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A25	CHUNKED_GRAPH_32	0.25	0	1231278319	389.99	13.925	0.7565000586285848	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A25	CHUNKED_GRAPH_32	0.25	1	1231823058	387.331	11.843	0.755884686590849	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A25	CHUNKED_GRAPH_32	0.25	2	1232363935	391.511	14.423	0.7562030133182496	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A25	CHUNKED_GRAPH_32	0.25	3	1232907110	390.641	14.576	0.7600679267153421	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A25	CHUNKED_GRAPH_32	0.25	4	1233449958	390.002	13.649	0.7570008194369622	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A25	CHUNKED_GRAPH_32	0.25	5	1233994333	385.66	11.195	0.7570527713242615	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
