wheel_filename	package	version	size_bytes	sha256	source	compatibility_tag	status
accelerate-1.1.1-py3-none-any.whl	accelerate	1.1.1	333211	61edd81762131b8d4bede008643fa1e1f3bf59bec710ebda9771443e24feae02	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
aiohappyeyeballs-2.7.1-py3-none-any.whl	aiohappyeyeballs	2.7.1	15038	9243213661e29250eb41368e5daa826fc017156c3b8a11440826b2e3ed376472	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
aiohttp-3.14.3-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	aiohttp	3.14.3	1714075	48d67b87db6279c044760787eb01f6413032c2e6f3ba1cafaa492b1c8e578479	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
aiosignal-1.4.0-py3-none-any.whl	aiosignal	1.4.0	7490	053243f8b92b990551949e63930a839ff0cf0b0ebbe0597b0f3fb19e1a0fe82e	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
anyio-4.15.1-py3-none-any.whl	anyio	4.15.1	132079	6152fdbbf9a77fdec97731721bebf7c4c44f7c29b424b0065826173efc7ed101	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
async_timeout-5.0.1-py3-none-any.whl	async-timeout	5.0.1	6233	39e3809566ff85354557ec2398b55e096c8364bacac9405a7a1fa429e77fe76c	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
attrs-26.1.0-py3-none-any.whl	attrs	26.1.0	67548	c647aa4a12dfbad9333ca4e71fe62ddc36f4e63b2d260a37a8b83d2f043ac309	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
autoawq-0.2.7.post3-py3-none-any.whl	autoawq	0.2.7.post3	107376	02e09d71ca961ca131ac9963a2635fe8c34eb52d6b6a104b8574056aef8f2efe	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
certifi-2026.7.22-py3-none-any.whl	certifi	2026.7.22	136983	62f22742b58a1a33014a2b6b706588a8d7e2a88ae7bd1a6ebe8c992928483775	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
charset_normalizer-3.5.1-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	charset-normalizer	3.5.1	261644	96eefc178f8636b9c760c5829345307fd81cfae9ab1e80997dbddeb0f54ee9a3	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
datasets-5.0.1-py3-none-any.whl	datasets	5.0.1	559079	9fbf73688f8c18f7529b4fe592abd04015f81d1e58001e4bac73ffb2b39d7cc4	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
dill-0.4.1-py3-none-any.whl	dill	0.4.1	120019	1e1ce33e978ae97fcfcff5638477032b801c46c7c65cf717f95fbc2248f79a9d	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
