stage_id	owner	execution_status	scientific_status	artifact_or_gate	limitation
C16-0.5	H	PASS_HARDENED	TEMPORAL_SNAPSHOT_VALIDATED	Runtime Object Map V2	No real deployment allocation map consumed yet
C16-0.8	H	PASS_HARDENED	OFFLINE_ADMISSION_VALIDATED	NVBit parser, memory-space, and order fixtures	Fixture PASS is not native capture evidence
C16-4.4	H	NO_GO	FULL_TRACER_FALLBACK	Memory-only observer audit	No paired real full-tracer/memory-only tiny capture
C16-4.5	H	PASS_EXPLORATORY_HISTORICAL	EXPLORATORY_ONLY	LLAMA_S0_V1/MEMORY_FINGERPRINTS.tsv	Two SHA-verified M4A selected-PC rows; no C16 committed capture, so no formal table rows
C16-4.5-FORMAL	H	PASS_FORMAL_ADMITTED	SELECTED_TARGET_STRUCTURAL_FINGERPRINT	LLAMA_S0_FORMAL_V1/MEMORY_FINGERPRINTS.tsv	Six Recovery-V2 raw traces SHA/size closed; formal S0 selected target only, UNKNOWN_RUNTIME object attribution
C16-4.6-FORMAL	H	PASS_FOR_SET_OVERLAP_ONLY	DECODE2_3_4_SET_RELATIONS	LLAMA_S0_FORMAL_V1/DECODE_CROSS_STEP_OVERLAP.tsv	Pairwise and three-way GPU-VA set overlap; no temporal/global-L2/cache/TLB claim
C16-ROUTE-B	H	READY_FOR_REVIEW	PREPARED_NOT_AUTHORIZED_TO_RUN	ROUTE_B_CAPTURE_CONTRACT_V1/README.md	Exact S0 duration-mass census absent: zero selected representatives; two static-map anchors and future qualification contract only
C16-4.6	H	PASS_FOR_SET_OVERLAP_ONLY	ORDER_BOUNDARY_ENFORCED	LLAMA_S0_V1/CROSS_CAPTURE_OVERLAP.tsv;ORDER_MODEL_AUDIT.md	No Decode2/3/4 input and no global L2 order/reuse/MRC
C16-5.1	H	PENDING	NO_DYNAMIC_FINGERPRINT	Unified fingerprint schema deferred	Requires G/C/A fixed artifacts
C16-5.2	H	PENDING	NO_DYNAMIC_FINGERPRINT	Within-deployment analysis deferred	Requires controlled runtime implementation evidence
C16-5.3	H	PENDING	NO_DYNAMIC_FINGERPRINT	Pairwise analysis deferred	Requires pair identity/confound audit
C16-5.5	H	PENDING	NO_DYNAMIC_FINGERPRINT	TLB/cache problem map deferred	Requires measured/static evidence and C/A integration
