phase	workload	mode	point	strict_status	immutable_attempt_dir	validation_receipt
R1	BICG	IO	A_l2dram256	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_A_l2dram256_IO_BICG_17f8045e-c206-49de-95c6-15bf04a31d69	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	OO	A_l2dram256	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_A_l2dram256_OO_BICG_a5473bd5-0871-4455-96c8-2d0087d476e8	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	IO	B_scheduler256	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_B_scheduler256_IO_BICG_eba6d345-5a24-447b-87b1-1f2067042dd3	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	OO	B_scheduler256	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_B_scheduler256_OO_BICG_c98b07f1-d896-4da6-bf9d-e9c8b775192f	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	IO	C_return256_768	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_C_return256_768_IO_BICG_aa059e1a-a270-4764-bf4f-7f361a80ce3c	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	OO	C_return256_768	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_C_return256_768_OO_BICG_b3eb2c89-5857-4138-8b53-50da953d95df	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	IO	D_full	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_D_full_IO_BICG_6e5a496d-10b3-4468-903b-826590285e1d	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	OO	D_full	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_D_full_OO_BICG_68d7beb1-587d-4064-8391-0e1b25d6cc5f	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	IO	E_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_E_dram1700_IO_BICG_ba9a1148-c994-419d-94b1-a258d59ddeb7	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	OO	E_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_E_dram1700_OO_BICG_7eb34930-7335-4263-a8dd-03e219691b04	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	IO	F_full_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_F_full_dram1700_IO_BICG_6cae8e74-9ff8-422b-84e4-8d49638a69e3	ROW_LOCAL_VALIDATION_V1.json
R1	BICG	OO	F_full_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-runs/sg3_queuechain_F_full_dram1700_OO_BICG_b3c56644-2675-4bcd-8e0f-6c96f94ad235	ROW_LOCAL_VALIDATION_V1.json
R4	BICG	OO	F_capacity20MiB	PASS	/workspace/wave-a-sg3-queue-chain-r4-runs/sg3_queuechain_ceiling_F_capacity20MiB_OO_BICG_d79538e9-afaa-487c-9bf2-cddb154352f0	ROW_LOCAL_VALIDATION_V1.json
R4	BICG	IO	F_capacity20MiB	PASS	/workspace/wave-a-sg3-queue-chain-r4-runs/sg3_queuechain_ceiling_F_capacity20MiB_IO_BICG_94815fb0-08e2-4363-80af-1d8105fa8fd2	ROW_LOCAL_VALIDATION_V1.json
R3	GESUMMV	IO	F_full_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-r3-runs/sg3_queuechain_F_full_dram1700_IO_GESUMMV_878fcea9-4e1e-4fb9-8202-9dfd536e83ce	ROW_LOCAL_VALIDATION_V1.json
R3	GESUMMV	OO	F_full_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-r3-runs/sg3_queuechain_F_full_dram1700_OO_GESUMMV_51eab426-3980-4d5e-b0f2-10e8e24acffb	ROW_LOCAL_VALIDATION_V1.json
R3	GESUMMV	IO	E_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-r3-runs/sg3_queuechain_E_dram1700_IO_GESUMMV_95e5acc8-f72e-4dc2-91fb-2e4b84425712	ROW_LOCAL_VALIDATION_V1.json
R3	GESUMMV	OO	E_dram1700	PASS	/workspace/wave-a-sg3-queue-chain-r3-runs/sg3_queuechain_E_dram1700_OO_GESUMMV_cb1f0372-1157-4d68-a79b-c8afd0758196	ROW_LOCAL_VALIDATION_V1.json
