static_index	nomalized_class	oiginal_object_label	active_addess_count	active_addess_faction
12	EXPERT_DOWN_WEIGHT	weight	0	0
12	EXPERT_DOWN_INPUT	input	0	0
12	EXPERT_DOWN_OUTPUT	output	0	0
12	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
14	EXPERT_DOWN_WEIGHT	weight	0	0
14	EXPERT_DOWN_INPUT	input	0	0
14	EXPERT_DOWN_OUTPUT	output	0	0
14	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
101	EXPERT_DOWN_WEIGHT	weight	0	0
101	EXPERT_DOWN_INPUT	input	0	0
101	EXPERT_DOWN_OUTPUT	output	0	0
101	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
103	EXPERT_DOWN_WEIGHT	weight	0	0
103	EXPERT_DOWN_INPUT	input	0	0
103	EXPERT_DOWN_OUTPUT	output	0	0
103	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
105	EXPERT_DOWN_WEIGHT	weight	0	0
105	EXPERT_DOWN_INPUT	input	0	0
105	EXPERT_DOWN_OUTPUT	output	0	0
105	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
107	EXPERT_DOWN_WEIGHT	weight	0	0
107	EXPERT_DOWN_INPUT	input	0	0
107	EXPERT_DOWN_OUTPUT	output	0	0
107	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
109	EXPERT_DOWN_WEIGHT	weight	0	0
109	EXPERT_DOWN_INPUT	input	0	0
109	EXPERT_DOWN_OUTPUT	output	0	0
109	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
111	EXPERT_DOWN_WEIGHT	weight	0	0
111	EXPERT_DOWN_INPUT	input	0	0
111	EXPERT_DOWN_OUTPUT	output	0	0
111	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
113	EXPERT_DOWN_WEIGHT	weight	0	0
113	EXPERT_DOWN_INPUT	input	0	0
113	EXPERT_DOWN_OUTPUT	output	0	0
113	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
115	EXPERT_DOWN_WEIGHT	weight	0	0
115	EXPERT_DOWN_INPUT	input	0	0
115	EXPERT_DOWN_OUTPUT	output	0	0
115	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
117	EXPERT_DOWN_WEIGHT	weight	0	0
117	EXPERT_DOWN_INPUT	input	0	0
117	EXPERT_DOWN_OUTPUT	output	0	0
117	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
119	EXPERT_DOWN_WEIGHT	weight	0	0
119	EXPERT_DOWN_INPUT	input	0	0
119	EXPERT_DOWN_OUTPUT	output	0	0
119	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
121	EXPERT_DOWN_WEIGHT	weight	0	0
121	EXPERT_DOWN_INPUT	input	0	0
121	EXPERT_DOWN_OUTPUT	output	0	0
121	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
123	EXPERT_DOWN_WEIGHT	weight	0	0
123	EXPERT_DOWN_INPUT	input	0	0
123	EXPERT_DOWN_OUTPUT	output	0	0
123	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
125	EXPERT_DOWN_WEIGHT	weight	0	0
125	EXPERT_DOWN_INPUT	input	0	0
125	EXPERT_DOWN_OUTPUT	output	0	0
125	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
127	EXPERT_DOWN_WEIGHT	weight	0	0
127	EXPERT_DOWN_INPUT	input	0	0
127	EXPERT_DOWN_OUTPUT	output	0	0
127	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
129	EXPERT_DOWN_WEIGHT	weight	0	0
129	EXPERT_DOWN_INPUT	input	0	0
129	EXPERT_DOWN_OUTPUT	output	0	0
129	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
131	EXPERT_DOWN_WEIGHT	weight	0	0
131	EXPERT_DOWN_INPUT	input	0	0
131	EXPERT_DOWN_OUTPUT	output	0	0
131	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
133	EXPERT_DOWN_WEIGHT	weight	0	0
133	EXPERT_DOWN_INPUT	input	0	0
133	EXPERT_DOWN_OUTPUT	output	0	0
133	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
135	EXPERT_DOWN_WEIGHT	weight	0	0
135	EXPERT_DOWN_INPUT	input	0	0
135	EXPERT_DOWN_OUTPUT	output	0	0
135	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
137	EXPERT_DOWN_WEIGHT	weight	0	0
137	EXPERT_DOWN_INPUT	input	0	0
137	EXPERT_DOWN_OUTPUT	output	0	0
137	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
139	EXPERT_DOWN_WEIGHT	weight	0	0
139	EXPERT_DOWN_INPUT	input	0	0
139	EXPERT_DOWN_OUTPUT	output	0	0
139	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
141	EXPERT_DOWN_WEIGHT	weight	0	0
141	EXPERT_DOWN_INPUT	input	0	0
141	EXPERT_DOWN_OUTPUT	output	0	0
141	OTHER_OR_UNCLASSIFIED	UNMAPPED_ADDRESS	0	0
143	EXPERT_DOWN_WEIGHT	weight	0	0
