roi	arm	lseg	terminal_status	framework_anchor	core_head	binary_sha256	config_sha256	trace_sha256	registration_sha256	charged_bits	gpu_tot_sim_cycle	gpu_tot_sim_insn	gpu_tot_ipc	speedup_vs_f0	vm_l1_tlb_accesses	vm_l1_tlb_hits	vm_l1_tlb_misses	vm_l2_tlb_accesses	vm_l2_tlb_hits	vm_l2_tlb_misses	vm_l2_tlb_evictions	vm_l2_tlb_port_stalls	vm_translation_mshr_allocations	vm_translation_mshr_merges	vm_translation_mshr_full_events	vm_translation_requester_mshr_wait_cycles_total	vm_translation_requester_latency_cycles_total	vm_translation_requester_latency_cycles_max	vm_translation_walk_starts	vm_pte_requests	vm_pte_responses	vm_pte_l2_only_responses	vm_pte_dram_responses	vm_pte_memory_wait_cycles_total	vm_pte_memory_wait_cycles_max	vm_pwc_accesses	vm_pwc_hits	vm_pwc_misses	vm_pwc_evictions	segment_lookup_attempts	segment_hits	segment_l2_suppressed	subentry_hits	subentry_misses	l1d_summary	l2_summary	l2_queue_summary	native_memory_latency_summary	object_conservation_pass	pte_conservation_pass	kernel_markers	telemetry_records	peak_rss_kb	elapsed_seconds	raw_log_sha256	parser_version
decode1	F0	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	cef8605b2168904a9f41e71f95967c478d8a5b358b16dcfc993df06ca23b820b	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	66000	34564626	4128551787	119.4444	1.000000000	76015393	75957446	57947	57947	35727	22220	14923	309614	15691	6529	135022	10254160	775156250	8815	15691	15796	15796	11662	4134	7337292	8661	47073	46968	105	0	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1258;avg_icnt2mem_latency=793;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS	740	740	659456	30657.0	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d	98ad0812bb6f112abe984f3d1c9a7a5bb3d3f0c5a48c7462726803bccfcdb3e0
decode1	F1	NONE	PENDING	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_VALID	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED
decode1	F2	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	fe9f0913fdbb57ce4393ed4be66e49a94a216b4111b31beec2faa6d88aad42e4	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	59125	34564626	4128551787	119.4444	1.000000000	76015393	75957446	57947	57947	35727	22220	15003	309614	15691	6529	135022	10254160	775156250	8815	15691	15796	15796	11662	4134	7337292	8661	47073	46968	105	0	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1258;avg_icnt2mem_latency=793;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS	740	740	519128	32832.0	62acffd0a634a532db5fe5a1e8028ff2898aa2ee8a8753121c87205e8023a642	98ad0812bb6f112abe984f3d1c9a7a5bb3d3f0c5a48c7462726803bccfcdb3e0
decode1	F5	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	ddbe7ffdb7d8dccbd3244b7ccf4df927bc86ecc43fd27adb34cd9a4d6507ebcc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	64745	34558846	4128551787	119.4644	1.000167251	76008925	75951008	57917	57917	35789	22128	15035	309708	15691	6437	139758	10286468	775122973	9431	15691	15786	15786	11657	4129	7376887	7518	47073	46978	95	1	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1254;avg_icnt2mem_latency=789;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS	740	740	591864	33548.0	673bce96c31510bd471baf9d9076217df48f8f5d23dc0f2b0ef7b2082a3a3c5c	88b6a349fe3a35d26935d7d95b8988b5a34c552961176274278fc36240adb6da
decode1	F7	10	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	9044b52b024c13fee20ce5dbd70b433b02d746bf91f25e3816b4e01b4cd19af6	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	34432059	4128551787	119.9043	1.003850104	76029888	67948296	8081592	27816	25411	2405	0	167686	170	2235	0	879154	763442534	5613	170	183	183	79	104	113647	5001	510	497	13	0	76027483	8053776	8053776	NOT_EMITTED	NOT_EMITTED	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1285;avg_icnt2mem_latency=833;avg_mrq_latency=55;avg_icnt2sh_latency=2	1	PASS	740	740	569608	34676.0	da8055ea20b99d14267a992b59435af6f02d12da42a766f426082e7bc1d6b72a	ded37df70f40d91ad2e2d64ed62629a18dd12a62f1dbcb0ecbbc7d1cc065a2f4
decode1	F7	20	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	633986bbb2c4c9bc5d84c11beb00fdb69b33969a3e75379e20d3508a0b2c27ef	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	36035731	4128551787	114.5683	0.959176491	75823163	67873010	7950153	27856	25197	2659	0	168551	170	2489	0	863317	840864293	4332	170	182	182	78	104	70685	2257	510	498	12	0	75820504	7922297	7922297	NOT_EMITTED	NOT_EMITTED	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=445;avg_icnt2mem_latency=64;avg_mrq_latency=35;avg_icnt2sh_latency=2	1	PASS	740	740	585544	25907.0	14003dcfd4fe25434cabfbaece13260a55b56d7abdad138e1554bd09edf2e26f	ded37df70f40d91ad2e2d64ed62629a18dd12a62f1dbcb0ecbbc7d1cc065a2f4
decode1	F7	5	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f246f4cdbc2ea167657c466ac56621fbdde32b0ee6af5b82eeba4baf3bd5c2bc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	65300	33959029	4128551787	121.5745	1.017833166	68021271	67993414	27857	27857	25407	2450	0	168033	170	2280	0	872500	725504073	4490	170	182	182	78	104	120904	3826	510	498	12	0	76449032	8430211	8430211	NOT_EMITTED	NOT_EMITTED	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1457;avg_icnt2mem_latency=1006;avg_mrq_latency=58;avg_icnt2sh_latency=2	1	PASS	740	740	687660	24154.0	520600c19e2681fc6b8be6848076762af530071a4307358f7f6246c968e8d79a	82bab5d28dfc83462bb4ef2e3aab5cb2a1c0322096e475cfc87dd29ef6642215
decode1	F8	10	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f03a4e6d1be2c08ffcf3db09d08c36ddfe3da581d52233e456734acc4d274ce7	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	34432059	4128551787	119.9043	1.003850104	76029888	67948296	8081592	27816	25411	2405	0	167686	170	2235	0	879154	763442534	5613	170	183	183	79	104	113647	5001	510	497	13	0	76027483	8053776	8053776	25411	1989	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1285;avg_icnt2mem_latency=833;avg_mrq_latency=55;avg_icnt2sh_latency=2	1	PASS	740	740	676136	32270.0	d392792b5f1fd09f53affe9e36c07c34db57b8e07a236a761cd432b72a7ae963	88b6a349fe3a35d26935d7d95b8988b5a34c552961176274278fc36240adb6da
decode1	F8	20	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	6346b811f39f45e9a07c7a8d53ef5fa9e6039590047aedb47b3ed8291f091bfb	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	36035731	4128551787	114.5683	0.959176491	75823163	67873010	7950153	27856	25197	2659	0	168551	170	2489	0	863317	840864293	4332	170	182	182	78	104	70685	2257	510	498	12	0	75820504	7922297	7922297	25197	2217	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=445;avg_icnt2mem_latency=64;avg_mrq_latency=35;avg_icnt2sh_latency=2	1	PASS	740	740	564540	26474.0	8b1254b6ccc526766473ea17131086341c7058a78d3cd530d19238c6cc5b4d08	ded37df70f40d91ad2e2d64ed62629a18dd12a62f1dbcb0ecbbc7d1cc065a2f4
decode1	F8	5	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	4b8235cd50bcaec619a39de73175033ee5024401246537b1109d46e6007b1617	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	57734	33959029	4128551787	121.5745	1.017833166	68021271	67993414	27857	27857	25407	2450	0	168033	170	2280	0	872500	725504073	4490	170	182	182	78	104	120904	3826	510	498	12	0	76449032	8430211	8430211	25407	2044	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1457;avg_icnt2mem_latency=1006;avg_mrq_latency=58;avg_icnt2sh_latency=2	1	PASS	740	740	685528	26227.0	aca4ea013f92f0239cded624027b5766e2d577a672ff6ed726f3bab763aff5cc	ded37df70f40d91ad2e2d64ed62629a18dd12a62f1dbcb0ecbbc7d1cc065a2f4
