roi	arm	lseg	state	owner_pid	simulator_pid	lock_path	attempt_id	start_time	current_kernel_markers	expected_kernels	binary_sha256	config_sha256	trace_sha256	registration_sha256	updated_utc
decode1	F0	NONE	PASS	1149845		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f0.lock	P0_LOCK_GUARD	2026-09-08T07:49:41Z	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	cef8605b2168904a9f41e71f95967c478d8a5b358b16dcfc993df06ca23b820b	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:53+00:00
decode1	F1	NONE	PASS	3364182		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f1.lock	2026-09-09T14:17:55+00:00-pid3364182	2026-09-09T14:17:55+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	e7aa34ced62726c488ae3cdeed18753d19ea5b01a0ab6323ca14d993119d7d49	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:54+00:00
decode1	F2	NONE	PASS	1159487		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f2.lock	2026-09-08T07:57:42+00:00-pid1159487	2026-09-08T07:57:42+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	fe9f0913fdbb57ce4393ed4be66e49a94a216b4111b31beec2faa6d88aad42e4	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:54+00:00
decode1	F5	NONE	PASS	1159487		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f5.lock	2026-09-08T07:57:42+00:00-pid1159487	2026-09-08T07:57:42+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	ddbe7ffdb7d8dccbd3244b7ccf4df927bc86ecc43fd27adb34cd9a4d6507ebcc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:55+00:00
decode1	F7	10	PASS	1174507		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f7_lseg10.lock	2026-09-08T08:09:28+00:00-pid1174507	2026-09-08T08:09:28+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	9044b52b024c13fee20ce5dbd70b433b02d746bf91f25e3816b4e01b4cd19af6	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:55+00:00
decode1	F7	20	PASS	2754868		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f7_lseg20.lock	2026-09-09T04:59:36+00:00-pid2754868	2026-09-09T04:59:36+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	633986bbb2c4c9bc5d84c11beb00fdb69b33969a3e75379e20d3508a0b2c27ef	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:56+00:00
decode1	F7	5	PASS	2464644		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f7_lseg5.lock	2026-09-09T01:05:37+00:00-pid2464644	2026-09-09T01:05:37+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f246f4cdbc2ea167657c466ac56621fbdde32b0ee6af5b82eeba4baf3bd5c2bc	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:56+00:00
decode1	F8	10	PASS	1747213		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f8_lseg10.lock	2026-09-08T16:04:43+00:00-pid1747213	2026-09-08T16:04:43+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f03a4e6d1be2c08ffcf3db09d08c36ddfe3da581d52233e456734acc4d274ce7	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:57+00:00
decode1	F8	20	PASS	2958617		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f8_lseg20.lock	2026-09-09T07:54:12+00:00-pid2958617	2026-09-09T07:54:12+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	6346b811f39f45e9a07c7a8d53ef5fa9e6039590047aedb47b3ed8291f091bfb	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:57+00:00
decode1	F8	5	PASS	2924337		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f8_lseg5.lock	2026-09-09T07:24:55+00:00-pid2924337	2026-09-09T07:24:55+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	4b8235cd50bcaec619a39de73175033ee5024401246537b1109d46e6007b1617	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:58+00:00
