record_type	roi	level	incoming_class	victim_class	raw_hit	raw_miss	raw_reservation_fail	hit_plus_miss	hit_plus_miss_plus_reservation_fail	hit_rate_hit_over_hit_plus_miss	hit_rate_hit_over_all_attempts	replacement_raw_count	replacement_row_total	replacement_global_total	replacement_row_normalized_share	replacement_total_normalized_share	source_raw_log_sha256
CACHE_LOCALITY	prefill	L1D	DATA_WEIGHT		1980870	247354	0	2228224	2228224	0.888990514	0.888990514						8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
CACHE_LOCALITY	prefill	L1D	DATA_KV_CACHE		1762	3289374	0	3291136	3291136	0.000535377	0.000535377						8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
CACHE_LOCALITY	prefill	L1D	DATA_UNKNOWN		4468644	128446102	174588448	132914746	307503194	0.033620378	0.014532025						8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
CACHE_LOCALITY	prefill	L2	DATA_WEIGHT		46410056	47717680	2893426	94127736	97021162	0.493053992	0.478349826						8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
CACHE_LOCALITY	prefill	L2	DATA_KV_CACHE		2701396	1392452	805318	4093848	4899166	0.659867196	0.551399157						8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
CACHE_LOCALITY	prefill	L2	DATA_UNKNOWN		317651314	291452654	22089264	609103968	631193232	0.521505902	0.503255260						8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	DATA_KV_CACHE								19890	74694	89736578	0.266286449	0.000221649	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	DATA_UNKNOWN								34716	74694	89736578	0.464776287	0.000386866	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	DATA_WEIGHT								20088	74694	89736578	0.268937264	0.000223855	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	OTHER								0	74694	89736578	0.000000000	0.000000000	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	PTE_L0								0	74694	89736578	0.000000000	0.000000000	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	PTE_L1								0	74694	89736578	0.000000000	0.000000000	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	PTE_L2								0	74694	89736578	0.000000000	0.000000000	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
L2_REPLACEMENT	prefill	L2	DATA_KV_CACHE	PTE_L3								0	74694	89736578	0.000000000	0.000000000	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7
