roi	arm	lseg	terminal_status	attempt	run_dir	simulator_exit	kernel_markers	expected_kernels	telemetry_records	raw_log_sha256	validation_json	failure_summary
decode1	F0	NONE	PASS	1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0	0	740	740	740	96097ee02fff4b31219339bf673e53af826d8b9c98cb3dd1d3657767b8e0025d	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f0/C12_ARM_VALIDATION.json	
decode1	F1	NONE	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f1	NOT_RUN	NOT_RUN	740	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f1/C12_ARM_VALIDATION.json	
decode1	F2	NONE	PASS	1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f2	0	740	740	740	62acffd0a634a532db5fe5a1e8028ff2898aa2ee8a8753121c87205e8023a642	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f2/C12_ARM_VALIDATION.json	
decode1	F5	NONE	PASS	1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f5	0	740	740	740	673bce96c31510bd471baf9d9076217df48f8f5d23dc0f2b0ef7b2082a3a3c5c	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f5/C12_ARM_VALIDATION.json	
decode1	F7	10	PASS	1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f7_lseg10	0	740	740	740	da8055ea20b99d14267a992b59435af6f02d12da42a766f426082e7bc1d6b72a	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f7_lseg10/C12_ARM_VALIDATION.json	
decode1	F7	20	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f7_lseg20	NOT_RUN	NOT_RUN	740	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f7_lseg20/C12_ARM_VALIDATION.json	
decode1	F7	5	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f7_lseg5	NOT_RUN	NOT_RUN	740	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f7_lseg5/C12_ARM_VALIDATION.json	
decode1	F8	10	PASS	1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f8_lseg10	0	740	740	740	d392792b5f1fd09f53affe9e36c07c34db57b8e07a236a761cd432b72a7ae963	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f8_lseg10/C12_ARM_VALIDATION.json	
decode1	F8	20	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f8_lseg20	NOT_RUN	NOT_RUN	740	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f8_lseg20/C12_ARM_VALIDATION.json	
decode1	F8	5	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f8_lseg5	NOT_RUN	NOT_RUN	740	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f8_lseg5/C12_ARM_VALIDATION.json	
