roi	arm	lseg	owner_pid	owner_start_time	baseline_gate_utc	early_before_both_f0	f0_identity_match	arm_terminal_gate	raw_log_bound	single_owner_evidence	promotion_decision	detail
decode1	F1	NONE	3364182	2026-09-09T14:17:55+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F2	NONE	1159487	2026-09-08T07:57:42+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F5	NONE	1159487	2026-09-08T07:57:42+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F7	10	1174507	2026-09-08T08:09:28+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F7	20	2754868	2026-09-09T04:59:36+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F7	5	2464644	2026-09-09T01:05:37+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F8	10	1747213	2026-09-08T16:04:43+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F8	20	2958617	2026-09-09T07:54:12+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F8	5	2924337	2026-09-09T07:24:55+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
decode1	F9	NONE	2073441	2026-09-08T20:06:31+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F1	NONE	3390022	2026-09-09T14:42:44+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F2	NONE	1159487	2026-09-08T07:57:42+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F5	NONE	1159487	2026-09-08T07:57:42+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F7	10	1174507	2026-09-08T08:09:28+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F7	20	2916742	2026-09-09T07:18:36+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F7	5	2681155	2026-09-09T04:00:36+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F8	10	1884093	2026-09-08T17:47:29+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F8	20	3238897	2026-09-09T12:12:37+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F8	5	2927900	2026-09-09T07:27:26+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
prefill	F9	NONE	2073442	2026-09-08T20:06:31+00:00	2026-09-10T13:44:39+00:00	True	PASS	PASS	PASS	PASS	PROMOTED_PASS	C12_ADDENDUM_PROMOTION_AUDIT
