roi	arm	lseg	vm_l1_tlb_accesses	vm_l1_tlb_hits	vm_l1_tlb_misses	vm_l2_tlb_accesses	vm_l2_tlb_hits	vm_l2_tlb_misses	vm_l2_tlb_evictions	vm_l2_tlb_port_stalls	vm_translation_mshr_allocations	vm_translation_mshr_merges	vm_translation_mshr_full_events	vm_translation_walk_starts	vm_pwc_accesses	vm_pwc_hits	vm_pwc_misses	vm_pte_requests	vm_pte_responses	vm_pte_dram_responses	segment_lookup_attempts	segment_hits	segment_l2_suppressed	subentry_hits	subentry_misses
decode1	F0	NONE	76015393	75957446	57947	57947	35727	22220	14923	309614	15691	6529	135022	15691	47073	46968	105	15796	15796	4134	0	0	0	NOT_EMITTED	NOT_EMITTED
decode1	F1	NONE	76008826	75950932	57894	57894	36692	21202	890	299499	15617	5585	132023	15617	46851	46763	88	15705	15705	4104	0	0	0	36692	16485
decode1	F2	NONE	76015393	75957446	57947	57947	35727	22220	15003	309614	15691	6529	135022	15691	47073	46968	105	15796	15796	4134	0	0	0	NOT_EMITTED	NOT_EMITTED
decode1	F5	NONE	76008925	75951008	57917	57917	35789	22128	15035	309708	15691	6437	139758	15691	47073	46978	95	15786	15786	4129	0	0	0	NOT_EMITTED	NOT_EMITTED
decode1	F7	10	76029888	67948296	8081592	27816	25411	2405	0	167686	170	2235	0	170	510	497	13	183	183	104	76027483	8053776	8053776	NOT_EMITTED	NOT_EMITTED
decode1	F7	20	75823163	67873010	7950153	27856	25197	2659	0	168551	170	2489	0	170	510	498	12	182	182	104	75820504	7922297	7922297	NOT_EMITTED	NOT_EMITTED
decode1	F7	5	68021271	67993414	27857	27857	25407	2450	0	168033	170	2280	0	170	510	498	12	182	182	104	76449032	8430211	8430211	NOT_EMITTED	NOT_EMITTED
decode1	F8	10	76029888	67948296	8081592	27816	25411	2405	0	167686	170	2235	0	170	510	497	13	183	183	104	76027483	8053776	8053776	25411	1989
decode1	F8	20	75823163	67873010	7950153	27856	25197	2659	0	168551	170	2489	0	170	510	498	12	182	182	104	75820504	7922297	7922297	25197	2217
decode1	F8	5	68021271	67993414	27857	27857	25407	2450	0	168033	170	2280	0	170	510	498	12	182	182	104	76449032	8430211	8430211	25407	2044
decode1	F9	NONE	76015393	75957446	57947	57947	35727	22220	15035	309614	15691	6529	135022	15691	47073	46968	105	15796	15796	4134	0	0	0	NOT_EMITTED	NOT_EMITTED
prefill	F0	NONE	94168155	93048628	1119527	1119527	1074300	45227	20048	935987	20816	24411	0	20816	62448	62365	83	20899	20899	8629	0	0	0	NOT_EMITTED	NOT_EMITTED
prefill	F1	NONE	94274247	93154320	1119927	1119927	971478	148449	8423	1490275	49809	98640	0	49809	149427	149310	117	49926	49926	33837	0	0	0	971478	116385
prefill	F2	NONE	94244002	93123627	1120375	1120375	1003502	116873	40800	1280363	41488	75385	0	41488	124464	124375	89	41577	41577	27197	0	0	0	NOT_EMITTED	NOT_EMITTED
prefill	F5	NONE	94242902	93122803	1120099	1120099	1005079	115020	38515	1293532	39171	75849	0	39171	117513	117425	88	39259	39259	24520	0	0	0	NOT_EMITTED	NOT_EMITTED
prefill	F7	10	94315107	45209021	49106086	1013352	892433	120919	33429	1234186	33749	87170	0	33749	101247	101224	23	33772	33772	29715	94194188	48092734	48092734	NOT_EMITTED	NOT_EMITTED
prefill	F7	20	94034510	45094432	48940078	1013442	893984	119458	33429	1170602	33749	85709	0	33749	101247	101223	24	33773	33773	29714	93915052	47926636	47926636	NOT_EMITTED	NOT_EMITTED
prefill	F7	5	46569954	45555817	1014137	1014137	895915	118222	33430	1206270	33750	84472	0	33750	101250	101227	23	33773	33773	29715	96085613	49633881	49633881	NOT_EMITTED	NOT_EMITTED
prefill	F8	10	94311192	45206299	49104893	1013253	893925	119328	7532	1229061	33845	85483	0	33845	101535	101513	22	33867	33867	29682	94191864	48091640	48091640	893925	92250
prefill	F8	20	94035629	45095481	48940148	1013260	894486	118774	7481	1166949	33665	85109	0	33665	100995	100971	24	33689	33689	29681	93916855	47926888	47926888	894486	91892
prefill	F8	5	46585486	45571184	1014302	1014302	891094	123208	11451	1109770	47963	75245	0	47963	143889	143867	22	47985	47985	35630	96116757	49654479	49654479	891094	94575
prefill	F9	NONE	94240399	93119941	1120458	1120458	1004209	116249	38704	1310981	39360	76889	0	39360	118080	117985	95	39455	39455	24595	0	0	0	NOT_EMITTED	NOT_EMITTED
