roi	family	lseg	cycles	speedup_vs_same_roi_f0	segment_attempts	segment_hits	segment_l2_suppressed
decode1	F7	10	34432059	1.003850104	76027483	8053776	8053776
decode1	F7	20	36035731	0.959176491	75820504	7922297	7922297
decode1	F7	5	33959029	1.017833166	76449032	8430211	8430211
decode1	F8	10	34432059	1.003850104	76027483	8053776	8053776
decode1	F8	20	36035731	0.959176491	75820504	7922297	7922297
decode1	F8	5	33959029	1.017833166	76449032	8430211	8430211
prefill	F7	10	63370888	0.986103240	94194188	48092734	48092734
prefill	F7	20	76131192	0.820823060	93915052	47926636	47926636
prefill	F7	5	59834219	1.044389633	96085613	49633881	49633881
prefill	F8	10	63375503	0.986031432	94191864	48091640	48091640
prefill	F8	20	76144277	0.820682006	93916855	47926888	47926888
prefill	F8	5	59817355	1.044684072	96116757	49654479	49654479
