roi	arm	lseg	vm_translation_requester_mshr_wait_cycles_total	vm_translation_requester_latency_cycles_total	vm_pte_memory_wait_cycles_total	l1d_summary	l2_summary	l2_queue_summary	native_memory_latency_summary	object_conservation_pass	pte_conservation_pass
decode1	F0	NONE	10254160	775156250	7337292	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1258;avg_icnt2mem_latency=793;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS
decode1	F1	NONE	10202124	775031124	7538059	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1245;avg_icnt2mem_latency=781;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS
decode1	F2	NONE	10254160	775156250	7337292	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1258;avg_icnt2mem_latency=793;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS
decode1	F5	NONE	10286468	775122973	7376887	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1254;avg_icnt2mem_latency=789;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS
decode1	F7	10	879154	763442534	113647	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1285;avg_icnt2mem_latency=833;avg_mrq_latency=55;avg_icnt2sh_latency=2	1	PASS
decode1	F7	20	863317	840864293	70685	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=445;avg_icnt2mem_latency=64;avg_mrq_latency=35;avg_icnt2sh_latency=2	1	PASS
decode1	F7	5	872500	725504073	120904	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1457;avg_icnt2mem_latency=1006;avg_mrq_latency=58;avg_icnt2sh_latency=2	1	PASS
decode1	F8	10	879154	763442534	113647	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1285;avg_icnt2mem_latency=833;avg_mrq_latency=55;avg_icnt2sh_latency=2	1	PASS
decode1	F8	20	863317	840864293	70685	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=445;avg_icnt2mem_latency=64;avg_mrq_latency=35;avg_icnt2sh_latency=2	1	PASS
decode1	F8	5	872500	725504073	120904	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1457;avg_icnt2mem_latency=1006;avg_mrq_latency=58;avg_icnt2sh_latency=2	1	PASS
decode1	F9	NONE	10254160	775156250	7337292	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1258;avg_icnt2mem_latency=793;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS
prefill	F0	NONE	18969743	1050434230	8161497	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=745;avg_icnt2mem_latency=375;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS
prefill	F1	NONE	57441995	1090127446	20429518	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=762;avg_icnt2mem_latency=385;avg_mrq_latency=54;avg_icnt2sh_latency=7	1	PASS
prefill	F2	NONE	45807277	1078177799	17554143	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=747;avg_icnt2mem_latency=375;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS
prefill	F5	NONE	43905499	1076246205	16290147	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=745;avg_icnt2mem_latency=374;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS
prefill	F7	10	49259315	1073767415	15277922	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=806;avg_icnt2mem_latency=427;avg_mrq_latency=55;avg_icnt2sh_latency=8	1	PASS
prefill	F7	20	48611012	1559706613	15276496	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=656;avg_icnt2mem_latency=289;avg_mrq_latency=49;avg_icnt2sh_latency=3	1	PASS
prefill	F7	5	48528225	843810830	15306577	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=1245;avg_icnt2mem_latency=781;avg_mrq_latency=67;avg_icnt2sh_latency=62	1	PASS
prefill	F8	10	47109645	1071569405	15084189	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=806;avg_icnt2mem_latency=428;avg_mrq_latency=55;avg_icnt2sh_latency=7	1	PASS
prefill	F8	20	46874708	1557966781	15036374	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=656;avg_icnt2mem_latency=290;avg_mrq_latency=49;avg_icnt2sh_latency=3	1	PASS
prefill	F8	5	48478447	844009783	20006407	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=1240;avg_icnt2mem_latency=774;avg_mrq_latency=66;avg_icnt2sh_latency=63	1	PASS
prefill	F9	NONE	44564297	1076912891	16319521	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=747;avg_icnt2mem_latency=375;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS
