roi	arm	lseg	cycles	instructions	ipc	speedup_vs_same_roi_f0	baseline
decode1	F0	NONE	34564626	4128551787	119.4444	1.000000000	decode1:F0:NONE
decode1	F1	NONE	34540487	4128551787	119.5279	1.000698861	decode1:F0:NONE
decode1	F2	NONE	34564626	4128551787	119.4444	1.000000000	decode1:F0:NONE
decode1	F5	NONE	34558846	4128551787	119.4644	1.000167251	decode1:F0:NONE
decode1	F7	10	34432059	4128551787	119.9043	1.003850104	decode1:F0:NONE
decode1	F7	20	36035731	4128551787	114.5683	0.959176491	decode1:F0:NONE
decode1	F7	5	33959029	4128551787	121.5745	1.017833166	decode1:F0:NONE
decode1	F8	10	34432059	4128551787	119.9043	1.003850104	decode1:F0:NONE
decode1	F8	20	36035731	4128551787	114.5683	0.959176491	decode1:F0:NONE
decode1	F8	5	33959029	4128551787	121.5745	1.017833166	decode1:F0:NONE
decode1	F9	NONE	34564626	4128551787	119.4444	1.000000000	decode1:F0:NONE
prefill	F0	NONE	62490238	18452620427	295.2881	1.000000000	prefill:F0:NONE
prefill	F1	NONE	63758501	18452620427	289.4143	0.980108331	prefill:F0:NONE
prefill	F2	NONE	63302886	18452620427	291.4973	0.987162544	prefill:F0:NONE
prefill	F5	NONE	63223313	18452620427	291.8642	0.988404989	prefill:F0:NONE
prefill	F7	10	63370888	18452620427	291.1845	0.986103240	prefill:F0:NONE
prefill	F7	20	76131192	18452620427	242.3793	0.820823060	prefill:F0:NONE
prefill	F7	5	59834219	18452620427	308.3958	1.044389633	prefill:F0:NONE
prefill	F8	10	63375503	18452620427	291.1633	0.986031432	prefill:F0:NONE
prefill	F8	20	76144277	18452620427	242.3376	0.820682006	prefill:F0:NONE
prefill	F8	5	59817355	18452620427	308.4827	1.044684072	prefill:F0:NONE
prefill	F9	NONE	63252745	18452620427	291.7284	0.987945077	prefill:F0:NONE
