workload,variant,completion_cycles,expected_l2_window_rows,actual_l2_window_rows,expected_dram_window_rows,actual_dram_window_rows,cardinality_status,descriptor_longest_high_average_window_run,scheduler_longest_high_average_window_run,channel_traffic_conditioned_window_fraction,channel_traffic_conditioned_cv_p95,channel_traffic_weighted_cv,native_dram_data_bus_util_window,native_dram_data_bus_window_status
3mm,B0-Legacy,1661135,21248,21248,10624,10624,PASS_FULL_WINDOWS_ONLY,0,0,0.030120481927710843,0.18615248473068485,0.022162102905622552,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
3mm,B0-Banked,1661135,21248,21248,10624,10624,PASS_FULL_WINDOWS_ONLY,0,0,0.030120481927710843,0.18615248473068485,0.022162102905622552,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
FWT_11_19,B0-Legacy,171549,2176,2176,1088,1088,PASS_FULL_WINDOWS_ONLY,0,0,0.08823529411764706,0.013994415101687955,0.0028938646462718987,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
FWT_11_19,B0-Banked,171549,2176,2176,1088,1088,PASS_FULL_WINDOWS_ONLY,0,0,0.08823529411764706,0.013994415101687955,0.0028938646462718987,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
FWT_7_21,B0-Legacy,493466,6272,6272,3136,3136,PASS_FULL_WINDOWS_ONLY,4,5,0.23469387755102042,0.10701150395611467,0.03777356843733366,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
FWT_7_21,B0-Banked,493466,6272,6272,3136,3136,PASS_FULL_WINDOWS_ONLY,4,5,0.23469387755102042,0.10701150395611467,0.03777356843733366,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
btree,B0-Legacy,126259,1600,1600,800,800,PASS_FULL_WINDOWS_ONLY,0,0,0.92,0.1303354220749605,0.09723743314105329,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
btree,B0-Banked,126259,1600,1600,800,800,PASS_FULL_WINDOWS_ONLY,0,0,0.92,0.1303354220749605,0.09723743314105329,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
cfd_097k,B0-Legacy,79555,960,960,480,480,PASS_FULL_WINDOWS_ONLY,0,1,0.6666666666666666,0.27105180410275487,0.03534352898059989,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
cfd_097k,B0-Banked,81443,1024,1024,512,512,PASS_FULL_WINDOWS_ONLY,0,1,0.625,0.26878949773532634,0.04988138206452604,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
convolutionSeparable,B0-Legacy,290308,3712,3712,1856,1856,PASS_FULL_WINDOWS_ONLY,12,18,0.9482758620689655,0.09547071470352624,0.03317268240572066,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
convolutionSeparable,B0-Banked,290308,3712,3712,1856,1856,PASS_FULL_WINDOWS_ONLY,12,18,0.9482758620689655,0.09547071470352624,0.03317268240572066,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
dwt2d,B0-Legacy,166961,2112,2112,1056,1056,PASS_FULL_WINDOWS_ONLY,0,1,0.5757575757575758,0.1441753559983083,0.038007990053845246,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
dwt2d,B0-Banked,166961,2112,2112,1056,1056,PASS_FULL_WINDOWS_ONLY,0,1,0.5757575757575758,0.1441753559983083,0.038007990053845246,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
gemm,B0-Legacy,556340,7104,7104,3552,3552,PASS_FULL_WINDOWS_ONLY,0,0,0.02702702702702703,0.07641348898298223,0.023559047633971958,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
gemm,B0-Banked,556340,7104,7104,3552,3552,PASS_FULL_WINDOWS_ONLY,0,0,0.02702702702702703,0.07641348898298223,0.023559047633971958,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
sad,B0-Legacy,110653,1408,1408,704,704,PASS_FULL_WINDOWS_ONLY,0,0,0.09090909090909091,0.019734393370812304,0.019396379073958792,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
sad,B0-Banked,110653,1408,1408,704,704,PASS_FULL_WINDOWS_ONLY,0,0,0.09090909090909091,0.019734393370812304,0.019396379073958792,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
scan,B0-Legacy,2157997,27584,27584,13792,13792,PASS_FULL_WINDOWS_ONLY,14,16,0.9698375870069605,0.05934788873746663,0.028278004271674963,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
scan,B0-Banked,2157997,27584,27584,13792,13792,PASS_FULL_WINDOWS_ONLY,14,16,0.9698375870069605,0.05934788873746663,0.028278004271674963,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
sgemm,B0-Legacy,353756,4480,4480,2240,2240,PASS_FULL_WINDOWS_ONLY,0,0,0.9857142857142858,0.09566502784559623,0.05248121855575579,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
sgemm,B0-Banked,353756,4480,4480,2240,2240,PASS_FULL_WINDOWS_ONLY,0,0,0.9857142857142858,0.09566502784559623,0.05248121855575579,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
spmv,B0-Legacy,23453,256,256,128,128,PASS_FULL_WINDOWS_ONLY,2,1,0.75,0.02995526735493809,0.010368424673984399,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
spmv,B0-Banked,23453,256,256,128,128,PASS_FULL_WINDOWS_ONLY,2,1,0.75,0.02995526735493809,0.010368424673984399,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
vectorAdd_4M,B0-Legacy,73325,896,896,448,448,PASS_FULL_WINDOWS_ONLY,12,12,0.9285714285714286,0.03296118440236487,0.02358419688232131,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
vectorAdd_4M,B0-Banked,73325,896,896,448,448,PASS_FULL_WINDOWS_ONLY,12,12,0.9285714285714286,0.03296118440236487,0.02358419688232131,NOT_EMITTED,NOT_RETAINED_PER_5K_WINDOW
