workload,variant,descriptor_5k_avg,descriptor_5k_p95,descriptor_5k_max,descriptor_application_slice_max,descriptor_pool_full_block,line_mshr_5k_avg,line_mshr_5k_p95,line_mshr_5k_max,line_mshr_application_slice_max,line_mshr_full_block,tag_way_need,tag_way_block,max_reserved_ways_in_one_set,per_address_cap_check,per_address_cap_block,wad_application_slice_avg_coarse,wad_application_slice_p95_max,wad_application_slice_max,wad_full,wad_hazard,resident_payload_application_slice_avg_coarse,resident_payload_application_slice_p95_max,resident_payload_application_slice_max
3mm,B0-Legacy,0.26284826807228917,0.0,30.0,248,0,0.07092432228915663,0.0,8.0,76,0,57344,0,3,227298,0,0.0,0,0,0,0,595.5,896,896
3mm,B0-Banked,0.26284826807228917,0.0,30.0,248,0,0.07092432228915663,0.0,8.0,76,0,57344,0,3,227298,0,0.0,0,0,0,0,595.5,896,896
FWT_11_19,B0-Legacy,6.749080882352941,101.0,116.0,256,119765,2.1704963235294117,32.0,38.0,96,0,61126,0,4,189711,0,0.0,0,0,0,0,412.0,512,512
FWT_11_19,B0-Banked,6.749080882352941,101.0,116.0,256,119765,2.1704963235294117,32.0,38.0,96,0,61126,0,4,189711,0,0.0,0,0,0,0,412.0,512,512
FWT_7_21,B0-Legacy,26.182238520408163,191.0,255.0,256,1189823,7.67219387755102,56.0,86.0,102,0,594069,0,5,1811222,0,4.203125,48,115,0,286123,998.953125,1024,1024
FWT_7_21,B0-Banked,26.182238520408163,191.0,255.0,256,1189823,7.67219387755102,56.0,86.0,102,0,594069,0,5,1811222,0,4.203125,48,115,0,286123,998.953125,1024,1024
btree,B0-Legacy,9.435,20.0,32.0,253,0,2.75375,6.0,10.0,69,0,135047,0,5,337925,674,0.0,0,3,0,0,717.75,1004,1020
btree,B0-Banked,9.435,20.0,32.0,253,0,2.75375,6.0,10.0,69,0,135047,0,5,337925,674,0.0,0,3,0,0,717.75,1004,1020
cfd_097k,B0-Legacy,15.861458333333333,96.0,150.0,256,64,4.021875,25.0,38.0,68,0,113091,0,4,159192,0,2.25,29,65,0,9367,756.890625,1024,1024
cfd_097k,B0-Banked,14.73828125,89.0,146.0,251,0,3.7353515625,23.0,37.0,64,0,113103,0,4,159143,0,2.140625,29,66,0,9408,762.953125,1024,1024
convolutionSeparable,B0-Legacy,109.74272629310344,254.0,255.0,256,3373327,42.85641163793103,109.0,116.0,126,0,2012678,0,7,3906898,0,27.484375,93,128,8266,0,969.421875,1024,1024
convolutionSeparable,B0-Banked,109.74272629310344,254.0,255.0,256,3373327,42.85641163793103,109.0,116.0,126,0,2012678,0,7,3906898,0,27.484375,93,128,8266,0,969.421875,1024,1024
dwt2d,B0-Legacy,15.351799242424242,61.0,123.0,233,0,4.18655303030303,16.0,31.0,59,0,306102,0,4,334322,0,8.0,48,128,74044,19521,967.0,1024,1024
dwt2d,B0-Banked,15.351799242424242,61.0,123.0,233,0,4.18655303030303,16.0,31.0,59,0,306102,0,4,334322,0,8.0,48,128,74044,19521,967.0,1024,1024
gemm,B0-Legacy,0.29138513513513514,1.0,29.0,231,0,0.07713963963963964,0.0,8.0,76,0,24576,0,3,112884,0,0.0,0,0,0,0,266.0,384,384
gemm,B0-Banked,0.29138513513513514,1.0,29.0,231,0,0.07713963963963964,0.0,8.0,76,0,24576,0,3,112884,0,0.0,0,0,0,0,266.0,384,384
sad,B0-Legacy,0.06747159090909091,0.0,2.0,84,0,0.0,0.0,0.0,7,0,69907,0,1,5554,0,0.0,0,10,0,0,301.4375,962,1024
sad,B0-Banked,0.06747159090909091,0.0,2.0,84,0,0.0,0.0,0.0,7,0,69907,0,1,5554,0,0.0,0,10,0,0,301.4375,962,1024
scan,B0-Legacy,207.63863109048725,252.0,255.0,256,60513316,60.030923723897914,74.0,85.0,113,0,24712819,222849,16,62698369,0,57.9375,108,128,2318944,585398,1019.0,1024,1024
scan,B0-Banked,207.63863109048725,252.0,255.0,256,60513316,60.030923723897914,74.0,85.0,113,0,24712819,222849,16,62698369,0,57.9375,108,128,2318944,585398,1019.0,1024,1024
sgemm,B0-Legacy,4.888169642857143,7.0,27.0,120,0,0.19129464285714284,1.0,7.0,22,0,98272,0,3,1046029,1409,0.0,0,0,0,0,521.515625,1024,1024
sgemm,B0-Banked,4.888169642857143,7.0,27.0,120,0,0.19129464285714284,1.0,7.0,22,0,98272,0,3,1046029,1409,0.0,0,0,0,0,521.515625,1024,1024
spmv,B0-Legacy,162.93359375,255.0,255.0,256,361635,47.95703125,79.0,80.0,99,0,179912,0,8,571456,8598,0.0,0,0,0,0,567.5625,1024,1024
spmv,B0-Banked,162.93359375,255.0,255.0,256,361635,47.95703125,79.0,80.0,99,0,179912,0,8,571456,8598,0.0,0,0,0,0,567.5625,1024,1024
vectorAdd_4M,B0-Legacy,227.78459821428572,255.0,255.0,256,2176663,59.89955357142857,68.0,69.0,92,0,947987,0,3,2353676,0,28.828125,61,95,0,0,895.984375,1024,1024
vectorAdd_4M,B0-Banked,227.78459821428572,255.0,255.0,256,2176663,59.89955357142857,68.0,69.0,92,0,947987,0,3,2353676,0,28.828125,61,95,0,0,895.984375,1024,1024
