workload,variant,runtime_core_sha,runtime_framework_sha,runtime_config_composite_sha256,trace_identity,trace_sha256,raw_log_uncompressed_sha256,parser_success,required_parsed_artifacts,terminal_clean,payload_consistency
3mm,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g,024b84b0fa33cfe4c63f026fd9be21469c7dd1d48ff4d6594ac613ee361d9fa8,dfdeae3260c81b590c1c426b8baac56133a7719ae6ab86ef70a0b51456cba600,True,True,True,True
FWT_11_19,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g,a91e2655cd672585257294d09834e7d6647350e6c9ece7769fea5cb38fb6d6f2,6a82d15cfa65fdc8aba13b3352115ca3cf2afb96c4403b327d954b7a93f2e767,True,True,True,True
FWT_7_21,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g,9dfd2639f6660bef2feac69405597380835d4d08f1e0bdb9dd9b2022ed1a0f26,5f1b52618fc0a7b3371ef0c8008d6822859269f7334eef7bbb628e70ac4a541e,True,True,True,True
btree,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g,26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467,2e1aae87bd5c15c0b9f54d057cba45cf73a28922e7ab64bfe7667d0b6a630370,True,True,True,True
cfd_097k,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g,ce71e70525c6299a6be1bae3790b0eeb0417e1f4608cbd10e706c0a14fdd6b46,0ebcd1a6b24b31e8726b0868f1e9aff0b475e5b4bf868ed9eaa1e4de97608f46,True,True,True,True
convolutionSeparable,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g,ab2290810368438cabf35a3c0fcb9686473aaa2235607a6e2bc0347f651ff484,63832f443770ef85f1407107350121165c35f0ed41801ca1ddde98f685458242,True,True,True,True
dwt2d,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g,337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164,cf7f4a16185c4f5ab79542ec3582c2e2d087faee1506a636d2c76c12b92c84f6,True,True,True,True
gemm,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g,fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057,06dbded7db5a7a178c1d4f3da623d89a8530f3556877bc50a8289b711ef59736,True,True,True,True
sad,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g,36c0931b5a7cd780dc16fd5466cba2ed31d4a2c1dbf062721f55bbcef1d7a2a8,b7de69ce8d5b7478b519a5dca49e36b87d44f7623d8690aec2c45b844297ad3c,True,True,True,True
scan,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g,6e8572dff8fa6ff912fce3f834009d2e62ace23e3671d083bd901d42af6bcee8,4ea70581fb549e877390be084653a142f37b9878bd0616724a31fd957f5c5136,True,True,True,True
