workload,variant,tag_set_block,line_mshr_full_block,descriptor_pool_full_block,per_address_cap_block,wad_full,wad_hazard_wait_cycles,payload_capacity_allocation_denial,payload_service_port_denial,block_bank,l1_missq_full,l2_to_dram_full,scheduler_causal_block,returnq_full,dram_to_l2_full
3mm,B0-Legacy,0,0,0,0,0,0,0,0,0,44771040,0,0,0,0
3mm,B0-Banked,0,0,0,0,0,0,0,0,0,44771040,0,0,0,0
FWT_11_19,B0-Legacy,0,0,119765,0,0,0,0,0,0,2680785,119765,0,0,0
FWT_11_19,B0-Banked,0,0,119765,0,0,0,0,0,0,2680785,119765,0,0,0
FWT_7_21,B0-Legacy,0,0,1189823,0,0,286123,0,0,0,19940958,1190064,888688,0,0
FWT_7_21,B0-Banked,0,0,1189823,0,0,286123,0,0,0,19940958,1190064,888688,0,0
btree,B0-Legacy,0,0,0,674,0,0,0,0,0,233530,0,0,0,0
btree,B0-Banked,0,0,0,674,0,0,0,0,0,233530,0,0,0,0
cfd_097k,B0-Legacy,0,0,64,0,0,9367,0,488,0,780328,64,106679,0,0
cfd_097k,B0-Banked,0,0,0,0,0,9408,0,0,16166,786287,0,104384,0,0
convolutionSeparable,B0-Legacy,0,0,3373327,0,8266,0,0,0,0,1460359,3133633,2510412,0,0
convolutionSeparable,B0-Banked,0,0,3373327,0,8266,0,0,0,0,1460359,3133633,2510412,0,0
dwt2d,B0-Legacy,0,0,0,0,74044,19521,0,0,0,1929192,0,281249,0,0
dwt2d,B0-Banked,0,0,0,0,74044,19521,0,0,0,1929192,0,281249,0,0
gemm,B0-Legacy,0,0,0,0,0,0,0,0,0,14259191,0,0,0,0
gemm,B0-Banked,0,0,0,0,0,0,0,0,0,14259191,0,0,0,0
sad,B0-Legacy,0,0,0,0,0,0,0,2,0,340795,0,0,0,0
sad,B0-Banked,0,0,0,0,0,0,0,0,0,340795,0,0,0,0
scan,B0-Legacy,222849,0,60513316,0,2318944,585398,0,0,0,38533635,62160071,37119745,0,0
scan,B0-Banked,222849,0,60513316,0,2318944,585398,0,0,0,38533635,62160071,37119745,0,0
sgemm,B0-Legacy,0,0,0,1409,0,0,0,0,0,331698,0,0,0,0
sgemm,B0-Banked,0,0,0,1409,0,0,0,0,0,331698,0,0,0,0
spmv,B0-Legacy,0,0,361635,8598,0,0,0,0,0,73304,348466,411,0,0
spmv,B0-Banked,0,0,361635,8598,0,0,0,0,0,73304,348466,411,0,0
vectorAdd_4M,B0-Legacy,0,0,2176663,0,0,0,0,0,0,1263518,2176661,989094,0,0
vectorAdd_4M,B0-Banked,0,0,2176663,0,0,0,0,0,0,1263518,2176661,989094,0,0
