workload	variant	status	terminal_cycles	terminal_instructions	runtime_core_sha	runtime_framework_sha	runtime_config_composite_sha256	trace_identity	analysis_framework_sha	lane_d_v3_cardinality_status	native_dram_snapshot_status
3mm	B0-Legacy	COMPLETE_VALID	1661135	1813512192	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
3mm	B0-Banked	COMPLETE_VALID	1661135	1813512192	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
FWT_11_19	B0-Legacy	COMPLETE_VALID	171549	180944896	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
FWT_11_19	B0-Banked	COMPLETE_VALID	171549	180944896	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
FWT_7_21	B0-Legacy	COMPLETE_VALID	493466	791609344	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
FWT_7_21	B0-Banked	COMPLETE_VALID	493466	791609344	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
btree	B0-Legacy	COMPLETE_VALID	126259	444467849	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
btree	B0-Banked	COMPLETE_VALID	126259	444467849	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
cfd_097k	B0-Legacy	COMPLETE_VALID	79555	143129372	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
cfd_097k	B0-Banked	COMPLETE_VALID	81443	143129372	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
convolutionSeparable	B0-Legacy	COMPLETE_VALID	290308	714547200	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
convolutionSeparable	B0-Banked	COMPLETE_VALID	290308	714547200	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
dwt2d	B0-Legacy	COMPLETE_VALID	166961	148684429	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
dwt2d	B0-Banked	COMPLETE_VALID	166961	148684429	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
gemm	B0-Legacy	COMPLETE_VALID	556340	739246080	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
