workload,variant,l1_accesses,l1_misses,l1_line_alloc_fail,l1_mshr_entry_fail,l1_mshr_merge_fail,l1_missq_full,l1_rw_pending,l1_bank_latency_conflict
3mm,B0-Legacy,113344512,5214033,0,0,163888205,44771040,0,52725554
3mm,B0-Banked,113344512,5214033,0,0,163888205,44771040,0,52725554
FWT_11_19,B0-Legacy,2162688,1114112,0,274558,0,2680785,0,1095194
FWT_11_19,B0-Banked,2162688,1114112,0,274558,0,2680785,0,1095194
FWT_7_21,B0-Legacy,10223616,5242880,0,4709556,0,19940958,0,8909207
FWT_7_21,B0-Banked,10223616,5242880,0,4709556,0,19940958,0,8909207
btree,B0-Legacy,4249841,1340267,0,0,527591,233530,0,346228
btree,B0-Banked,4249841,1340267,0,0,527591,233530,0,346228
cfd_097k,B0-Legacy,1539872,1328553,498,454367,0,780328,0,628708
cfd_097k,B0-Banked,1539872,1333347,1250,461031,0,786287,0,634969
convolutionSeparable,B0-Legacy,5289984,5215696,5179994,2242333,0,1460359,0,3811459
convolutionSeparable,B0-Banked,5289984,5215696,5179994,2242333,0,1460359,0,3811459
dwt2d,B0-Legacy,1704000,1641970,0,0,0,1929192,0,602591
dwt2d,B0-Banked,1704000,1641970,0,0,0,1929192,0,602591
gemm,B0-Legacy,37814272,1615010,0,0,58227284,14259191,0,18509661
gemm,B0-Banked,37814272,1615010,0,0,58227284,14259191,0,18509661
sad,B0-Legacy,505098,422873,0,0,0,340795,0,17622
sad,B0-Banked,505098,422873,0,0,0,340795,0,17622
scan,B0-Legacy,42764800,35947209,471629,124523721,0,38533635,0,55242027
scan,B0-Banked,42764800,35947209,471629,124523721,0,38533635,0,55242027
sgemm,B0-Legacy,9698304,2452480,0,0,0,331698,0,329353
sgemm,B0-Banked,9698304,2452480,0,0,0,331698,0,329353
spmv,B0-Legacy,650620,432620,0,1399927,7324,73304,0,604733
spmv,B0-Banked,650620,432620,0,1399927,7324,73304,0,604733
vectorAdd_4M,B0-Legacy,1500000,1500000,0,0,0,1263518,0,144409
vectorAdd_4M,B0-Banked,1500000,1500000,0,0,0,1263518,0,144409
