workload,variant,raw_log_path,raw_log_gz_sha256,raw_log_uncompressed_sha256,raw_log_size_bytes
3mm,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/3mm/raw.log.gz,92f5eeff4297d034766a581288967c8706b6d93a4366c28a4431ff7d7c46993a,dfdeae3260c81b590c1c426b8baac56133a7719ae6ab86ef70a0b51456cba600,320616
FWT_11_19,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19/raw.log.gz,82c81f840771dfcbb6de8a32f2aa4cacb21b57ffbd70f4cba23b9cd1d531d7a6,6a82d15cfa65fdc8aba13b3352115ca3cf2afb96c4403b327d954b7a93f2e767,646563
FWT_7_21,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21/raw.log.gz,372d3626a8929a85be6aa9a5a75d10cc59b4873aa8704b4a1fee82d1d1a5b7d2,5f1b52618fc0a7b3371ef0c8008d6822859269f7334eef7bbb628e70ac4a541e,1148628
btree,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree/raw.log.gz,5d66c47bbd2554ed5485c6d54b85342efe595c30a06c812f01fcac0b295a8e7d,2e1aae87bd5c15c0b9f54d057cba45cf73a28922e7ab64bfe7667d0b6a630370,244541
cfd_097k,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k/raw.log.gz,a45fd53f769aa4ce56b648e187ee409f33959e46fffaf1c6c4d92c2ce1f2d3b9,0ebcd1a6b24b31e8726b0868f1e9aff0b475e5b4bf868ed9eaa1e4de97608f46,214297
convolutionSeparable,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable/raw.log.gz,4f6bccd620c18c0f802396f9aa410d4ba05b84b38258de40e40f23c3785b792c,63832f443770ef85f1407107350121165c35f0ed41801ca1ddde98f685458242,348232
dwt2d,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d/raw.log.gz,ba0488adfaf71d51abbefa8a29cc85b38438ac61ea270ffbca7846452176dd7f,cf7f4a16185c4f5ab79542ec3582c2e2d087faee1506a636d2c76c12b92c84f6,607133
gemm,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/gemm/raw.log.gz,13f9dc98fa3dd488e62c4dd294c2bddaf4479d975101bee960ccf52ca12f752b,06dbded7db5a7a178c1d4f3da623d89a8530f3556877bc50a8289b711ef59736,136015
sad,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad/raw.log.gz,1d87fa7c846a33b6d538550b77a2a1c23a924dd70c4f7c84bbb9675139b25f38,b7de69ce8d5b7478b519a5dca49e36b87d44f7623d8690aec2c45b844297ad3c,151850
scan,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan/raw.log.gz,30d2fc420c31e1623b4cf1267c5cb281da30d47345ce23c8b3e44838dccfe13b,4ea70581fb549e877390be084653a142f37b9878bd0616724a31fd957f5c5136,3213789
sgemm,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sgemm/raw.log.gz,f2baf9d7ee38f3a13b5299498843b7622d32bb421e92c95770225af3d9e0d5a3,ed67a42e1963b61d8e44fd144e700fe2844d76bfacbb0c9f575e3f3747a22f16,126803
spmv,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/spmv/raw.log.gz,960fb62df6b4a471ee31c818fb6b18d5113f36c6011c30d4f26e140b3d845150,50fb2cca35014c40fa5b4df83d9bef11c08eb50c1a6291a73cddfe2c636ffba1,116380
vectorAdd_4M,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/vectorAdd_4M/raw.log.gz,eee92421aca67252c2274b69d1b2d1137122c5d16c048f6b7da12b0d898ae3b7,53dd1c67a19203ed1fca84cea87fd2aade8d4b6daf80d1bdc85b45bebd12bc91,163938
3mm,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/3mm/raw.log.gz,9466258c5911dc1adc8f25535dc7b51eb26a99256e0fc593c3de160997951d07,657a9ce102755b7e6a2e79dd43bedc68501d97d898a7e3e5724bc2de8876b7b9,396081
FWT_11_19,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19/raw.log.gz,348670524c821c23cf3e1be9f0adaf627f62352833e3c3f8bfe2a5c89dafce1f,be32157bb48c2923f37b03a0e225b27791b733e9141a8548bdb524f273240eea,650462
FWT_7_21,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21/raw.log.gz,4f3965094c059626faffcda92b81b1930f1953337b9c6b0f74595338936bb1a8,9ff27c5256fdfa1d90c12aeff9ca7d62fbec24eca101b7b6ab73e242ee086973,1183438
btree,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree/raw.log.gz,fb0c47ea19433f89e4da7482778fcd5e8a302a138e0141a932aa0ca25db7bd54,84bb79a67281c77c0e0293f243efb312364a51b45ed173e714f45f057443b63f,268326
cfd_097k,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/cfd_097k/raw.log.gz,ffe42aa782977ca86829065f966dff5bcf438db887e6439f06f71386f41103e2,2302f50cfbe162d76c89a50c3602d4dec719b06d383950ef80ef7562c5363d33,241725
convolutionSeparable,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/convolutionSeparable/raw.log.gz,9c8169f021e804ccb52f0d72f3fe1312f605a321e5d95a5181f28f51642cd025,efb18c1229a22bdca7302fd8d4847ca0f90bb03f455254168c72bd8b739490d4,373298
dwt2d,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/dwt2d/raw.log.gz,6ca1f1a6a0a9ed3a8f6fb6e5d768431fb2bcb4780db58ba31175529fa47c9e84,1b657906542ccc310edc5e21121fe80b28222c0d921fa35cb3c10af5f9734a64,664996
gemm,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/gemm/raw.log.gz,58fdfe85b2b9dadd6f27d4d9ff570aedb996121762e76991391ccf17da1311fd,81b3c61559c6204b3c7703e1c70aa2abe2bfd71d74bee390b244b75e08dfdc4d,162912
sad,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sad/raw.log.gz,592939d630a1228c2b303e55d447411c553404095d99c11cad121ef6880134b3,7e1b13958c77214cdce6d618c531bc478571af8fd3d005b1cb8a857d2519a94c,170325
scan,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/scan/raw.log.gz,0af897ead202bda92013454a287ede0f949d190cbd7588d35f6235ceb8edf0ee,5d3020ed078d80289902511d9bdac6b6034680cbf66c238a121326f12a5531ff,3445387
sgemm,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sgemm/raw.log.gz,7f702f658f5c5ca5ee94e7e97490f5401451a0fabb7911f40174637362e6de46,aee890de74d153060fc829a6dbdee7304d51a1696bcfeb45f436aa47c2d0dd9f,147933
spmv,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/spmv/raw.log.gz,2e9b76c95faf515ccf2584744dfe7f94a0db3a69a0ec1eb9818b55ee2589c558,d3ec5fcd92930ccc13ce08b4964c870a5fc2f1ff2c2f77c35e2d5a9af926d868,126815
vectorAdd_4M,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/vectorAdd_4M/raw.log.gz,097d3844ac3e06ca64368e502637c9e1d01b486fcf9f7056589fd194e22e07b4,40a4fcdd0795016149cbf7c78998f5a11ddd9b6715c2f8e6f303cbd1b2808c66,171822
