workload,variant,bank_logical_ops,bank_attempts,bank_grants,bank_retry_attempts,bank_true_conflict_ops,bank_true_conflict_events,bank_true_conflict_rate,bank_wait_cycles,block_bank
3mm,B0-Legacy,0,0,0,0,0,0,0,0,0
3mm,B0-Banked,55249546,55249546,55249546,0,0,0,0.0,0,0
FWT_11_19,B0-Legacy,0,0,0,0,0,0,0,0,0
FWT_11_19,B0-Banked,2162688,2162688,2162688,0,0,0,0.0,0,0
FWT_7_21,B0-Legacy,0,0,0,0,0,0,0,0,0
FWT_7_21,B0-Banked,10223616,10223616,10223616,0,0,0,0.0,0,0
btree,B0-Legacy,0,0,0,0,0,0,0,0,0
btree,B0-Banked,1370834,1370834,1370834,0,0,0,0.0,0,0
cfd_097k,B0-Legacy,0,0,0,0,0,0,0,0,0
cfd_097k,B0-Banked,1093466,1109632,1093466,16166,16166,16166,0.014784181675516202,16166,16166
convolutionSeparable,B0-Legacy,0,0,0,0,0,0,0,0,0
convolutionSeparable,B0-Banked,2740470,2740470,2740470,0,0,0,0.0,0,0
dwt2d,B0-Legacy,0,0,0,0,0,0,0,0,0
dwt2d,B0-Banked,847374,847374,847374,0,0,0,0.0,0,0
gemm,B0-Legacy,0,0,0,0,0,0,0,0,0
gemm,B0-Banked,18346402,18346402,18346402,0,0,0,0.0,0,0
sad,B0-Legacy,0,0,0,0,0,0,0,0,0
sad,B0-Banked,188826,188826,188826,0,0,0,0.0,0,0
scan,B0-Legacy,0,0,0,0,0,0,0,0,0
scan,B0-Banked,28244978,28244978,28244978,0,0,0,0.0,0,0
sgemm,B0-Legacy,0,0,0,0,0,0,0,0,0
sgemm,B0-Banked,1819898,1819898,1819898,0,0,0,0.0,0,0
spmv,B0-Legacy,0,0,0,0,0,0,0,0,0
spmv,B0-Banked,422502,422502,422502,0,0,0,0.0,0,0
vectorAdd_4M,B0-Legacy,0,0,0,0,0,0,0,0,0
vectorAdd_4M,B0-Banked,1000000,1000000,1000000,0,0,0,0.0,0,0
