workload,variant,run_directory,status,runtime_core_sha,runtime_framework_sha,runtime_config_composite_sha256,trace_identity,trace_sha256,terminal_cycles,terminal_instructions,normal_exit,parser_success,required_parsed_artifacts,terminal_clean,payload_consistency,raw_log_path,raw_log_gz_sha256,raw_log_uncompressed_sha256
3mm,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/3mm,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g,024b84b0fa33cfe4c63f026fd9be21469c7dd1d48ff4d6594ac613ee361d9fa8,1661135,1813512192,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/3mm/raw.log.gz,92f5eeff4297d034766a581288967c8706b6d93a4366c28a4431ff7d7c46993a,dfdeae3260c81b590c1c426b8baac56133a7719ae6ab86ef70a0b51456cba600
FWT_11_19,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g,a91e2655cd672585257294d09834e7d6647350e6c9ece7769fea5cb38fb6d6f2,171549,180944896,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19/raw.log.gz,82c81f840771dfcbb6de8a32f2aa4cacb21b57ffbd70f4cba23b9cd1d531d7a6,6a82d15cfa65fdc8aba13b3352115ca3cf2afb96c4403b327d954b7a93f2e767
FWT_7_21,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g,9dfd2639f6660bef2feac69405597380835d4d08f1e0bdb9dd9b2022ed1a0f26,493466,791609344,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21/raw.log.gz,372d3626a8929a85be6aa9a5a75d10cc59b4873aa8704b4a1fee82d1d1a5b7d2,5f1b52618fc0a7b3371ef0c8008d6822859269f7334eef7bbb628e70ac4a541e
btree,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g,26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467,126259,444467849,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree/raw.log.gz,5d66c47bbd2554ed5485c6d54b85342efe595c30a06c812f01fcac0b295a8e7d,2e1aae87bd5c15c0b9f54d057cba45cf73a28922e7ab64bfe7667d0b6a630370
cfd_097k,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g,ce71e70525c6299a6be1bae3790b0eeb0417e1f4608cbd10e706c0a14fdd6b46,79555,143129372,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k/raw.log.gz,a45fd53f769aa4ce56b648e187ee409f33959e46fffaf1c6c4d92c2ce1f2d3b9,0ebcd1a6b24b31e8726b0868f1e9aff0b475e5b4bf868ed9eaa1e4de97608f46
convolutionSeparable,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g,ab2290810368438cabf35a3c0fcb9686473aaa2235607a6e2bc0347f651ff484,290308,714547200,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable/raw.log.gz,4f6bccd620c18c0f802396f9aa410d4ba05b84b38258de40e40f23c3785b792c,63832f443770ef85f1407107350121165c35f0ed41801ca1ddde98f685458242
dwt2d,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g,337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164,166961,148684429,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d/raw.log.gz,ba0488adfaf71d51abbefa8a29cc85b38438ac61ea270ffbca7846452176dd7f,cf7f4a16185c4f5ab79542ec3582c2e2d087faee1506a636d2c76c12b92c84f6
gemm,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/gemm,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g,fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057,556340,739246080,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/gemm/raw.log.gz,13f9dc98fa3dd488e62c4dd294c2bddaf4479d975101bee960ccf52ca12f752b,06dbded7db5a7a178c1d4f3da623d89a8530f3556877bc50a8289b711ef59736
sad,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g,36c0931b5a7cd780dc16fd5466cba2ed31d4a2c1dbf062721f55bbcef1d7a2a8,110653,157583646,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad/raw.log.gz,1d87fa7c846a33b6d538550b77a2a1c23a924dd70c4f7c84bbb9675139b25f38,b7de69ce8d5b7478b519a5dca49e36b87d44f7623d8690aec2c45b844297ad3c
scan,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g,6e8572dff8fa6ff912fce3f834009d2e62ace23e3671d083bd901d42af6bcee8,2157997,1963460720,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan/raw.log.gz,30d2fc420c31e1623b4cf1267c5cb281da30d47345ce23c8b3e44838dccfe13b,4ea70581fb549e877390be084653a142f37b9878bd0616724a31fd957f5c5136
sgemm,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sgemm,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g,0a0d21711ff3f3de1604fc0a243d5be2df5155147bb09bc4533bd017b62f5913,353756,1658916864,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sgemm/raw.log.gz,f2baf9d7ee38f3a13b5299498843b7622d32bb421e92c95770225af3d9e0d5a3,ed67a42e1963b61d8e44fd144e700fe2844d76bfacbb0c9f575e3f3747a22f16
spmv,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/spmv,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g,da1065944705e52eb270304233f0865cf80f7618b5597f73af7096d20a194394,23453,21131849,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/spmv/raw.log.gz,960fb62df6b4a471ee31c818fb6b18d5113f36c6011c30d4f26e140b3d845150,50fb2cca35014c40fa5b4df83d9bef11c08eb50c1a6291a73cddfe2c636ffba1
vectorAdd_4M,B0-Legacy,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/vectorAdd_4M,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g,755319919723f68f25aa7c64b9bdcaf5699b9aca38e7b664825e81d49f306e9a,73325,56000000,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/vectorAdd_4M/raw.log.gz,eee92421aca67252c2274b69d1b2d1137122c5d16c048f6b7da12b0d898ae3b7,53dd1c67a19203ed1fca84cea87fd2aade8d4b6daf80d1bdc85b45bebd12bc91
3mm,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/3mm,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g,024b84b0fa33cfe4c63f026fd9be21469c7dd1d48ff4d6594ac613ee361d9fa8,1661135,1813512192,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/3mm/raw.log.gz,9466258c5911dc1adc8f25535dc7b51eb26a99256e0fc593c3de160997951d07,657a9ce102755b7e6a2e79dd43bedc68501d97d898a7e3e5724bc2de8876b7b9
FWT_11_19,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g,a91e2655cd672585257294d09834e7d6647350e6c9ece7769fea5cb38fb6d6f2,171549,180944896,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19/raw.log.gz,348670524c821c23cf3e1be9f0adaf627f62352833e3c3f8bfe2a5c89dafce1f,be32157bb48c2923f37b03a0e225b27791b733e9141a8548bdb524f273240eea
FWT_7_21,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g,9dfd2639f6660bef2feac69405597380835d4d08f1e0bdb9dd9b2022ed1a0f26,493466,791609344,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21/raw.log.gz,4f3965094c059626faffcda92b81b1930f1953337b9c6b0f74595338936bb1a8,9ff27c5256fdfa1d90c12aeff9ca7d62fbec24eca101b7b6ab73e242ee086973
btree,B0-Banked,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree,COMPLETE_VALID,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g,26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467,126259,444467849,COMPLETE_VALID runner status (normal-exit field not emitted),True,True,True,True,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree/raw.log.gz,fb0c47ea19433f89e4da7482778fcd5e8a302a138e0141a932aa0ca25db7bd54,84bb79a67281c77c0e0293f243efb312364a51b45ed173e714f45f057443b63f
