workload,variant,kernel_records,kernel_uid_count,kernel_delta_integrity,source_path
3mm,B0-Legacy,192,3,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/3mm/target_kernel.csv
3mm,B0-Banked,192,3,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/3mm/target_kernel.csv
FWT_11_19,B0-Legacy,1024,16,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19/target_kernel.csv
FWT_11_19,B0-Banked,1024,16,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19/target_kernel.csv
FWT_7_21,B0-Legacy,1216,19,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21/target_kernel.csv
FWT_7_21,B0-Banked,1216,19,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21/target_kernel.csv
btree,B0-Legacy,128,2,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree/target_kernel.csv
btree,B0-Banked,128,2,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree/target_kernel.csv
cfd_097k,B0-Legacy,320,5,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k/target_kernel.csv
cfd_097k,B0-Banked,320,5,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/cfd_097k/target_kernel.csv
convolutionSeparable,B0-Legacy,128,2,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable/target_kernel.csv
convolutionSeparable,B0-Banked,128,2,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/convolutionSeparable/target_kernel.csv
dwt2d,B0-Legacy,640,10,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d/target_kernel.csv
dwt2d,B0-Banked,640,10,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/dwt2d/target_kernel.csv
gemm,B0-Legacy,64,1,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/gemm/target_kernel.csv
gemm,B0-Banked,64,1,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/gemm/target_kernel.csv
sad,B0-Legacy,192,3,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad/target_kernel.csv
sad,B0-Banked,192,3,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sad/target_kernel.csv
scan,B0-Legacy,2112,33,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan/target_kernel.csv
scan,B0-Banked,2112,33,interval-delta producer artifact; see target_kernel.csv,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/scan/target_kernel.csv
