arm	export	record_rows	provenance
decode1-disabled	KERNEL_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	WINDOW_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	L1D_OBJECT_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	L1D_FAIL_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	L2_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	L2_QUEUE_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	L2_CLASS_REPLACEMENT_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	DRAM_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	CROSS_LAYER_OUTCOME_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-disabled	NATIVE_MEMORY_SYSTEM_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	KERNEL_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	WINDOW_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	L1D_OBJECT_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	L1D_FAIL_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	L2_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	L2_QUEUE_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	L2_CLASS_REPLACEMENT_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	DRAM_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	CROSS_LAYER_OUTCOME_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-ideal	NATIVE_MEMORY_SYSTEM_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	KERNEL_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	WINDOW_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	L1D_OBJECT_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	L1D_FAIL_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	L2_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	L2_QUEUE_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	L2_CLASS_REPLACEMENT_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	DRAM_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	CROSS_LAYER_OUTCOME_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-generic	NATIVE_MEMORY_SYSTEM_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	KERNEL_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	WINDOW_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	L1D_OBJECT_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	L1D_FAIL_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	L2_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	L2_QUEUE_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	L2_CLASS_REPLACEMENT_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	DRAM_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	CROSS_LAYER_OUTCOME_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
decode1-paper	NATIVE_MEMORY_SYSTEM_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	KERNEL_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	WINDOW_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	L1D_OBJECT_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	L1D_FAIL_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	L2_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	L2_QUEUE_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	L2_CLASS_REPLACEMENT_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	DRAM_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	CROSS_LAYER_OUTCOME_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-disabled	NATIVE_MEMORY_SYSTEM_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	KERNEL_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
