profile	metric	value	aggregation
generic	dram_to_l2_total	32027016	sum_over_kernel_records
generic	icnt_to_l2_total	143790007	sum_over_kernel_records
generic	l2_to_dram_total	5858587	sum_over_kernel_records
generic	l2_to_icnt_total	17006881	sum_over_kernel_records
generic	samples	1050002400	sum_over_kernel_records
paper	dram_to_l2_total	32079118	sum_over_kernel_records
paper	icnt_to_l2_total	1631561768	sum_over_kernel_records
paper	l2_to_dram_total	1920034911	sum_over_kernel_records
paper	l2_to_icnt_total	6242538	sum_over_kernel_records
paper	samples	826524336	sum_over_kernel_records
generic	dram_to_l2_hwm	1	max_over_kernel_high_water
generic	icnt_to_l2_hwm	64	max_over_kernel_high_water
generic	l2_to_dram_hwm	64	max_over_kernel_high_water
generic	l2_to_icnt_hwm	63	max_over_kernel_high_water
paper	dram_to_l2_hwm	1	max_over_kernel_high_water
paper	icnt_to_l2_hwm	64	max_over_kernel_high_water
paper	l2_to_dram_hwm	64	max_over_kernel_high_water
paper	l2_to_icnt_hwm	63	max_over_kernel_high_water
