profile	object_class	translation_source	l1d_outcome	l2_outcome	count
generic	DATA_KV_CACHE	L1_TLB_HIT	HIT	NOT_OBSERVED	40483
generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	HIT	468739
generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	MISS	218549
generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	NOT_OBSERVED	709265
generic	DATA_KV_CACHE	L1_TLB_HIT	MISS	RESERVATION_FAIL	4194
generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	HIT	723
generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	MISS	7675
generic	DATA_KV_CACHE	L2_TLB_HIT	MISS	NOT_OBSERVED	8398
generic	DATA_KV_CACHE	PTW	MISS	MISS	2094
generic	DATA_KV_CACHE	PTW	MISS	NOT_OBSERVED	2094
generic	DATA_UNKNOWN	L1_TLB_HIT	HIT	HIT	237
generic	DATA_UNKNOWN	L1_TLB_HIT	HIT	NOT_OBSERVED	39699071
generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	HIT	20591340
generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	MISS	388749
generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	NOT_OBSERVED	26140243
generic	DATA_UNKNOWN	L1_TLB_HIT	MISS	RESERVATION_FAIL	244976
generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	HIT	2432
generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	MISS	21658
generic	DATA_UNKNOWN	L2_TLB_HIT	MISS	NOT_OBSERVED	24090
generic	DATA_UNKNOWN	PTW	MISS	HIT	50
generic	DATA_UNKNOWN	PTW	MISS	MISS	1574
generic	DATA_UNKNOWN	PTW	MISS	NOT_OBSERVED	1624
generic	DATA_UNKNOWN	PTW	MISS	RESERVATION_FAIL	820
generic	DATA_UNKNOWN	UNOBSERVED	HIT	HIT	18
generic	DATA_UNKNOWN	UNOBSERVED	HIT	NOT_OBSERVED	44596233
