metric	disabled	ideal	generic	paper	generic_vs_ideal_ratio	paper_vs_ideal_ratio
gpu_tot_ipc	377.4279	377.4279	125.8222	119.8818	0.333367512	0.317628347
gpu_tot_issued_cta	56770	56770	56770	56770	1.000000000	1.000000000
gpu_tot_occupancy	15.1586%	15.1586%	13.8451%	16.0259%	NOT_AVAILABLE	NOT_AVAILABLE
gpu_tot_sim_cycle	10938651	10938651	32812575	34438514	2.999691187	3.148332825
gpu_tot_sim_insn	4128551787	4128551787	4128551787	4128551787	1.000000000	1.000000000
vm_disabled_bypasses	78714096	0	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_functional_completed	NOT_AVAILABLE	NOT_AVAILABLE	75820810	75999935	NOT_AVAILABLE	NOT_AVAILABLE
vm_functional_mapper_lookups	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_ideal_translations	0	78714096	75820810	75999935	0.963243102	0.965518743
vm_identity_equal	0	78714096	0	0	0.000000000	0.000000000
vm_l1_tlb_accesses	NOT_AVAILABLE	NOT_AVAILABLE	75844615	76022343	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_evictions	NOT_AVAILABLE	NOT_AVAILABLE	68011	56806	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_hits	NOT_AVAILABLE	NOT_AVAILABLE	75775132	75964417	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_lookup_completions	NOT_AVAILABLE	NOT_AVAILABLE	75844615	76022343	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_lookup_latency_cycles	NOT_AVAILABLE	NOT_AVAILABLE	10	10	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	75844615	76022343	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_lookup_service_cycles	NOT_AVAILABLE	NOT_AVAILABLE	758446150	760223430	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_misses	NOT_AVAILABLE	NOT_AVAILABLE	69483	57926	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_occupancy	NOT_AVAILABLE	NOT_AVAILABLE	1472	1120	NOT_AVAILABLE	NOT_AVAILABLE
vm_l1_tlb_port_stalls	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_accesses	NOT_AVAILABLE	NOT_AVAILABLE	69483	57926	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_evictions	NOT_AVAILABLE	NOT_AVAILABLE	14926	14923	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_hits	NOT_AVAILABLE	NOT_AVAILABLE	45678	35518	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_lookup_completions	NOT_AVAILABLE	NOT_AVAILABLE	69483	57926	NOT_AVAILABLE	NOT_AVAILABLE
