arm	export	result	detail
decode1-disabled	KERNEL_MEMORY_STATS.tsv	PASS	present
decode1-disabled	WINDOW_MEMORY_STATS.tsv	PASS	present
decode1-disabled	L1D_OBJECT_STATS.tsv	PASS	present
decode1-disabled	L1D_FAIL_PRESSURE.tsv	PASS	present
decode1-disabled	L2_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-disabled	L2_QUEUE_PRESSURE.tsv	PASS	present
decode1-disabled	L2_CLASS_REPLACEMENT_MATRIX.tsv	PASS	present
decode1-disabled	DRAM_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-disabled	CROSS_LAYER_OUTCOME_MATRIX.tsv	PASS	present
decode1-disabled	NATIVE_MEMORY_SYSTEM_STATS.tsv	PASS	present
decode1-disabled	TELEMETRY_SCHEMA.md	PASS	present
decode1-ideal	KERNEL_MEMORY_STATS.tsv	PASS	present
decode1-ideal	WINDOW_MEMORY_STATS.tsv	PASS	present
decode1-ideal	L1D_OBJECT_STATS.tsv	PASS	present
decode1-ideal	L1D_FAIL_PRESSURE.tsv	PASS	present
decode1-ideal	L2_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-ideal	L2_QUEUE_PRESSURE.tsv	PASS	present
decode1-ideal	L2_CLASS_REPLACEMENT_MATRIX.tsv	PASS	present
decode1-ideal	DRAM_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-ideal	CROSS_LAYER_OUTCOME_MATRIX.tsv	PASS	present
decode1-ideal	NATIVE_MEMORY_SYSTEM_STATS.tsv	PASS	present
decode1-ideal	TELEMETRY_SCHEMA.md	PASS	present
decode1-generic	KERNEL_MEMORY_STATS.tsv	PASS	present
decode1-generic	WINDOW_MEMORY_STATS.tsv	PASS	present
decode1-generic	L1D_OBJECT_STATS.tsv	PASS	present
decode1-generic	L1D_FAIL_PRESSURE.tsv	PASS	present
decode1-generic	L2_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-generic	L2_QUEUE_PRESSURE.tsv	PASS	present
decode1-generic	L2_CLASS_REPLACEMENT_MATRIX.tsv	PASS	present
decode1-generic	DRAM_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-generic	CROSS_LAYER_OUTCOME_MATRIX.tsv	PASS	present
decode1-generic	NATIVE_MEMORY_SYSTEM_STATS.tsv	PASS	present
decode1-generic	TELEMETRY_SCHEMA.md	PASS	present
decode1-paper	KERNEL_MEMORY_STATS.tsv	PASS	present
decode1-paper	WINDOW_MEMORY_STATS.tsv	PASS	present
decode1-paper	L1D_OBJECT_STATS.tsv	PASS	present
decode1-paper	L1D_FAIL_PRESSURE.tsv	PASS	present
decode1-paper	L2_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-paper	L2_QUEUE_PRESSURE.tsv	PASS	present
decode1-paper	L2_CLASS_REPLACEMENT_MATRIX.tsv	PASS	present
decode1-paper	DRAM_REQUEST_CLASS_STATS.tsv	PASS	present
decode1-paper	CROSS_LAYER_OUTCOME_MATRIX.tsv	PASS	present
decode1-paper	NATIVE_MEMORY_SYSTEM_STATS.tsv	PASS	present
decode1-paper	TELEMETRY_SCHEMA.md	PASS	present
prefill-disabled	KERNEL_MEMORY_STATS.tsv	PASS	present
prefill-disabled	WINDOW_MEMORY_STATS.tsv	PASS	present
prefill-disabled	L1D_OBJECT_STATS.tsv	PASS	present
prefill-disabled	L1D_FAIL_PRESSURE.tsv	PASS	present
prefill-disabled	L2_REQUEST_CLASS_STATS.tsv	PASS	present
prefill-disabled	L2_QUEUE_PRESSURE.tsv	PASS	present
prefill-disabled	L2_CLASS_REPLACEMENT_MATRIX.tsv	PASS	present
prefill-disabled	DRAM_REQUEST_CLASS_STATS.tsv	PASS	present
prefill-disabled	CROSS_LAYER_OUTCOME_MATRIX.tsv	PASS	present
prefill-disabled	NATIVE_MEMORY_SYSTEM_STATS.tsv	PASS	present
prefill-disabled	TELEMETRY_SCHEMA.md	PASS	present
prefill-ideal	KERNEL_MEMORY_STATS.tsv	PASS	present
prefill-ideal	WINDOW_MEMORY_STATS.tsv	PASS	present
prefill-ideal	L1D_OBJECT_STATS.tsv	PASS	present
prefill-ideal	L1D_FAIL_PRESSURE.tsv	PASS	present
prefill-ideal	L2_REQUEST_CLASS_STATS.tsv	PASS	present
prefill-ideal	L2_QUEUE_PRESSURE.tsv	PASS	present
prefill-ideal	L2_CLASS_REPLACEMENT_MATRIX.tsv	PASS	present
prefill-ideal	DRAM_REQUEST_CLASS_STATS.tsv	PASS	present
prefill-ideal	CROSS_LAYER_OUTCOME_MATRIX.tsv	PASS	present
prefill-ideal	NATIVE_MEMORY_SYSTEM_STATS.tsv	PASS	present
prefill-ideal	TELEMETRY_SCHEMA.md	PASS	present
prefill-generic	KERNEL_MEMORY_STATS.tsv	PASS	present
prefill-generic	WINDOW_MEMORY_STATS.tsv	PASS	present
prefill-generic	L1D_OBJECT_STATS.tsv	PASS	present
prefill-generic	L1D_FAIL_PRESSURE.tsv	PASS	present
prefill-generic	L2_REQUEST_CLASS_STATS.tsv	PASS	present
prefill-generic	L2_QUEUE_PRESSURE.tsv	PASS	present
prefill-generic	L2_CLASS_REPLACEMENT_MATRIX.tsv	PASS	present
prefill-generic	DRAM_REQUEST_CLASS_STATS.tsv	PASS	present
prefill-generic	CROSS_LAYER_OUTCOME_MATRIX.tsv	PASS	present
prefill-generic	NATIVE_MEMORY_SYSTEM_STATS.tsv	PASS	present
prefill-generic	TELEMETRY_SCHEMA.md	PASS	present
