workload	variant	raw_log_gz	raw_log_gz_sha256	maturity
3mm	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__3mm/B0-Banked/3mm/raw.log.gz	5348c46c20300f2e7cc78dc8795f98f85a2305133cf820f3b7b30f93460a3480	PROMOTED_VALID_CALIBRATION
3mm	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__3mm/B0-Legacy/3mm/raw.log.gz	f6961ee61d2c26476283866cdb85db666c25daa52c40538a31e8f519b99394c7	PROMOTED_VALID_CALIBRATION
FWT_11_19	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__FWT_11_19/B0-Banked/FWT_11_19/raw.log.gz	1d990b35e055a5de5b330cf5494d079c39b75a00eafd825bbd6e5ac46fa196f7	PROMOTED_VALID_CALIBRATION
FWT_11_19	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__FWT_11_19/B0-Legacy/FWT_11_19/raw.log.gz	07e2c82d891d8720433174bb95ca298b63c9344a4f9f074c28c2e1354ee5273a	PROMOTED_VALID_CALIBRATION
FWT_7_21	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__FWT_7_21/B0-Banked/FWT_7_21/raw.log.gz	f93ca4c97700cafca2a98f344d85c4379f3ee9b57e809399d1fa09624ea74ce8	PROMOTED_VALID_CALIBRATION
FWT_7_21	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__FWT_7_21/B0-Legacy/FWT_7_21/raw.log.gz	a7f3739bc6aec002ef956c7d7a97ea6e4173528800feb22855467932e1d7a848	PROMOTED_VALID_CALIBRATION
btree	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__btree/B0-Banked/btree/raw.log.gz	529178811d610a01a99212b57c2566b42d99772165b50b0d3de9aa03edfeb824	PROMOTED_VALID_CALIBRATION
btree	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__btree/B0-Legacy/btree/raw.log.gz	0ec1a3a009710aac8ab6d6e464436ed6a45b2bfed39671c7ce7fb3e1fe5cfd5d	PROMOTED_VALID_CALIBRATION
cfd_097k	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__cfd_097k/B0-Banked/cfd_097k/raw.log.gz	b8dc51da5706c8621d4e659030479a613921ed105ea554706da8556ae570f5a6	PROMOTED_VALID_CALIBRATION
cfd_097k	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__cfd_097k/B0-Legacy/cfd_097k/raw.log.gz	6ac5679c316ae1c4161285bf99d6b5107055e3356c964d4894be6e7c344ce9fa	PROMOTED_VALID_CALIBRATION
convolutionSeparable	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__convolutionSeparable/B0-Banked/convolutionSeparable/raw.log.gz	0f85f4f457b8b20b74e1c0d7d4a83f81672b5bb34c5f308c8afc9b6932a92740	PROMOTED_VALID_CALIBRATION
convolutionSeparable	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__convolutionSeparable/B0-Legacy/convolutionSeparable/raw.log.gz	04dca7694728a8cb28cfc32a9a2345fe5aaccd2ee96cdff9140b6acecc924442	PROMOTED_VALID_CALIBRATION
dwt2d	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__dwt2d/B0-Banked/dwt2d/raw.log.gz	52ac65d5b6468707250a440bd725c4385289dd5a780ea3fcce17677bbfc4963b	PROMOTED_VALID_CALIBRATION
dwt2d	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__dwt2d/B0-Legacy/dwt2d/raw.log.gz	845b4bb0aab0f0d6ba9f733001fbe70085f5f510225e4c8dc4793b816b0f7518	PROMOTED_VALID_CALIBRATION
gemm	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__gemm/B0-Banked/gemm/raw.log.gz	394594968c38c009a1854ceb50245f779f2e39b90ac3d2437ecb01372a4ec72f	PROMOTED_VALID_CALIBRATION
gemm	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__gemm/B0-Legacy/gemm/raw.log.gz	8bb9196326bfbcd6f0c3db73af7a6657deba16b2282bf12f5aabb38be3c4b66b	PROMOTED_VALID_CALIBRATION
