workload,variant,d512_status,maturity,d256_to_d512_speedup,d256_cycles,d256_descriptor_need,d256_descriptor_avg,d256_descriptor_p95,d256_descriptor_max,d256_descriptor_pool_full_block,d256_line_mshr_avg,d256_line_mshr_p95,d256_line_mshr_max,d256_line_mshr_full_block,d256_per_address_cap_block,d256_l1d_misses,d256_l1d_line_alloc_fail,d256_l1d_miss_queue_full,d256_wad_avg,d256_wad_p95,d256_wad_max,d256_wad_full_events,d256_resident_payload_avg,d256_resident_payload_p95,d256_resident_payload_max,d256_bank_logical_ops,d256_bank_true_conflict_ops,d256_bank_wait_cycles,d256_l2_to_dram_full_block,d256_scheduler_occ_avg,d256_scheduler_full_cycles,d256_dram_bandwidth_util,d256_dram_successful_read_bytes,d256_dram_successful_write_bytes,d512_cycles,d512_descriptor_need,d512_descriptor_avg,d512_descriptor_p95,d512_descriptor_max,d512_descriptor_pool_full_block,d512_line_mshr_avg,d512_line_mshr_p95,d512_line_mshr_max,d512_line_mshr_full_block,d512_per_address_cap_block,d512_l1d_misses,d512_l1d_line_alloc_fail,d512_l1d_miss_queue_full,d512_wad_avg,d512_wad_p95,d512_wad_max,d512_wad_full_events,d512_resident_payload_avg,d512_resident_payload_p95,d512_resident_payload_max,d512_bank_logical_ops,d512_bank_true_conflict_ops,d512_bank_wait_cycles,d512_l2_to_dram_full_block,d512_scheduler_occ_avg,d512_scheduler_full_cycles,d512_dram_bandwidth_util,d512_dram_successful_read_bytes,d512_dram_successful_write_bytes
3mm,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,1661135,333799,0,1,248,0,0,1,76,0,0,5214033,0,44771040,0,0,0,0,595,896,896,55249546,0,0,0,0,0,0.005746730,7340032,0,1661135,333799,0,1,248,0,0,1,76,0,0,5214033,0,44771040,0,0,0,0,595,896,896,55249546,0,0,0,0,0,0.005746730,7340032,0
3mm,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,1661135,333799,0,1,248,0,0,1,76,0,0,5214033,0,44771040,0,0,0,0,595,896,896,0,0,0,0,0,0,0.005746730,7340032,0,1661135,333799,0,1,248,0,0,1,76,0,0,5214033,0,44771040,0,0,0,0,595,896,896,0,0,0,0,0,0,0.005746730,7340032,0
FWT_11_19,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.998666884,171549,250837,6,0,256,119765,2,0,96,0,0,1114112,0,2680785,0,0,0,0,412,512,512,2162688,0,0,119765,0,0,0.031798033,4194304,0,171778,222647,7,0,326,0,2,0,108,0,0,1114112,0,2682218,0,0,0,0,412,512,512,2162688,0,0,91575,0,0,0.031755630,4194304,0
FWT_11_19,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.998666884,171549,250837,6,0,256,119765,2,0,96,0,0,1114112,0,2680785,0,0,0,0,412,512,512,0,0,0,119765,0,0,0.031798033,4194304,0,171778,222647,7,0,326,0,2,0,108,0,0,1114112,0,2682218,0,0,0,0,412,512,512,0,0,0,91575,0,0,0.031755630,4194304,0
FWT_7_21,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.995270375,493466,2408066,25,255,256,1189823,7,73,102,0,0,5242880,0,19940958,4,48,115,0,998,1024,1024,10223616,0,0,1190064,18,483384,0.162919157,38945024,22871040,495811,2295101,27,280,383,0,7,81,117,0,0,5242880,0,19908236,5,53,110,0,999,1024,1024,10223616,0,0,1077737,17,476126,0.162088432,38955648,22837504
FWT_7_21,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.995270375,493466,2408066,25,255,256,1189823,7,73,102,0,0,5242880,0,19940958,4,48,115,0,998,1024,1024,0,0,0,1190064,18,483384,0.162919157,38945024,22871040,495811,2295101,27,280,383,0,7,81,117,0,0,5242880,0,19908236,5,53,110,0,999,1024,1024,0,0,0,1077737,17,476126,0.162088432,38955648,22837504
btree,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,126259,477174,9,48,253,0,2,15,69,0,674,1340267,0,233530,0,0,3,0,717,1004,1020,1370834,0,0,0,3,0,0.144319716,13958016,52736,126259,477174,9,48,253,0,2,15,69,0,674,1340267,0,233530,0,0,3,0,717,1004,1020,1370834,0,0,0,3,0,0.144319716,13958016,52736
btree,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,126259,477174,9,48,253,0,2,15,69,0,674,1340267,0,233530,0,0,3,0,717,1004,1020,0,0,0,0,3,0,0.144319716,13958016,52736,126259,477174,9,48,253,0,2,15,69,0,674,1340267,0,233530,0,0,3,0,717,1004,1020,0,0,0,0,3,0,0.144319716,13958016,52736
cfd_097k,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,81443,212597,14,143,251,0,3,38,64,0,0,1333347,1250,786287,2,29,66,0,762,1024,1024,1093466,16166,16166,0,13,57659,0.172253655,6802048,3984768,81443,212597,14,143,251,0,3,38,64,0,0,1333347,1250,786287,2,29,66,0,762,1024,1024,1093466,16166,16166,0,13,57659,0.172253655,6802048,3984768
cfd_097k,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.003519350,79555,212610,14,139,256,64,3,37,68,0,0,1328553,498,780328,2,29,65,0,756,1024,1024,0,0,0,64,13,58412,0.176294446,6800768,3983104,79276,212431,14,139,266,0,3,37,68,0,0,1332302,498,786016,2,29,65,0,755,1024,1024,0,0,0,0,13,58213,0.176783224,6797312,3978624
