workload,variant,descriptor_capacity,native_dram_snapshot_status,native_dram_channels_observed,native_dram_data_bus_util_weighted_mean,native_dram_data_bus_util_p50,native_dram_data_bus_util_p95,native_dram_data_bus_util_max,native_dram_n_cmd_sum,source_dir
3mm,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/3mm
3mm,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__3mm/B0-Banked/3mm
3mm,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/3mm
3mm,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__3mm/B0-Legacy/3mm
FWT_11_19,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.031797999999999986,0.031798,0.031798,0.031798,4122016,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19
FWT_11_19,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.03175599999999998,0.031756,0.031756,0.031756,4127520,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__FWT_11_19/B0-Banked/FWT_11_19
FWT_11_19,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.031797999999999986,0.031798,0.031798,0.031798,4122016,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19
FWT_11_19,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.03175599999999998,0.031756,0.031756,0.031756,4127520,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__FWT_11_19/B0-Legacy/FWT_11_19
FWT_7_21,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16291921875,0.162954,0.163558,0.163612,11857120,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21
FWT_7_21,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16208846875000005,0.162172,0.162602,0.162774,11913472,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__FWT_7_21/B0-Banked/FWT_7_21
