condition	budget_name	layer	role	decode_index	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
CONTROL_B8	B8	0	gate_proj	0	0.09593600034713745	0.09523200243711472	0.09625600278377533	0.004400020213605844	[0.09600000083446503, 0.09523200243711472, 0.09593600034713745, 0.09625600278377533, 0.09523200243711472, 0.09539200365543365, 0.09622400254011154]	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef	43c8c5795b54584a250a9c9622e9f0f6d273c805b0e55cef5aa383122feb131c
CONTROL_B8	B8	0	gate_proj	1	0.07475200295448303	0.07388799637556076	0.07487999647855759	0.004314582598197776	[0.07388799637556076, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07487999647855759, 0.07487999647855759, 0.07475200295448303]	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	1430402855f726eec38eead13c60e6dafa04f90ccfffb751dfe02371b8142297
CONTROL_B8	B8	0	gate_proj	2	0.07680000364780426	0.07577600330114365	0.07680000364780426	0.006046421766791099	[0.07577600330114365, 0.07577600330114365, 0.07680000364780426, 0.07680000364780426, 0.07680000364780426, 0.07680000364780426, 0.07680000364780426]	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177	c23958d8efdd3f8794f5ce3f23ecb0075fde604caf777e58094c9e161f21ba00
CONTROL_B8	B8	0	gate_proj	3	0.07577600330114365	0.07487999647855759	0.07580800354480743	0.0041716566497932515	[0.07580800354480743, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07487999647855759, 0.07577600330114365, 0.07577600330114365]	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	25f94ba491b32b7c1340534999e7774cbe3f03a93f76599cc97b9c7e430c7d30
CONTROL_B8	B8	0	up_proj	0	0.09990400075912476	0.0942080020904541	0.10502400249242783	0.03524284074119534	[0.10502400249242783, 0.09625600278377533, 0.09728000313043594, 0.0942080020904541, 0.09990400075912476, 0.10239999741315842, 0.1013759970664978]	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef	858e096b29bd6b0ba94ee9aa1d980ceb45430073354ca232ecc3bba2ed948876
CONTROL_B8	B8	0	up_proj	1	0.08499199897050858	0.08499199897050858	0.08601599931716919	0.005424148825407479	[0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919]	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b
CONTROL_B8	B8	0	up_proj	2	0.08499199897050858	0.08473599702119827	0.08601599931716919	0.004507133272347852	[0.08601599931716919, 0.08499199897050858, 0.08473599702119827, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858]	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177	1a5703302916b1bb76afbbc8fec106ab2f0c8be1d55050b4acef2594177d3328
CONTROL_B8	B8	0	up_proj	3	0.08591999858617783	0.08499199897050858	0.0870399996638298	0.007570835453080065	[0.08601599931716919, 0.08591999858617783, 0.0857279971241951, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.0870399996638298]	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	abb444c62e12fec00485479cc7d40d69aa816d2965f7ba1af6f781a3ede0d142
CONTROL_B8	B8	0	down_proj	0	0.08089599758386612	0.0798719972372055	0.0817599967122078	0.006255249771214546	[0.08089599758386612, 0.08089599758386612, 0.08089599758386612, 0.0798719972372055, 0.0817599967122078, 0.08089599758386612, 0.08089599758386612]	cb50a226fd7403effa427b3aa248b7094a3cffb982b6e6b92aa40d2559b27f93	b01d6063f53842fa93448b59b0f73631b28568764501577e389ca4cf469de6f7
CONTROL_B8	B8	0	down_proj	1	0.08089599758386612	0.0798719972372055	0.08294399827718735	0.012992982338641384	[0.08089599758386612, 0.08294399827718735, 0.0798719972372055, 0.0798719972372055, 0.08191999793052673, 0.08191999793052673, 0.08089599758386612]	025b9c6e3bb9a34ed6c79e0397b52fdda4892e4718f4ac832eaf27a37eca2fa8	b720fdd0913b1dd3b7df909bd50f71ac928a92531d1b9479a454891d873bf4b2
CONTROL_B8	B8	0	down_proj	2	0.0798719972372055	0.0798719972372055	0.08089599758386612	0.005770581817135448	[0.0798719972372055, 0.08089599758386612, 0.0798719972372055, 0.08089599758386612, 0.0798719972372055, 0.0798719972372055, 0.0798719972372055]	d4595db8994a4ff32ff77750cf9b8dfdaab4f473145da0e1b871b4a387b92389	06ecadba2a7ce105244e5594071264b9e30b13b27d33dda9b36d044b6209e5e4
CONTROL_B8	B8	0	down_proj	3	0.07884799689054489	0.07782399654388428	0.08089599758386612	0.01355806640311856	[0.07884799689054489, 0.07884799689054489, 0.08089599758386612, 0.08089599758386612, 0.07782399654388428, 0.07884799689054489, 0.07884799689054489]	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded
CONTROL_B8	B8	1	gate_proj	0	0.09113600105047226	0.09033600240945816	0.09216000139713287	0.007515502969084702	[0.09216000139713287, 0.09113600105047226, 0.09203200042247772, 0.09033600240945816, 0.0907519981265068, 0.0910400003194809, 0.09216000139713287]	db6650c0130f05765968af959f30b49088e3776a2723cccf932989e55b9c44da	dafa4407e23d2cb658b7ce5c4d4b62f46a9ce0aff66e4a28dee76b5be140377e
