condition	budget_name	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
CONTROL_B8	B8	0	32.03891372680664	31.7992000579834	32.18739318847656	0.00423504866812529	[32.03891372680664, 32.18739318847656, 31.7992000579834, 31.886335372924805, 32.04595184326172, 31.874784469604492, 32.144737243652344]
CONTROL_B8	B8	1	17.83500862121582	17.764352798461914	18.06438446044922	0.006705394275135614	[17.775007247924805, 18.06438446044922, 17.764352798461914, 17.83500862121582, 17.804479598999023, 17.83500862121582, 18.060287475585938]
CONTROL_B8	B8	2	17.03321647644043	16.925695419311523	17.20627212524414	0.005484533458485039	[17.095680236816406, 17.087488174438477, 16.925695419311523, 17.03321647644043, 16.968704223632812, 16.940031051635742, 17.20627212524414]
CONTROL_B8	B8	3	16.89846420288086	16.866304397583008	17.076223373413086	0.004734927868456495	[16.957439422607422, 17.052671432495117, 16.870399475097656, 16.866304397583008, 16.89846420288086, 16.89833641052246, 17.076223373413086]
FAIR_B8	B8	0	32.002655029296875	31.84102439880371	32.04127883911133	0.002083541565480972	[32.02822494506836, 32.00678253173828, 32.002655029296875, 31.953216552734375, 31.912960052490234, 31.84102439880371, 32.04127883911133]
FAIR_B8	B8	1	17.876319885253906	17.733631134033203	17.99065589904785	0.0048333634491753525	[17.876319885253906, 17.99065589904785, 17.914880752563477, 17.884159088134766, 17.739904403686523, 17.733631134033203, 17.82489585876465]
FAIR_B8	B8	2	17.01683235168457	16.702463150024414	17.147903442382812	0.008937466831632	[16.854015350341797, 16.99635124206543, 17.125375747680664, 17.118207931518555, 17.01683235168457, 16.702463150024414, 17.147903442382812]
FAIR_B8	B8	3	17.006591796875	16.740352630615234	17.081344604492188	0.007329344639311108	[16.80284881591797, 17.056896209716797, 17.006591796875, 17.081344604492188, 16.874496459960938, 16.740352630615234, 17.02297592163086]
CONTROL_B16	B16	0	32.03148651123047	31.924415588378906	32.3421745300293	0.0040649460262983895	[31.96723175048828, 31.952608108520508, 32.0552978515625, 31.924415588378906, 32.03148651123047, 32.3421745300293, 32.08124923706055]
CONTROL_B16	B16	1	17.8155517578125	17.703935623168945	18.118656158447266	0.006917322907822893	[17.779712677001953, 17.8155517578125, 17.703935623168945, 17.79814338684082, 17.915903091430664, 18.118656158447266, 17.83807945251465]
CONTROL_B16	B16	2	17.02911949157715	16.854463577270508	17.40492820739746	0.009660517159374974	[16.9564151763916, 16.97996711730957, 16.854463577270508, 17.02911949157715, 17.165311813354492, 17.40492820739746, 17.067007064819336]
CONTROL_B16	B16	3	16.936960220336914	16.871423721313477	17.362943649291992	0.009189923697436115	[16.8920955657959, 16.936960220336914, 16.871423721313477, 16.936960220336914, 17.00351905822754, 17.362943649291992, 16.943103790283203]
