stage_id	owner	depends_on	task	validation	pass_condition	artifacts	failure_action
C16-0.0	A	NA	C15-A closeout and freeze A/B/C final inputs	provenance-role audit; hash-bound commits	planning/producer/artifact/handoff roles explicit; no C12-C15 scientific rewrite	C16_BASELINE_MANIFEST.json;C15_A_CLOSEOUT_RECEIPT.md	block formal synthesis; other lanes may continue offline prep
C16-0.1	A	C16-0.0	freeze model/deployment roles	selection-before-results audit; immutable revision schema	roles fixed without candidate speedup/miss input	MODEL_MATRIX.tsv;MODEL_SELECTION_RATIONALE.md	mark unavailable candidates; do not replace silently
C16-0.2	A	C16-0.1	prepare local model assets	per-file size+SHA256+revision/tokenizer closure	all GPU-bound assets hash-addressable; missing files explicit	MODEL_ASSET_MANIFEST.tsv;MODEL_ASSET_RECEIPTS/	do not open AutoDL run for unresolved primary asset
C16-0.3	G	C16-0.1	offline env/wheel/bootstrap/tool-version prep	dry-run; version matrix; no-GPU execution test	bootstrap idempotent; exact required packages/tool expectations recorded	AUTODL_BOOTSTRAP.sh;ENV_LOCK.tsv;TOOL_COMPATIBILITY.md	fallback version explicitly recorded; no live GPU assumption
C16-0.4	G	C16-0.3	unified native runner and wrappers	CPU/mock fixtures; argument/receipt schema tests	runner emits complete identity before any GPU operation	NATIVE_RUNNER;NSYS_WRAPPER;NCU_WRAPPER;NVBIT_WRAPPER;RUN_SCHEMA.md	fail-fast; no ad-hoc GPU-side script editing as scientific run
C16-0.5	H	C16-0.1	runtime object-map V2 observer design	alias/generation/grow/replace/unknown-release fixtures	weight/quant/KV/unknown boundaries preserved; no assumed free	OBJECT_MAP_V2_SPEC.md;observer fixtures	unknown stays UNKNOWN; unsafe hooks remain design-only
C16-0.6	A	C16-0.1	freeze prompts/token inputs	tokenizer/revision/hash/length receipt	text hash and per-model token IDs reproducible	INPUT_CORPUS.tsv;TOKEN_RECEIPTS/	unsupported tokenizer deployment marked unavailable
C16-0.7	A	C16-0.1,C16-0.6	freeze scenario matrix	ID uniqueness; memory-estimate sanity; no result-informed changes	S0-S4 fixed; MoE reduced first-wave scope explicit	SCENARIO_MATRIX.tsv;SCENARIO_POLICY.md	OOM-risk scenario may be SKIPPED_RESOURCE, not silently resized
C16-0.8	C,H	C16-0.4,C16-0.5	prepare offline parsers/selector/fingerprint fixtures	unit tests for weighting, mask+width, pages, lines, set union, NA	tests call actual implementation and close on exact fixture truths	OFFLINE_TOOL_TESTS.tsv;fixture corpus	tool PASS does not imply scientific estimator PASS
C16-0.9	A,G	C16-0.2,C16-0.3,C16-0.4,C16-0.6,C16-0.7,C16-0.8	build transfer/GPU package	manifest/hash closure; no untracked required dependency	package reproducible from local assets; rsync plan explicit	C16_GPU_PACKAGE_MANIFEST.tsv;EXPECTED_HASHES.tsv;TRANSFER_PLAN.md	GPU rental should wait unless user explicitly overrides
C16-1.1	G	C16-0.9	AutoDL instance/resource receipt	nvidia-smi; driver/CUDA/VRAM/CPU/RAM/disk/GPU exclusivity receipt	requested GPU visible and local work disk meets planned scope	AUTODL_INSTANCE_RECEIPT.json	choose new instance or downgrade model wave; no fake capability
C16-1.2	G	C16-1.1	transfer/import and hash closure	SHA256 compare against EXPECTED_HASHES	all used model/code/input assets exact	TRANSFER_RECEIPT.tsv	mismatch asset quarantined; no run
C16-1.3	G	C16-1.2	G0 native canary	Qwen2.5-0.5B S0 correctness, dtype, peak memory, timing	valid output checksum and identity receipt; no silent CPU/dtype fallback	G0_NATIVE_CANARY.json	fix runtime; block native baseline only
