deployment_id	asset_role	source_repo	source_revision	tokenizer_revision	asset_path	local_path	size_bytes	sha256	verification_status	transfer_required	notes
c16_llama32_1b_frozen_compatible	CONFIGURATION_ASSET	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	4e20de362430cd3b72f300e6b0f18e50e7166e08	config.json	/workspace/model/meta-llama__Llama-3.2-1B_main/config.json	843	bfb5d39c327ee5c3a65e3574596ff30b052a445cfc59a25bdf3b4c0c5a44f4d2	LOCAL_SHA256_VERIFIED	YES	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible	CONFIGURATION_ASSET	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	4e20de362430cd3b72f300e6b0f18e50e7166e08	generation_config.json	/workspace/model/meta-llama__Llama-3.2-1B_main/generation_config.json	185	da81b0dd4001a8e19fb5840d2b524f6957f44ddde6f5c3fe32b1f36cef5205bf	LOCAL_SHA256_VERIFIED	YES	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible	CHECKPOINT_FILE	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	4e20de362430cd3b72f300e6b0f18e50e7166e08	model.safetensors	/workspace/model/meta-llama__Llama-3.2-1B_main/model.safetensors	2471645608	68a2e4be76fa709455a60272fba8e512c02d81c46e6c671cc9449e374fd6809a	LOCAL_SHA256_VERIFIED_RECEIPT_CONSUMED	YES	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; IMMUTABLE_VERIFIED_RECEIPT=/workspace/c16_assets/c16-a/download_logs/immutable_verified_receipts/c16_llama32_1b_frozen_compatible/model.safetensors.json; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible	TOKENIZER_ASSET	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	4e20de362430cd3b72f300e6b0f18e50e7166e08	special_tokens_map.json	/workspace/model/meta-llama__Llama-3.2-1B_main/special_tokens_map.json	301	cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535	LOCAL_SHA256_VERIFIED	YES	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible	TOKENIZER_ASSET	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	4e20de362430cd3b72f300e6b0f18e50e7166e08	tokenizer.json	/workspace/model/meta-llama__Llama-3.2-1B_main/tokenizer.json	9085657	79e3e522635f3171300913bb421464a87de6222182a0570b9b2ccba2a964b2b4	LOCAL_SHA256_VERIFIED	YES	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_llama32_1b_frozen_compatible	TOKENIZER_ASSET	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	4e20de362430cd3b72f300e6b0f18e50e7166e08	tokenizer_config.json	/workspace/model/meta-llama__Llama-3.2-1B_main/tokenizer_config.json	50500	8004530facf809ac432114de2a4dcc65fcb632da5ec16d666091aeb6a2ee444a	LOCAL_SHA256_VERIFIED	YES	PREEXISTING_LOCAL_FROZEN_CHECKPOINT; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference	CONFIGURATION_ASSET	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	7ae557604adf67be50417f59c2c2f167def9a775	config.json	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/config.json	659	18e18afcaccafade98daf13a54092927904649e1dd4eba8299ab717d5d94ff45	LOCAL_SHA256_VERIFIED	YES	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference	CONFIGURATION_ASSET	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	7ae557604adf67be50417f59c2c2f167def9a775	generation_config.json	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/generation_config.json	242	e558847a8b4402616f1273797b015104dc266fe4b520056fca88823ba8f8ebe6	LOCAL_SHA256_VERIFIED	YES	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference	TOKENIZER_ASSET	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	7ae557604adf67be50417f59c2c2f167def9a775	merges.txt	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/merges.txt	1671839	599bab54075088774b1733fde865d5bd747cbcc7a547c5bc12610e874e26f5e3	LOCAL_SHA256_VERIFIED	YES	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; LOCAL_CHECKPOINT_FILES_PRESENT
c16_qwen25_05b_native_reference	CHECKPOINT_FILE	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	7ae557604adf67be50417f59c2c2f167def9a775	model.safetensors	/workspace/c16_assets/c16-a/metadata/Qwen__Qwen2.5-0.5B-Instruct__7ae557604adf67be50417f59c2c2f167def9a775/model.safetensors	988097824	fdf756fa7fcbe7404d5c60e26bff1a0c8b8aa1f72ced49e7dd0210fe288fb7fe	LOCAL_SHA256_VERIFIED_AGAINST_IMMUTABLE_REMOTE_LFS_RECEIPT_CONSUMED	YES	LOCAL_CHECKPOINT_DOWNLOADED_AND_SHA256_VERIFIED; IMMUTABLE_VERIFIED_RECEIPT=/workspace/c16_assets/c16-a/download_logs/immutable_verified_receipts/c16_qwen25_05b_native_reference/model.safetensors.json; LOCAL_CHECKPOINT_FILES_PRESENT; REMOTE_LFS_SHA256_MATCHED
