phase	launch_ordinal	semantic_range	semantic_class	start_ns	end_ns	duration_ns	stream	correlation_id	demangled_name	mangled_name	grid_x	grid_y	grid_z	block_x	block_y	block_z
decode3	1	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6630976670	6630978238	1568	7	153	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	43	1	1	1	128	1	1
decode3	2	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6633391602	6633392722	1120	7	171	void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<double>, at::detail::Array<char *, (int)1>>(int, T2, T3)	44	1	1	1	128	1	1
decode3	3	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6648138922	6648141194	2272	7	177	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	45	1	1	1	128	1	1
decode3	4	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6652910480	6652911568	1088	7	189	void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	46	1	1	1	128	1	1
decode3	5	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6656772144	6656773104	960	7	199	void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	47	1	1	1	128	1	1
decode3	6	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	7273350757	7273353029	2272	7	7419	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	86	4	1	1	128	1	1
decode3	7	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	7273418406	7273419398	992	7	7430	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	87	4	1	1	128	1	1
decode3	8	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	7278002443	7278004619	2176	7	7444	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	88	1	1	1	512	1	1
decode3	9	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	7283641465	7283642585	1120	7	7454	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	89	1	1	1	128	1	1
decode3	10	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	7292237439	7292238431	992	7	7464	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	90	1	1	1	128	1	1
