phase	launch_ordinal	semantic_range	semantic_class	start_ns	end_ns	duration_ns	stream	correlation_id	demangled_name	mangled_name	grid_x	grid_y	grid_z	block_x	block_y	block_z
prefill	1	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6249556787	6249558323	1536	7	153	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	38	1	1	1	128	1	1
prefill	2	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6251932646	6251933734	1088	7	171	void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<double>, at::detail::Array<char *, (int)1>>(int, T2, T3)	39	1	1	1	128	1	1
prefill	3	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6266311099	6266313339	2240	7	177	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	40	1	1	1	128	1	1
prefill	4	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6270879808	6270880896	1088	7	189	void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	41	1	1	1	128	1	1
prefill	5	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6274677823	6274678815	992	7	199	void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	42	1	1	1	128	1	1
prefill	6	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6874182312	6874185352	3040	7	6739	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	103	512	1	1	128	1	1
prefill	7	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6874253577	6874255049	1472	7	6750	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	104	512	1	1	128	1	1
prefill	8	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6878801485	6878805870	4385	7	6764	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	105	8	1	1	32	16	1
prefill	9	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6884383227	6884384219	992	7	6774	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	106	1	1	1	128	1	1
prefill	10	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6892941824	6892942816	992	7	6784	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	107	1	1	1	128	1	1
prefill	11	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6893000929	6893003297	2368	7	6794	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	108	1024	1	1	128	1	1
prefill	12	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6893070849	6893073441	2592	7	6807	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	109	512	1	1	128	1	1
prefill	13	OUTSIDE_COMPONENT_RANGE	UNKNOWN_RUNTIME	6893095266	6893097570	2304	7	6818	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	110	512	1	1	128	1	1
prefill	14	Q30_COMPONENT_SELF_ATTN	ATTENTION	6971932482	6971964579	32097	7	8314	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn	111	32	2	1	128	1	1
prefill	15	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972078532	6972082564	4032	7	8327	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	103	1024	1	1	128	1	1
prefill	16	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972102340	6972104644	2304	7	8338	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	104	1024	1	1	128	1	1
prefill	17	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972126244	6972130180	3936	7	8352	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	105	256	1	1	32	16	1
prefill	18	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972150340	6972151364	1024	7	8362	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	106	8	1	1	128	1	1
prefill	19	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972161764	6972162788	1024	7	8372	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	107	8	1	1	128	1	1
prefill	20	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972175076	6972178276	3200	7	8382	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	108	2048	1	1	128	1	1
prefill	21	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972263013	6972266693	3680	7	8399	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	109	1024	1	1	128	1	1
prefill	22	Q30_COMPONENT_SELF_ATTN	ATTENTION	6972273797	6972277093	3296	7	8410	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	110	1024	1	1	128	1	1
prefill	23	Q30_COMPONENT_SELF_ATTN	ATTENTION	6981966868	6981973428	6560	7	8441	void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(T1::Params)	112	16	1	4	128	1	1
