profile_id	role	dose_mib	dram__bytes.sum	unit	kernel_count	kernel_names	replay_pass_count	nvtx_range	profiler_command
down_proj_0MIB	down_proj	0	46080.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_0MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_0MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_0MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 0
down_proj_16MIB	down_proj	16	11553152.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_16MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_16MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_16MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 16
down_proj_24MIB	down_proj	24	22908288.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_24MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_24MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_24MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 24
down_proj_28MIB	down_proj	28	28720640.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_28MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_28MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_28MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 28
down_proj_32MIB	down_proj	32	38679680.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_32MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_32MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_32MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 32
down_proj_36MIB	down_proj	36	40317056.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_36MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_36MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_36MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 36
down_proj_48MIB	down_proj	48	37549312.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_48MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_48MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_48MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 48
down_proj_64MIB	down_proj	64	35751424.0	byte	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	C16_E1_KNEE_DOWN_PROJ_64MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_DOWN_PROJ_64MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/down_proj_64MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role down_proj --dose-mib 64
q_proj_0MIB	q_proj	0	35584.0	byte	3	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)"", ""void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::Half>, detail::Array<char *, 3>>(int, T2, T3)""]"	1	C16_E1_KNEE_Q_PROJ_0MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_Q_PROJ_0MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/q_proj_0MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role q_proj --dose-mib 0
q_proj_32MIB	q_proj	32	6200064.0	byte	3	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)"", ""void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::Half>, detail::Array<char *, 3>>(int, T2, T3)""]"	1	C16_E1_KNEE_Q_PROJ_32MIB	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_KNEE_Q_PROJ_32MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics dram__bytes.sum --force-overwrite -o /data/c16/e1_natural_reuse_residency_v1/ncu/knee/reports/q_proj_32MIB /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_knee_ncu_replay.py --role q_proj --dose-mib 32
