target	decode_index	token_id	median_ms	min_ms	max_ms	cv	samples_ms	decode_step_median_ms	decode_step_min_ms	decode_step_max_ms	decode_step_cv	decode_step_samples_ms	input_sha256	output_sha256	nvtx_range
L0_UP	0	23578	0.10735999792814255	0.10444799810647964	0.11260800063610077	0.023849894447613332	[0.10751999914646149, 0.10735999792814255, 0.1085439994931221, 0.10444799810647964, 0.10444799810647964, 0.11260800063610077, 0.10710400342941284]	25.680511474609375	25.4781436920166	31.727296829223633	0.08051080736773628	[31.727296829223633, 25.591808319091797, 25.530080795288086, 25.680511474609375, 25.4781436920166, 25.73311996459961, 25.803359985351562]	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef	858e096b29bd6b0ba94ee9aa1d980ceb45430073354ca232ecc3bba2ed948876	C16_E1_NAT_L0_UP_D0
L0_UP	1	11	0.08601599931716919	0.08499199897050858	0.08601599931716919	0.005396380135759957	[0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858]	14.058496475219727	14.052351951599121	14.065664291381836	0.0003065698774545723	[14.052351951599121, 14.061568260192871, 14.065664291381836, 14.057472229003906, 14.053376197814941, 14.058496475219727, 14.06054401397705]	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b	C16_E1_NAT_L0_UP_D1
L0_UP	2	323	0.08499199897050858	0.08396799862384796	0.08601599931716919	0.006440032183787832	[0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08396799862384796, 0.08499199897050858, 0.08601599931716919]	14.06873607635498	14.058496475219727	14.07795238494873	0.00044805454412381624	[14.058496475219727, 14.06060791015625, 14.06873607635498, 14.063615798950195, 14.06982421875, 14.071807861328125, 14.07795238494873]	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177	1a5703302916b1bb76afbbc8fec106ab2f0c8be1d55050b4acef2594177d3328	C16_E1_NAT_L0_UP_D2
L0_UP	3	3950	0.08601599931716919	0.08502399921417236	0.0870399996638298	0.007497980710764354	[0.0870399996638298, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08502399921417236, 0.08601599931716919, 0.0870399996638298]	14.053376197814941	14.041088104248047	14.056447982788086	0.00035026071091877884	[14.041088104248047, 14.053376197814941, 14.053376197814941, 14.049280166625977, 14.052351951599121, 14.056447982788086, 14.056447982788086]	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	abb444c62e12fec00485479cc7d40d69aa816d2965f7ba1af6f781a3ede0d142	C16_E1_NAT_L0_UP_D3
L14_UP	0	23578	0.08601599931716919	0.08396799862384796	0.0870399996638298	0.011802735323353238	[0.0870399996638298, 0.08601599931716919, 0.08396799862384796, 0.08601599931716919, 0.0870399996638298, 0.08499199897050858, 0.08601599931716919]	25.680511474609375	25.4781436920166	31.727296829223633	0.08051080736773628	[31.727296829223633, 25.591808319091797, 25.530080795288086, 25.680511474609375, 25.4781436920166, 25.73311996459961, 25.803359985351562]	17cb33dd1fdc75886d6152d68abd826d676bab4423d2a3000986f0d27b2b86c5	282a61a18e36691780f971001ffa7a4e0473e70416164304de1410d2f1293df7	C16_E1_NAT_L14_UP_D0
L14_UP	1	11	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.007618632891173516	[0.0870399996638298, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919]	14.058496475219727	14.052351951599121	14.065664291381836	0.0003065698774545723	[14.052351951599121, 14.061568260192871, 14.065664291381836, 14.057472229003906, 14.053376197814941, 14.058496475219727, 14.06054401397705]	7452778f19f09e10a4563921776438a1bf015853ab35544b839429f9d52f66e4	01bbee782d3ad81acbdad62b1f87be20228e7351223548ad1b447b190d16957d	C16_E1_NAT_L14_UP_D1
L14_UP	2	323	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.008303357927427852	[0.08601599931716919, 0.08499199897050858, 0.0870399996638298, 0.0870399996638298, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919]	14.06873607635498	14.058496475219727	14.07795238494873	0.00044805454412381624	[14.058496475219727, 14.06060791015625, 14.06873607635498, 14.063615798950195, 14.06982421875, 14.071807861328125, 14.07795238494873]	225308e20251277b8e8894ffbde9d11989015a36fbce06334a9eb9961712066b	7fd4ace031eb223e62056e45cd0e3b3e69cf5bb159921725ac44f1c148f1b3a3	C16_E1_NAT_L14_UP_D2
L14_UP	3	3950	0.08601599931716919	0.08499199897050858	0.08601599931716919	0.005396380135759957	[0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919]	14.053376197814941	14.041088104248047	14.056447982788086	0.00035026071091877884	[14.041088104248047, 14.053376197814941, 14.053376197814941, 14.049280166625977, 14.052351951599121, 14.056447982788086, 14.056447982788086]	fad24b505c70b2c4d5265fc0f028fbda7ab87338c131c47e6a534663615297e5	1d4d06b3d59eb3dd8dc7907fd560d2c3bcc97efd037df072c8f534d199ea6eca	C16_E1_NAT_L14_UP_D3
L0_DOWN	0	23578	0.08054400235414505	0.0798719972372055	0.08207999914884567	0.009328283146828516	[0.0798719972372055, 0.08089599758386612, 0.08054400235414505, 0.0798719972372055, 0.08207999914884567, 0.08089599758386612, 0.0798719972372055]	25.680511474609375	25.4781436920166	31.727296829223633	0.08051080736773628	[31.727296829223633, 25.591808319091797, 25.530080795288086, 25.680511474609375, 25.4781436920166, 25.73311996459961, 25.803359985351562]	cb50a226fd7403effa427b3aa248b7094a3cffb982b6e6b92aa40d2559b27f93	b01d6063f53842fa93448b59b0f73631b28568764501577e389ca4cf469de6f7	C16_E1_NAT_L0_DOWN_D0
L0_DOWN	1	11	0.08191999793052673	0.08089599758386612	0.08191999793052673	0.006219215228291248	[0.08089599758386612, 0.08191999793052673, 0.08191999793052673, 0.08089599758386612, 0.08191999793052673, 0.08089599758386612, 0.08191999793052673]	14.058496475219727	14.052351951599121	14.065664291381836	0.0003065698774545723	[14.052351951599121, 14.061568260192871, 14.065664291381836, 14.057472229003906, 14.053376197814941, 14.058496475219727, 14.06054401397705]	025b9c6e3bb9a34ed6c79e0397b52fdda4892e4718f4ac832eaf27a37eca2fa8	b720fdd0913b1dd3b7df909bd50f71ac928a92531d1b9479a454891d873bf4b2	C16_E1_NAT_L0_DOWN_D1
L0_DOWN	2	323	0.0806720033288002	0.0798719972372055	0.08089599758386612	0.006025667276042317	[0.08089599758386612, 0.0798719972372055, 0.08089599758386612, 0.0798719972372055, 0.0798719972372055, 0.0806720033288002, 0.08089599758386612]	14.06873607635498	14.058496475219727	14.07795238494873	0.00044805454412381624	[14.058496475219727, 14.06060791015625, 14.06873607635498, 14.063615798950195, 14.06982421875, 14.071807861328125, 14.07795238494873]	d4595db8994a4ff32ff77750cf9b8dfdaab4f473145da0e1b871b4a387b92389	06ecadba2a7ce105244e5594071264b9e30b13b27d33dda9b36d044b6209e5e4	C16_E1_NAT_L0_DOWN_D2
L0_DOWN	3	3950	0.07884799689054489	0.07843200117349625	0.0806720033288002	0.009326779400416646	[0.07980799674987793, 0.0806720033288002, 0.07862400263547897, 0.07884799689054489, 0.07884799689054489, 0.07884799689054489, 0.07843200117349625]	14.053376197814941	14.041088104248047	14.056447982788086	0.00035026071091877884	[14.041088104248047, 14.053376197814941, 14.053376197814941, 14.049280166625977, 14.052351951599121, 14.056447982788086, 14.056447982788086]	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded	C16_E1_NAT_L0_DOWN_D3
