role	M	implementation	call_index	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
down_proj	1	AWQ_FP16_INPUT	1	0.09011200070381165	0.08908800035715103	0.09113600105047226	0.007308820102409736	[0.09113600105047226, 0.08982399851083755, 0.08908800035715103, 0.09014400094747543, 0.09011200070381165, 0.08908800035715103, 0.09094399958848953, 0.09011200070381165, 0.09011200070381165]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	2	0.048128001391887665	0.048128001391887665	0.04854400083422661	0.00289127290892383	[0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.04819199815392494, 0.04835199937224388, 0.048128001391887665, 0.04831999912858009, 0.04854400083422661]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	3	0.04822399839758873	0.048128001391887665	0.04915200173854828	0.008311922744755498	[0.048128001391887665, 0.04915200173854828, 0.048128001391887665, 0.04915200173854828, 0.048128001391887665, 0.04848000034689903, 0.04822399839758873, 0.04835199937224388, 0.048128001391887665]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	4	0.048128001391887665	0.048128001391887665	0.04822399839758873	0.0006267092493100535	[0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.04822399839758873, 0.048128001391887665, 0.048128001391887665]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	5	0.048128001391887665	0.048128001391887665	0.04915200173854828	0.006670820750954852	[0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.04915200173854828, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	6	0.048128001391887665	0.048128001391887665	0.04915200173854828	0.006670820750954852	[0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.048128001391887665, 0.04915200173854828, 0.048128001391887665, 0.048128001391887665]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	RAW_FP16	1	0.21420800685882568	0.21379199624061584	0.21606400609016418	0.0031903359990745166	[0.21606400609016418, 0.21491199731826782, 0.21401600539684296, 0.21401600539684296, 0.21401600539684296, 0.21465599536895752, 0.21503999829292297, 0.21420800685882568, 0.21379199624061584]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	d99ca2792b2e83587c6f2331e0754c6cba27c6998e0026308bafb546a10d942b
down_proj	1	RAW_FP16	2	0.20684799551963806	0.20582400262355804	0.20787200331687927	0.0033003311689832385	[0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20582400262355804, 0.20684799551963806, 0.20684799551963806, 0.20582400262355804, 0.20787200331687927, 0.20787200331687927]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	d99ca2792b2e83587c6f2331e0754c6cba27c6998e0026308bafb546a10d942b
down_proj	1	RAW_FP16	3	0.20684799551963806	0.20582400262355804	0.20688000321388245	0.001563436664596162	[0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20688000321388245, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20582400262355804]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	d99ca2792b2e83587c6f2331e0754c6cba27c6998e0026308bafb546a10d942b
down_proj	1	RAW_FP16	4	0.20684799551963806	0.20684799551963806	0.20684799551963806	0.0	[0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806, 0.20684799551963806]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	d99ca2792b2e83587c6f2331e0754c6cba27c6998e0026308bafb546a10d942b
