stage_id	phase	purpose	required_outputs	acceptance
E0.1	E0	ownership_and_frozen_baseline	E_EXECUTION_INVENTORY.tsv	coordination_branch_owned;protected_sources_recorded;zero_simulation_scope
E0.2	E0	input_import	lane_e/E_INPUT_MANIFEST.tsv	pinned_source_commits;original_paths;git_blob_sha;sha256;snapshot_paths;roles_verified
E0.3	E0	coverage_identity_units	E_COVERAGE_AND_IDENTITY.tsv;E_METRIC_DICTIONARY.tsv	12_workloads;36_primary_cells;accepted_sensitivity;D4_18;D5_12;29_launches_plus_1_reuse;units_and_denominators_explicit
E0.4	E0	interpretation_reconciliation	E_INTERPRETATION_RECONCILIATION.tsv;E_CLAIM_EVIDENCE_REGISTER.tsv	latest_D_revision_selected;historical_BC_scope_preserved;no_silent_rewrite
E1.1	E1	primary_and_mechanism_results	E_PRIMARY_PERFORMANCE.tsv;E_BASE_PRESSURE.tsv;E_IO_OO_MECHANISM.tsv	integer_cycle_recompute;exact_12_member_GM;IO_regressions_retained;nonexclusive_pressure_preserved
E1.2	E1	three_sensitivity_families	E_SENS_LOGICAL.tsv;E_SENS_PHYSICAL.tsv;E_SENS_PIB.tsv	accepted_cells_only;same_mode_normalization;deadlock_boundaries_nonnumeric;Btree_16p5_numeric
E1.3	E1	physical_pool_observer_synthesis	E_PHYSICAL_OBSERVER_SYNTHESIS.tsv;E_PRESSURE_DENOMINATOR_COMPARISON.tsv	BICG_GESUMMV_Btree_24_32_48_IO_OO;occupancy_lines_and_fraction;pool_full_fraction;active_SM_inflight;lifetimes;L2_rates;no_free_denominators_separated
E1.4	E1	duplicate_request_synthesis	E_DUPLICATE_IO_OO.tsv;E_DUPLICATE_PAYLOAD_RATIOS.tsv	12_IO_OO_pairs;integer_ratios;7_lower_3_higher_2_zero_derived;lower_request_payload_scope_only
E1.5	E1	figures_and_captions	F01-F09;FIGURE_INDEX.md	actual_SVG_PDF_PNG_assets;plot_data;source_qualified_captions;no_placeholders
E1.6	E1	paper_writing	PAPER_RESULTS_ANALYSIS.md;WORKLOAD_EXPLANATIONS.tsv	Chinese_main_analysis;12_workloads;English_figure_captions;limitations_in_main_text
E2.1	E2	numerical_and_claim_validation	E_VALIDATION_REPORT.md;claim_audit_outputs	hashes;membership;lineage;arithmetic;scope;positive_negative_fixtures
E2.2	E2	visual_QA	E_VISUAL_QA.md	every_figure_rendered_and_inspected;labels_legends_clipping_units_normalization_checked
E2.3	E2	reproducible_package	REPRODUCE.md;E_OUTPUT_MANIFEST.tsv;rebuild_reports	pinned_compact_inputs_only;two_rebuilds;canonical_outputs_deterministic;no_simulator_dependency
E2.4	E2	final_closeout	LANE_E_FINAL.md;completed_checklist;POST_FAST64_FINAL_review_pack	all_checks_pass;frozen_inputs_unchanged;zero_new_simulation;remote_checkpoint_verified
