policy_id	area	rule
P01	scope	Lane E is analysis integration figures writing validation only;zero new simulator runs;zero trace capture;zero Core scientific edits;zero new observer points
P02	primary_authority	primary Base IO OO performance and GM come only from frozen FAST64 authority
P03	diagnostic_scope	post_FAST64 observer evidence remains diagnostic and never enters primary GM
P04	selected_interpretation	use Lane D analysis revision dfdf09850f133927d98aba51accd8ef082a4b6b0 for current D interpretation while preserving d33 experimental history
P05	problem_solving	ordinary path schema parser rounding plotting export dependency and import failures are work to solve rather than stop conditions
P06	problem_loop	OBSERVE -> REPRODUCE -> VERIFY_SOURCE -> CLASSIFY -> SOURCE_CORRECT_ANALYSIS_FIX -> REGENERATE -> REGRESS -> CONTINUE
P07	unsupported_hypothesis	a NOT_SUPPORTED or INSUFFICIENT scientific result is valid and does not block Lane E completion
P08	no_simulation_fix	do not solve analysis ambiguity by launching simulation or adding telemetry
P09	escalation	escalate only inaccessible mandatory pinned authority after recovery attempts;unexplained protected scientific-data contradiction;or need to change accepted scientific values membership or mechanism semantics
P10	parallelism	one coordinator owns final integration branch;independent helpers may work only on disjoint outputs;no concurrent writers to final manifests
P11	git	preserve unrelated changes;avoid destructive history/worktree operations;commit meaningful scientific checkpoints;no raw multi_GB logs
P12	figures	actual rendered assets and visual inspection are mandatory;plot scripts alone do not satisfy E1.5 or E2.2
P13	reproducibility	final package must rebuild from pinned compact inputs without simulator runtime raw remote disks or active Codex session
P14	terminal	declare POST_FAST64_PAPER_ANALYSIS_AND_MECHANISM_EXPLORATION_READY_FOR_REVIEW only after all 14 stage checklist rows and acceptance contract checks close
P15	after_terminal	stop for researcher or ChatGPT review;do not automatically begin another research program
