workload,variant,parent_core_sha,m1_core_sha,framework_sha,parent_cycles,m1_cycles,parent_instructions,m1_instructions,artifact_comparison,status
cfd_097k,B0-Banked,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,81443,81443,143129372,143129372,7_of_7_byte_identical,COMPLETE_EXACT
sad,B0-Banked,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,110653,110653,157583646,157583646,7_of_7_byte_identical,COMPLETE_EXACT
vectorAdd_4M,B0-Banked,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,73873,73873,56000000,56000000,7_of_7_byte_identical,COMPLETE_EXACT
FWT_7_21,B0-Legacy,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,495811,495811,791609344,791609344,7_of_7_byte_identical,COMPLETE_EXACT
cfd_097k,B0-Legacy,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,79276,79276,143129372,143129372,7_of_7_byte_identical,COMPLETE_EXACT
convolutionSeparable,B0-Legacy,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,292211,292211,714547200,714547200,7_of_7_byte_identical,COMPLETE_EXACT
sad,B0-Legacy,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,110653,110653,157583646,157583646,7_of_7_byte_identical,COMPLETE_EXACT
vectorAdd_4M,B0-Legacy,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,73873,73873,56000000,56000000,7_of_7_byte_identical,COMPLETE_EXACT
FWT_7_21,B0-Banked,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,495811,495811,791609344,791609344,7_of_7_byte_identical,COMPLETE_EXACT
convolutionSeparable,B0-Banked,878f80869ce212e779df20b6421e4dc7f987825d,955a50cbb5e8d928b6c7b0c78e1af062b835df44,aae62b66685f15437cecf0193934f628e6fac6ae,292211,292211,714547200,714547200,7_of_7_byte_identical,COMPLETE_EXACT
