workload	variant	side	status	raw_log	sha256_or_state
cfd_097k	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/cfd_097k/raw.log.gz	fc307b457a4492e4cc3b537c4d81fd98d6e84370742b53b57dfd300f2811e6f7
sad	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/sad/raw.log.gz	9008f9d9d82dc1e7104158eb283b284c355a59ad71c66f7689af0960e0f8fe6e
vectorAdd_4M	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/vectorAdd_4M/raw.log.gz	d0d04c6ec92b3e08a75d0f550d80e36f1852d32832bb435b7ddbb38f4ce66dc1
FWT_7_21	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/FWT_7_21/raw.log.gz	5c0ccd4a57532d190c8a6662cd195bececb9533f903751e7726798316bc77a2f
cfd_097k	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/cfd_097k/raw.log.gz	ac2535eeb70ae2f2ba1e8f1a2674c93ce4adf93137bb9d037b83f7931eccddb5
convolutionSeparable	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/convolutionSeparable/raw.log.gz	be22472be21a687333bfada4adba2c5841ce9238d480eb178622fc03863a5202
sad	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/sad/raw.log.gz	132063fc282a383aab5cccd6b33de5d1e62b2b09c4d89493e38beccf75bbc341
vectorAdd_4M	B0-Legacy	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Legacy/vectorAdd_4M/raw.log.gz	98720c022fc9b51f5a512710cc331052c6a7147d689dd70f7197ae77810d9e31
FWT_7_21	B0-Banked	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Banked/FWT_7_21/raw.log.gz	fbafcec33f9f6a8119f75291926a07728fc1f7dc946b08186e4a745d77a77659
convolutionSeparable	B0-Banked	Parent	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/parent/B0-Banked/convolutionSeparable/raw.log.gz	f9292644c0978105ede6aa529d91517408dcb9bc8743f2dc97c5ccf7ccf1f1cb
FWT_7_21	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/FWT_7_21/raw.log.gz	df7eb14fa7f5f3b9f75f169593835d6374a2d6db78fa4d449403d10318b3a1fb
convolutionSeparable	B0-Banked	M1	COMPLETE_VALID	/workspace/results/ep_l2_m1_equivalence/m1/B0-Banked/convolutionSeparable/raw.log.gz	a2b6db25d5a7fbb634783e1f38ab71cac5ead6dd93ac669f524de148f56ffdfe
