kind	id	path_or_authority	sha256	evidence_class
run_log	T0:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T0_OBSERVER_OFF_10_80/run.log	4a06fb3f691ad5e1e072baed693a07f356b1174351fab2f73dfa8f6f5964cd92	NEUTRALITY
command	T0:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T0_OBSERVER_OFF_10_80/command.json	3fbe05b5127e668904dd2d98ec9bbf2684fe4c31a90a8560daf4d126407a6341	PROVENANCE
run_log	T0:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T0_OBSERVER_ON_10_80/run.log	2ab1c570a03ac020e3f308097d87dd4468da0ca4ec3f19edabdc72446132da37	OPPORTUNITY
command	T0:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T0_OBSERVER_ON_10_80/command.json	8367bf2e209aad2f8773d41d0b83f9392d2df24ed918f2378e8a5e3193e36020	PROVENANCE
run_log	T1:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T1_OBSERVER_OFF_10_80/run.log	16d6fe8758ed2951d11e56cc59d752b0eef999711bc83e314cc60de51e4bf178	NEUTRALITY
command	T1:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T1_OBSERVER_OFF_10_80/command.json	6d55617def82ed50c7bd7e7e99049d5ba14f02d14b1f0fc935caca9764c9db0f	PROVENANCE
run_log	T1:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T1_OBSERVER_ON_10_80/run.log	8b67bdd354c660c0bfe356642b6b4c5ce559d3589f7a06eb98e2b6fa08fc7b07	OPPORTUNITY
command	T1:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T1_OBSERVER_ON_10_80/command.json	dfc79bd6a4ab6ae167ccccfccb29580e84cc78ae3c59d77bc3c49f7d01c14c6f	PROVENANCE
run_log	T2:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T2_OBSERVER_OFF_10_80/run.log	4b0b35ea1e3b3f5b1e3006e1fcc04c0927cca7f1c9890669ab28a5e0981f5e05	NEUTRALITY
command	T2:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T2_OBSERVER_OFF_10_80/command.json	e09c53dec525b5891f3afe9c0e60a6a9589e23e369eef44b9d2786598cd9a3af	PROVENANCE
run_log	T2:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T2_OBSERVER_ON_10_80/run.log	eb805b4258768fc340f07a468d343373676d84b9572f61ce2dc42775556514f5	OPPORTUNITY
command	T2:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/T2_OBSERVER_ON_10_80/command.json	04d41e3379e7584e8cf94e68e809d07ffe8e89faf54a4097f7c2116a102e761a	PROVENANCE
run_log	SPLITKV:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/SPLITKV_OBSERVER_OFF_10_80/run.log	da2189f95e2894f081a0f86829c991fe8d3c17a4c78d34c7594a309af4080d12	NEUTRALITY
command	SPLITKV:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/SPLITKV_OBSERVER_OFF_10_80/command.json	1f4e2d0206a0ca7dc62b86e3b1eeac1099c1944a992746d569c9e2c7e4d2253d	PROVENANCE
run_log	SPLITKV:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/SPLITKV_OBSERVER_ON_10_80/run.log	a4b151a960b0fdba1b3f428ffd254bb373ab74b159f5f219a5939eb306f5c77c	OPPORTUNITY
command	SPLITKV:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/SPLITKV_OBSERVER_ON_10_80/command.json	692881cd24d45bc559cbb7d6ebd4cd7183420e5c9d1969595d66469a807e9185	PROVENANCE
run_log	COMBINE:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/COMBINE_OBSERVER_OFF_10_80/run.log	25ae12f31f2013f42e6491c3cd7200bfcad149b6a0642feb6939482a894280e9	NEUTRALITY
command	COMBINE:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/COMBINE_OBSERVER_OFF_10_80/command.json	c9993808c8c3dcc623705a53089c29ffa1e4ffd6377c7654fd1e527cf642f3f0	PROVENANCE
run_log	COMBINE:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/COMBINE_OBSERVER_ON_10_80/run.log	d71450b33b775f053e645badc3521f2b2ca274e458c41e0ad72b5f2b01cdac5f	OPPORTUNITY
command	COMBINE:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/COMBINE_OBSERVER_ON_10_80/command.json	c3cd61405d3a4ea3af89d3af409bbea2ecba48c2d31b994220ee0c2364b52bef	PROVENANCE
run_log	A1:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A1_OBSERVER_OFF_10_80/run.log	69ebeb3f0313e61406de8bdc75322de5a089b916daaf5ccb11475b4a6be6a948	NEUTRALITY
command	A1:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A1_OBSERVER_OFF_10_80/command.json	fc58b85d25f4094c4afe81f3ac38305cf2e30c244096087e430a176a9001a05a	PROVENANCE
run_log	A1:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A1_OBSERVER_ON_10_80/run.log	bc272cf0dc1c29b00a2744fba24530388155826903b661b4d8c2697907c4e7c4	OPPORTUNITY
command	A1:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A1_OBSERVER_ON_10_80/command.json	2c3e7a14f6ebdb6e41517a592e571d0acf92d848defee9367f26f443f731b437	PROVENANCE
run_log	A2:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A2_OBSERVER_OFF_10_80/run.log	177ff4cacdec76ce19d39275c90d7c45c5fc2babc7028c42720e269fa6022266	NEUTRALITY
command	A2:OFF	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A2_OBSERVER_OFF_10_80/command.json	4df4274b357c17b54f7bc3248686acee055769807b9dc49b50e5b4802e36d272	PROVENANCE
run_log	A2:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A2_OBSERVER_ON_10_80/run.log	6c4990606501f47acf407e63fd486e1ebab2f75ec4736b85177bfb0301180fd2	OPPORTUNITY
command	A2:ON	/root/share/mnt164/huangrulin/awma_passive_translation_result_reuse_opportunity_v1/raw/A2_OBSERVER_ON_10_80/command.json	140775fae1755845ff7f8b0c9879350b64ba988e0f40e910e42025ee4e8d734f	PROVENANCE
accepted_commit	A2_ATTRIBUTION	b8a4064cb1bbe832758acf9dceb1461844c1fe4e		ACCEPTED
accepted_commit	OBSERVABILITY_AUTHORITY	b85d388abe98e5da70b749b52075c33fad7cede4		ACCEPTED
accepted_commit	FROZEN_PROACTIVE_CANDIDATE	c0602ee06e647d9a3cf84b0adbb8d98075021f99		ACCEPTED
