phase	decode_step	layer	peak_allocated	peak_reserved	post_release_allocated	post_release_reserved
PREFILL		0	1377494528	1461714944	31113728	1461714944
PREFILL		1	1382213120	1478492160	35832320	1478492160
PREFILL		2	1389553152	1478492160	40026624	1478492160
PREFILL		3	1392698880	1478492160	44220928	1478492160
PREFILL		4	1397941760	1478492160	48415232	1478492160
PREFILL		5	1401087488	1478492160	52609536	1478492160
PREFILL		6	1405281792	1478492160	56803840	1478492160
PREFILL		7	1410524672	1478492160	60998144	1478492160
PREFILL		8	1413670400	1478492160	65192448	1478492160
PREFILL		9	1417864704	1478492160	69386752	1478492160
PREFILL		10	1423107584	1478492160	73581056	1478492160
PREFILL		11	1426253312	1478492160	77775360	1478492160
PREFILL		12	1430447616	1478492160	81969664	1478492160
PREFILL		13	1435690496	1478492160	86163968	1478492160
PREFILL		14	1438836224	1478492160	90358272	1478492160
PREFILL		15	1443030528	1478492160	94552576	1478492160
PREFILL		16	1448273408	1478492160	98746880	1478492160
PREFILL		17	1453516288	1478492160	102941184	1478492160
PREFILL		18	1457710592	1478492160	107135488	1478492160
PREFILL		19	1464002048	1478492160	111329792	1478492160
PREFILL		20	1467147776	1497366528	115524096	1497366528
PREFILL		21	1470293504	1497366528	119718400	1497366528
PREFILL		22	1477502464	1514143744	123912704	1514143744
PREFILL		23	1481696768	1514143744	128107008	1514143744
PREFILL		24	1485891072	1514143744	132301312	1514143744
PREFILL		25	1489036800	1514143744	136495616	1514143744
PREFILL		26	1493231104	1514143744	140689920	1514143744
PREFILL		27	1498473984	1530920960	144884224	1530920960
PREFILL		28	1501619712	1530920960	149078528	1530920960
PREFILL		29	1506862592	1530920960	153272832	1530920960
PREFILL		30	1512105472	1530920960	157467136	1530920960
PREFILL		31	1516299776	1547698176	161661440	1547698176
PREFILL		32	1519445504	1547698176	165855744	1547698176
PREFILL		33	1526785536	1547698176	170050048	1547698176
PREFILL		34	1530979840	1547698176	174244352	1547698176
PREFILL		35	1535174144	1564475392	178438656	1564475392
PREFILL		36	1539368448	1564475392	182632960	1564475392
PREFILL		37	1543562752	1581252608	186827264	1581252608
PREFILL		38	1547757056	1581252608	191021568	1581252608
PREFILL		39	1551951360	1581252608	195215872	1581252608
PREFILL		40	1556145664	1598029824	199410176	1598029824
PREFILL		41	1562437120	1598029824	203604480	1598029824
PREFILL		42	1566631424	1598029824	207798784	1598029824
PREFILL		43	1570825728	1614807040	211993088	1614807040
PREFILL		44	1575020032	1614807040	216187392	1614807040
PREFILL		45	1580262912	1614807040	221430272	1614807040
PREFILL		46	1585505792	1614807040	225624576	1614807040
PREFILL		47	1588651520	1631584256	228770304	1631584256
DECODE	0	0	1505369088	2877292544	209876480	2877292544
DECODE	0	1	1506399744	2877292544	209879040	2877292544
DECODE	0	2	1506417152	2877292544	210924544	2877292544
DECODE	0	3	1507466752	2877292544	210926592	2877292544
DECODE	0	4	1507468800	2877292544	210928640	2877292544
DECODE	0	5	1508517376	2877292544	210930688	2877292544
DECODE	0	6	1509565952	2877292544	210932736	2877292544
DECODE	0	7	1508520448	2877292544	210934784	2877292544
DECODE	0	8	1508518400	2877292544	211981312	2877292544
DECODE	0	9	1508520448	2877292544	211983360	2877292544
DECODE	0	10	1508522496	2877292544	211985408	2877292544
DECODE	0	11	1508524544	2877292544	211987456	2877292544
DECODE	0	12	1508526592	2877292544	211989504	2877292544
DECODE	0	13	1508528640	2877292544	211991552	2877292544
DECODE	0	14	1508530688	2877292544	211993600	2877292544
DECODE	0	15	1508532736	2877292544	211995648	2877292544
DECODE	0	16	1508534784	2877292544	211997696	2877292544
DECODE	0	17	1508536832	2877292544	211999744	2877292544
DECODE	0	18	1506441728	2877292544	212001792	2877292544
DECODE	0	19	1506443776	2877292544	212003840	2877292544
DECODE	0	20	1508542976	2877292544	212005888	2877292544
DECODE	0	21	1510640128	2877292544	213054464	2877292544
DECODE	0	22	1510642176	2877292544	213056512	2877292544
DECODE	0	23	1510644224	2877292544	213058560	2877292544
DECODE	0	24	1510645248	2877292544	214108160	2877292544
DECODE	0	25	1510646272	2877292544	215157760	2877292544
DECODE	0	26	1510648320	2877292544	215159808	2877292544
DECODE	0	27	1510650368	2877292544	215161856	2877292544
DECODE	0	28	1510651392	2877292544	216211456	2877292544
DECODE	0	29	1510653440	2877292544	216213504	2877292544
DECODE	0	30	1510654464	2877292544	217263104	2877292544
DECODE	0	31	1510656512	2877292544	217265152	2877292544
DECODE	0	32	1510658560	2877292544	217267200	2877292544
DECODE	0	33	1510660608	2877292544	217269248	2877292544
DECODE	0	34	1512758784	2877292544	218318848	2877292544
DECODE	0	35	1514854912	2877292544	220414976	2877292544
DECODE	0	36	1516953088	2877292544	221464576	2877292544
DECODE	0	37	1519051264	2877292544	222514176	2877292544
DECODE	0	38	1519053312	2877292544	222516224	2877292544
DECODE	0	39	1518006784	2877292544	222518272	2877292544
DECODE	0	40	1521151488	2877292544	223567872	2877292544
DECODE	0	41	1520104960	2877292544	223569920	2877292544
DECODE	0	42	1520107008	2877292544	223571968	2877292544
DECODE	0	43	1521155584	2877292544	224620544	2877292544
DECODE	0	44	1520068096	2877292544	224622592	2877292544
DECODE	0	45	1522162176	2877292544	225672192	2877292544
DECODE	0	46	1525288448	2877292544	226721792	2877292544
DECODE	0	47	1525305856	2877292544	227767296	2877292544
DECODE	1	0	1527384064	2877292544	227768832	2877292544
DECODE	1	1	1528472064	2877292544	228817920	2877292544
DECODE	1	2	1527467520	2877292544	228823040	2877292544
DECODE	1	3	1528505856	2877292544	229861376	2877292544
DECODE	1	4	1529515520	2877292544	230871040	2877292544
DECODE	1	5	1528471040	2877292544	230873088	2877292544
DECODE	1	6	1528471040	2877292544	231919616	2877292544
DECODE	1	7	1529519616	2877292544	232968192	2877292544
DECODE	1	8	1529523712	2877292544	232972288	2877292544
DECODE	1	9	1530564096	2877292544	235061248	2877292544
DECODE	1	10	1530566144	2877292544	235063296	2877292544
DECODE	1	11	1531616768	2877292544	236111872	2877292544
DECODE	1	12	1531616768	2877292544	236113920	2877292544
DECODE	1	13	1530574336	2877292544	236115968	2877292544
DECODE	1	14	1531618816	2877292544	237164544	2877292544
DECODE	1	15	1532673536	2877292544	238213120	2877292544
DECODE	1	16	1533715968	2877292544	239261696	2877292544
DECODE	1	17	1534772736	2877292544	240310272	2877292544
DECODE	1	18	1535811072	2877292544	241356800	2877292544
DECODE	1	19	1535824384	2877292544	241358848	2877292544
DECODE	1	20	1537902080	2877292544	243451904	2877292544
DECODE	1	21	1536857600	2877292544	242407424	2877292544
DECODE	1	22	1537894912	2877292544	243444736	2877292544
DECODE	1	23	1538954752	2877292544	244504576	2877292544
DECODE	1	24	1540002304	2877292544	245545984	2877292544
DECODE	1	25	1542097408	2877292544	246593536	2877292544
DECODE	1	26	1543149056	2877292544	247642112	2877292544
DECODE	1	27	1543151104	2877292544	247644160	2877292544
DECODE	1	28	1540009472	2877292544	246598656	2877292544
