phase	decode_step	layer	assignments	unique_experts	expert_ids_sha	histogram_sha
PREFILL		0	16384	75	f25cdc55a0907e7e984fd45fa48315cca60a318e17c36e70bab11f8b46f6f738	5b4de60168da3cbd1117d76a0f6520082265fb97f29576f5d19d8743ba67f983
PREFILL		1	16384	74	de8a9297d7b6bc480c9cc9c14426d5737e50a60c2552c73ca80cb08a6628e5e2	52fbf748e747b9b5f69c8fa92dc8f6e5a754689a9a0f71bd3d37e5580adb8ae0
PREFILL		2	16384	72	9b73a09e23f1100f57de6400bb8215e5621347eb7159696239375d6346166517	759b8d3b73a41c7a205653cfcd3918a41990f88d95bc40ccf0adc894a222b8cf
PREFILL		3	16384	87	94af608b9690a0b4207f74f40ec5422a2f4b5c11a2bfcaa185c542a94e09beb2	96d311ecd3bf6843c242690d56962a1f9c5fb96a285600976b25d5edefbe301b
PREFILL		4	16384	82	005e114577bd01bf85fcf13ef5ae3f03d12139e467fa1c4564b18d7af0cd26f2	38ce71a76a11a832b69463c286cac6a7b56b756e22fb9c83646f3ec16c770909
PREFILL		5	16384	86	d0d4a29917535854520d2fb0f8f7ff2652f19a1d41c75c3d1df139526f8f26f6	b76f1c1fefbd470b6adcb2b96aff9d4d756e4208d7ea4faf1ff6dea4c6381ea0
PREFILL		6	16384	72	88cfe9274f86cd137fa051f0686ae743445d7d60631600abd808013b006866fb	730a0ea2b982136ae76129f69c1b7aae3c1002d3147aaa7e51e8740f67f1c8e8
PREFILL		7	16384	75	613eb0288ea2b7ccfb75d325113d9a23af97272a62e774611298141bb1f01cb4	e9c88365af2ba51578aa0a4730adf1170e26395a3732ec389d3da4a086238f16
PREFILL		8	16384	85	818e6d196a41dbd507fa642602289d6d8ea9674c0cc3b47b12df5d4bb02de8d1	bed54b4b058b36993b661be446f0e4183c99e421bf85b79dd9b377606c11b938
PREFILL		9	16384	86	2aa5cbce9dffcf21b32141912dc67ec62c9eae8cdb93cf3a5bfc2b46c5d98427	1005d0523313cd92f8783fb5f483096c1f72360fa43157ae797c11741efd9c52
PREFILL		10	16384	83	f6a025ef6834e867d2d874ea1ed75a758831c741e70cabcbe0bca713a62a1b47	3a926f5dd5e9a83c18d133cbee28b27559fa06ec9260ff9b6167b32f017ce410
PREFILL		11	16384	89	2e6066327eba03748083fd1524e04674a8fde28fbd96508a836c382a4b5c675a	43f50f5f9d617afad26dda12d15cc236a27853cbd2bdcb2889a2a6fdb61b1ce6
PREFILL		12	16384	92	bfb26d04f5a9b16cc2166c5586e8ed00e693eb3b24dfcea64b17d5693ddec78d	152cf0aad1a5c2cfb10be2edf10b99b3b1f0f539e89e7c9662ae912ae724b30e
