phase	decode_step	layer	input_shape	output_shape	output_sha	weight_bytes	kv_key_shape	kv_key_bytes	kv_value_shape	kv_value_bytes
DECODE	0	0	[1, 1, 2048]	[1, 1, 2048]	5825bbf83d169838736b3cecb582ce2458b14b65445b332c5727ed358dff9f9d	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	1	[1, 1, 2048]	[1, 1, 2048]	b067e2bd09a706ba200bc07f7592958da6a8088acfb6d8f61f9366aa1ea12359	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	2	[1, 1, 2048]	[1, 1, 2048]	77837f808d6572ab675d68a1e2d3d96e0a73a0d4103624fc125d0dae19352706	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	3	[1, 1, 2048]	[1, 1, 2048]	24ebb32a98bb56ddccf539d1aebd04d19043aafb1ad945338587c21051f89662	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	4	[1, 1, 2048]	[1, 1, 2048]	ca2f9ddee5e59e21a620f59ed601f58388bc8dc7bde6ff07a8956cebefe2ca5d	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	5	[1, 1, 2048]	[1, 1, 2048]	47cd13cf1e18d648c533ce3257b8a290320a97e5b0cd2e96f000c88bdffc3174	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	6	[1, 1, 2048]	[1, 1, 2048]	35ebae7054b121ae1ba868a8267c4a7be02dab8fa5740507f8a35876feab4e63	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	7	[1, 1, 2048]	[1, 1, 2048]	20e8004af162bb56b0daf46c5a436acbc494d74ffeb26ebc6677ec51434a3601	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	8	[1, 1, 2048]	[1, 1, 2048]	f0cb0ec9a37bdb828002910fa135e6eeb93f4df804a3a92ad57314ee70cbf2f1	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	9	[1, 1, 2048]	[1, 1, 2048]	4759d7857127152d2305269afa1a94d35b954f02d46296b0f75c3b4ed1f6326b	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	10	[1, 1, 2048]	[1, 1, 2048]	d63a32aae6ca258f42cff568e971517c63a82e176a1b89a6476a7bfabb04337f	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	11	[1, 1, 2048]	[1, 1, 2048]	f3d7a9ee7371afc062a86cb64ef7aff10a36ab0a65630d8865f03e09c4b08fb3	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	12	[1, 1, 2048]	[1, 1, 2048]	70f1475aa97b572504b0e0075632a66c02eebf57e9bd66b0366efdc274b9512f	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	13	[1, 1, 2048]	[1, 1, 2048]	3ca3c039566bda114fcfea6ab51a650b3fed2e56667d8f0947b01dded571ab9d	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	14	[1, 1, 2048]	[1, 1, 2048]	11447592a45b8b54259bbce62b49fddf1014f5ecb94d1b5c9cf82e3407c2b28d	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	15	[1, 1, 2048]	[1, 1, 2048]	fcc7d0114ac60ecad38a23df355ff9b08c044a9be5e0dd40cc4d615177c5c183	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	16	[1, 1, 2048]	[1, 1, 2048]	9c6767c76385de59e826fbae023fc4902d2ddfcfc06df5a4d7d145843701ab82	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	17	[1, 1, 2048]	[1, 1, 2048]	222ad7875ad825db56dbd7a2ad42adc7720d080de27efddb5beced10bfd720ea	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	18	[1, 1, 2048]	[1, 1, 2048]	5e588d23c17760190575a735842681face3d2b5171f4bdb560402e755b283d94	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	19	[1, 1, 2048]	[1, 1, 2048]	bb819c08f6f7af4038e665ab60c5575a16b0cad5cf731439499480c4956f7e3a	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
DECODE	0	20	[1, 1, 2048]	[1, 1, 2048]	a414643913803aa23cc4bb6f252bf5e6f2a7909426efa84784c77b6d7dd733b1	1246241280	[1, 4, 2049, 128]	2098176	[1, 4, 2049, 128]	2098176
