scope	target	arm	path	sha256	bytes
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/command.json	1bc6569b0c9d5908b9b5a0730a70079e0f82ae68c45b818b9a6d95b092dbc28c	3109
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/end_utc.txt	4edd6151b7c1750382ed22b4621ab5d0803e778df0ff5de7867b765e37ae1b7d	21
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/gpgpu_inst_stats.txt	bb21a46c51c2cab168764097ace9a99a20b455a56bd49fe2c1eb78696a32a0b8	133
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/rc.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/run.log	ff4fa49cbaba30ec0932907d46051d91d0ec5cf73d0b3d9542c5394cb3175af0	131660
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/run.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/start_utc.txt	713c953ffaf79230609188eb4c2656078ffbec0c3f58146b80c057b4113ce438	21
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/traces/kernelslist.g	a8b4ba1cf33f34be345b38908cb39572c0d14972170fd1972b4b080e81154fd5	39
REUSED_BASELINE	T0	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T0_REFERENCE_OBSERVATORY_L1_10_80/wall_seconds.txt	16ae01e7b65480ca80fa1b8b997fa627affda3a4ec034584b3a717083ae1c816	11
REUSED_BASELINE	T1	BASELINE	/root/share/mnt164/huangrulin/awma_post_classic_baseline_residual_discovery_v1/observatory_raw/T1_REFERENCE_OBSERVATORY_L1_10_80/command.json	8a504c5cc08ecd52174ac04fb29481e65f3ee6685cb501524096ac40fbe01c58	3108
