target	domain	arm	status	baseline_cycles	cycles	cycle_response_percent	instructions	ctas	work_conserved	correctness	l1_reservation_fail	l2_reservation_fail	ldst_resource	ldst_coal	ldst_icnt	dram_queue_mean	eligible_structural	dependency_scoreboard	raw_dir
T0	D1_EXECUTION_SFU	SFU_2X	SKIPPED_SOURCE_COUPLING	488559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_RUN
T0	D2_L1D_LATENCY	L1_LAT_2X	PASS	488559	448768	8.144564	368696302	224	True	True	75940	157470	1669108	6925663	913399	7.618614015	74239793	4858195	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/T0__L1_LAT_2X
T1	D1_EXECUTION_TENSOR	TENSOR_2X	INVALID_SOURCE_COUPLING	619514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/T1__TENSOR_2X
T1	D3_L2_CAPACITY	L2_CAP_2X	PASS	619514	619514	0.000000	369131520	384	True	True	823434	146772	3867668	7908820	3010101	0.860284561	158006367	2400204	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/T1__L2_CAP_2X
T2	D2_L1D_RESERVATION	L1_MSHR_2X	PASS	94034	91362	2.841525	43357696	1216	True	True	21794	109098	135026	3514061	0	42.754647696	11072211	12328762	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/T2__L1_MSHR_2X
T2	D5_DRAM_SERVICE	DRAM_2X	PASS	94034	92816	1.295276	43357696	1216	True	True	1239875	77440	445842	3333923	0	47.777974105	11461704	12481902	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/T2__DRAM_2X
SPLITKV	D3_L2_RESERVATION	L2_MSHR_2X	PASS	72817	72372	0.611121	36599648	126	True	True	0	7528	222264	720305	717974	45.49683691	5350044	4501049	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/SPLITKV__L2_MSHR_2X
SPLITKV	D5_DRAM_SERVICE	DRAM_2X	PASS	72817	77061	-5.828309	36599648	126	True	True	0	134224	222264	718819	801474	37.266551054	5742832	4460141	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/SPLITKV__DRAM_2X
L2	D1_EXECUTION_SFU	SFU_2X	SKIPPED_SOURCE_COUPLING	28335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NOT_RUN
L2	D3_L2_RESERVATION	L2_MSHR_2X	PASS	28335	28353	-0.063526	19397000	64	True	True	0	832	117728	352327	19313	32.40771828	1769406	2142321	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/L2__L2_MSHR_2X
L1	D2_L1D_RESERVATION	L1_MSHR_2X	PASS	320808	297020	7.415027	138166272	2048	True	True	14663463	345643	4103404	14690323	0	45.804731399	74783139	3842388	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/L1__L1_MSHR_2X
L1	D5_DRAM_SERVICE	DRAM_2X	PASS	320808	296316	7.634473	138166272	2048	True	True	17199821	411442	4723323	13995451	0	44.558829657	74769979	2848127	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/L1__DRAM_2X
M1	D2_L1D_RESERVATION	L1_MSHR_2X	PASS	57107	55867	2.171363	17270784	256	True	True	826824	65612	239352	1772224	0	30.230448951	7272638	2324616	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/M1__L1_MSHR_2X
M1	D5_DRAM_SERVICE	DRAM_2X	PASS	57107	56019	1.905196	17270784	256	True	True	1837547	41241	479775	1767076	0	28.923835143	8083459	1550635	/root/share/mnt164/huangrulin/awma_ai_gpu_resource_bottleneck_characterization_v1/raw/M1__DRAM_2X
