condition	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
BASELINE	0	25.463808059692383	25.365503311157227	25.555648803710938	0.0026152113945181097	[25.365503311157227, 25.458688735961914, 25.463808059692383, 25.555648803710938, 25.542240142822266, 25.506816864013672, 25.392127990722656]
BASELINE	1	14.054400444030762	14.035967826843262	14.072832107543945	0.0008036335924165522	[14.057472229003906, 14.035967826843262, 14.040063858032227, 14.054400444030762, 14.057472229003906, 14.053376197814941, 14.072832107543945]
BASELINE	2	14.062591552734375	14.036031723022461	14.071807861328125	0.0009215334025369176	[14.062591552734375, 14.036031723022461, 14.039039611816406, 14.06054401397705, 14.065664291381836, 14.065664291381836, 14.071807861328125]
BASELINE	3	14.050304412841797	14.024703979492188	14.06668758392334	0.00096724972882236	[14.056511878967285, 14.024703979492188, 14.030847549438477, 14.049407958984375, 14.053376197814941, 14.050304412841797, 14.06668758392334]
SETASIDE_ONLY	0	25.50364875793457	25.36969566345215	25.620479583740234	0.0029090924524535103	[25.50364875793457, 25.488384246826172, 25.620479583740234, 25.561952590942383, 25.51091194152832, 25.445951461791992, 25.36969566345215]
SETASIDE_ONLY	1	13.625344276428223	13.607935905456543	13.628416061401367	0.0004984162656131978	[13.626367568969727, 13.626367568969727, 13.628416061401367, 13.616127967834473, 13.625344276428223, 13.621248245239258, 13.607935905456543]
SETASIDE_ONLY	2	13.623295783996582	13.618176460266113	13.632512092590332	0.00036600323853080134	[13.624320030212402, 13.618176460266113, 13.630463600158691, 13.623295783996582, 13.632512092590332, 13.619199752807617, 13.622271537780762]
SETASIDE_ONLY	3	13.627840042114258	13.614080429077148	13.631487846374512	0.0004829493654696266	[13.628416061401367, 13.619199752807617, 13.629440307617188, 13.616127967834473, 13.631487846374512, 13.627840042114258, 13.614080429077148]
PERSIST_L0_UP	0	25.549055099487305	25.350143432617188	25.69011116027832	0.0046542870213587915	[25.61395263671875, 25.350143432617188, 25.467103958129883, 25.582592010498047, 25.363040924072266, 25.69011116027832, 25.549055099487305]
PERSIST_L0_UP	1	13.633536338806152	13.626367568969727	13.65503978729248	0.0007887810574034839	[13.630463600158691, 13.627391815185547, 13.65503978729248, 13.633536338806152, 13.626367568969727, 13.638879776000977, 13.651968002319336]
PERSIST_L0_UP	2	13.631487846374512	13.624320030212402	13.649920463562012	0.0006027983423461121	[13.625344276428223, 13.649920463562012, 13.631487846374512, 13.632512092590332, 13.624320030212402, 13.630463600158691, 13.639679908752441]
PERSIST_L0_UP	3	13.630463600158691	13.623295783996582	13.641728401184082	0.0005110853949973254	[13.623295783996582, 13.641728401184082, 13.641728401184082, 13.624320030212402, 13.628416061401367, 13.630463600158691, 13.630463600158691]
PERSIST_L14_UP	0	25.53446388244629	25.350143432617188	25.66646385192871	0.003689481112594167	[25.350143432617188, 25.66646385192871, 25.53446388244629, 25.588287353515625, 25.50476837158203, 25.448223114013672, 25.559040069580078]
PERSIST_L14_UP	1	13.640704154968262	13.636608123779297	13.649151802062988	0.00026231569295160153	[13.640704154968262, 13.639679908752441, 13.649151802062988, 13.636608123779297, 13.641728401184082, 13.639679908752441, 13.641728401184082]
PERSIST_L14_UP	2	13.640704154968262	13.622271537780762	13.645824432373047	0.0005358047848209046	[13.640704154968262, 13.645824432373047, 13.640704154968262, 13.622271537780762, 13.635583877563477, 13.642751693725586, 13.632896423339844]
PERSIST_L14_UP	3	13.63804817199707	13.624320030212402	13.64691162109375	0.0004874757418659289	[13.63804817199707, 13.643775939941406, 13.635807991027832, 13.636608123779297, 13.64691162109375, 13.639679908752441, 13.624320030212402]
PERSIST_L0_DOWN	0	25.478111267089844	25.403392791748047	25.5467529296875	0.001766808568732055	[25.5467529296875, 25.448448181152344, 25.403392791748047, 25.51910400390625, 25.51807975769043, 25.478111267089844, 25.47599983215332]
PERSIST_L0_DOWN	1	13.643775939941406	13.636927604675293	13.64684772491455	0.00023583211448187532	[13.643775939941406, 13.636927604675293, 13.643775939941406, 13.639679908752441, 13.64684772491455, 13.645824432373047, 13.643775939941406]
PERSIST_L0_DOWN	2	13.644800186157227	13.627391815185547	13.660160064697266	0.0007337052900443731	[13.627391815185547, 13.645824432373047, 13.637632369995117, 13.633536338806152, 13.648896217346191, 13.660160064697266, 13.644800186157227]
PERSIST_L0_DOWN	3	13.637632369995117	13.633536338806152	13.649920463562012	0.00046350948741635486	[13.634559631347656, 13.640000343322754, 13.649215698242188, 13.633536338806152, 13.637632369995117, 13.649920463562012, 13.635583877563477]
