Launch Settings
"Launch Attribute","Value"
"Profiler Command Line","/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L14_UP_L14_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L14_UP_D3_PERSIST_L14_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L14_UP --run-index 140 "

Session Info
"Session Attribute","Value"
"Created","2026-Sep-23 20:14:56"
"Host Name","PC"
"Host OS","Linux - #31~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Mon Aug 10 09:38:02 UTC 2"
"Host Architecture","x86_64"
"Host Processor","13th Gen Intel(R) Core(TM) i7-13700"
"Target Name","PC"
"Target IP Addresses","10.156.120.109, 172.17.0.1, 2400:dd01:1034:4120:631a:8cd7:e171:e3ef, 2400:dd01:1034:4120:e6ee:806f:dcc2:b9e4, 2400:dd01:1034:4120:67c:16ff:fef8:d80b, fe80::67c:16ff:fef8:d80b%eno1"
"Target OS","Linux - #31~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Mon Aug 10 09:38:02 UTC 2"
"Target Architecture","x86_64"
"Target Processor","13th Gen Intel(R) Core(TM) i7-13700"
"CUDA Version","13.0"
"PerfWorks","0.1.0"
"Nsight Compute Target","2025.1.1.0 (build 35528883) (public-release)"

Processes
"Process Id","Process Name"
"1297346","/data/c16/env/cpython-3.10.12/bin/python3.10"

Device Attributes
"Device Attribute","Device 0"
"confidential_computing_mode","No-CC"
"multiprocessor_count","76"
"display_name","NVIDIA GeForce RTX 4080"
"compute_capability_major","8"
"compute_capability_minor","9"
"total_memory","16718168064"
