profile_id	condition	target	decode_index	token_id	nvtx_range	kernel_count	kernel_names	replay_pass_count	l1tex__t_bytes.sum	lts__t_bytes.sum	dram__bytes.sum	unit	input_sha256	output_sha256	policy_receipt	profiler_command
L0_DOWN_D3_BASELINE	BASELINE	L0_DOWN	3	3950	C16_E1_L2P_BASELINE_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	45932544.0	41194496.0	36592896.0	byte	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded	"{""access_policy_window"": null, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 0, ""condition"": ""BASELINE"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}], ""requested_setaside_bytes"": 0, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_BASELINE_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_DOWN_D3_BASELINE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition BASELINE --run-index 200
L0_DOWN_D3_PERSIST_L0_DOWN	PERSIST_L0_DOWN	L0_DOWN	3	3950	C16_E1_L2P_PERSIST_L0_DOWN_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	45932544.0	41182720.0	35220480.0	byte	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded	"{""access_policy_window"": {""base_ptr"": 128412375056384, ""hit_property"": ""cudaAccessPropertyPersisting"", ""hit_ratio"": 1.0, ""miss_property"": ""cudaAccessPropertyStreaming"", ""num_bytes"": 33947648}, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 37748736, ""condition"": ""PERSIST_L0_DOWN"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set stream access-policy window"", ""status"": 0}], ""requested_setaside_bytes"": 33947648, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_DOWN_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_DOWN_D3_PERSIST_L0_DOWN /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_DOWN --run-index 200
L0_DOWN_D3_PERSIST_L0_UP	PERSIST_L0_UP	L0_DOWN	3	3950	C16_E1_L2P_PERSIST_L0_UP_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	45932544.0	41195808.0	35371648.0	byte	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded	"{""access_policy_window"": {""base_ptr"": 126640868818944, ""hit_property"": ""cudaAccessPropertyPersisting"", ""hit_ratio"": 1.0, ""miss_property"": ""cudaAccessPropertyStreaming"", ""num_bytes"": 33947648}, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 37748736, ""condition"": ""PERSIST_L0_UP"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set stream access-policy window"", ""status"": 0}], ""requested_setaside_bytes"": 33947648, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_UP_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_DOWN_D3_PERSIST_L0_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_UP --run-index 200
L0_DOWN_D3_SETASIDE_ONLY	SETASIDE_ONLY	L0_DOWN	3	3950	C16_E1_L2P_SETASIDE_ONLY_L0_DOWN_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	45932544.0	41192160.0	35381376.0	byte	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded	"{""access_policy_window"": null, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 37748736, ""condition"": ""SETASIDE_ONLY"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}], ""requested_setaside_bytes"": 33947648, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_SETASIDE_ONLY_L0_DOWN_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_DOWN_D3_SETASIDE_ONLY /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition SETASIDE_ONLY --run-index 200
L0_UP_D1_BASELINE	BASELINE	L0_UP	1	11	C16_E1_L2P_BASELINE_L0_UP_D1	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	47284224.0	41711360.0	49462016.0	byte	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b	"{""access_policy_window"": null, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 0, ""condition"": ""BASELINE"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}], ""requested_setaside_bytes"": 0, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_BASELINE_L0_UP_D1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_UP_D1_BASELINE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition BASELINE --run-index 100
L0_UP_D1_PERSIST_L0_UP	PERSIST_L0_UP	L0_UP	1	11	C16_E1_L2P_PERSIST_L0_UP_L0_UP_D1	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	47284224.0	41726144.0	36474112.0	byte	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b	"{""access_policy_window"": {""base_ptr"": 138699526373376, ""hit_property"": ""cudaAccessPropertyPersisting"", ""hit_ratio"": 1.0, ""miss_property"": ""cudaAccessPropertyStreaming"", ""num_bytes"": 33947648}, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 37748736, ""condition"": ""PERSIST_L0_UP"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set stream access-policy window"", ""status"": 0}], ""requested_setaside_bytes"": 33947648, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_UP_L0_UP_D1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_UP_D1_PERSIST_L0_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_UP --run-index 100
L0_UP_D1_PERSIST_L14_UP	PERSIST_L14_UP	L0_UP	1	11	C16_E1_L2P_PERSIST_L14_UP_L0_UP_D1	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	47284224.0	41721568.0	35469056.0	byte	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b	"{""access_policy_window"": {""base_ptr"": 138157018316800, ""hit_property"": ""cudaAccessPropertyPersisting"", ""hit_ratio"": 1.0, ""miss_property"": ""cudaAccessPropertyStreaming"", ""num_bytes"": 33947648}, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 37748736, ""condition"": ""PERSIST_L14_UP"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set stream access-policy window"", ""status"": 0}], ""requested_setaside_bytes"": 33947648, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L14_UP_L0_UP_D1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_UP_D1_PERSIST_L14_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L14_UP --run-index 100
L0_UP_D1_SETASIDE_ONLY	SETASIDE_ONLY	L0_UP	1	11	C16_E1_L2P_SETASIDE_ONLY_L0_UP_D1	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	47284224.0	41713600.0	44848128.0	byte	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b	"{""access_policy_window"": null, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 37748736, ""condition"": ""SETASIDE_ONLY"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}], ""requested_setaside_bytes"": 33947648, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_SETASIDE_ONLY_L0_UP_D1/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_UP_D1_SETASIDE_ONLY /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition SETASIDE_ONLY --run-index 100
L0_UP_D3_BASELINE	BASELINE	L0_UP	3	3950	C16_E1_L2P_BASELINE_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	47284224.0	41708160.0	49124352.0	byte	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	abb444c62e12fec00485479cc7d40d69aa816d2965f7ba1af6f781a3ede0d142	"{""access_policy_window"": null, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 0, ""condition"": ""BASELINE"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}], ""requested_setaside_bytes"": 0, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_BASELINE_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_UP_D3_BASELINE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition BASELINE --run-index 100
L0_UP_D3_PERSIST_L0_UP	PERSIST_L0_UP	L0_UP	3	3950	C16_E1_L2P_PERSIST_L0_UP_L0_UP_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	1	47284224.0	41718752.0	36587264.0	byte	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	abb444c62e12fec00485479cc7d40d69aa816d2965f7ba1af6f781a3ede0d142	"{""access_policy_window"": {""base_ptr"": 129476688084992, ""hit_property"": ""cudaAccessPropertyPersisting"", ""hit_ratio"": 1.0, ""miss_property"": ""cudaAccessPropertyStreaming"", ""num_bytes"": 33947648}, ""actual_setaside_after_reset_bytes"": 0, ""actual_setaside_bytes"": 37748736, ""condition"": ""PERSIST_L0_UP"", ""operations_after"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 after condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""clear persisting-L2 limit after condition"", ""status"": 0}], ""operations_before"": [{""error_string"": ""no error"", ""operation"": ""clear stream access-policy before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""reset persisting L2 before condition"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set persisting-L2 limit"", ""status"": 0}, {""error_string"": ""no error"", ""operation"": ""set stream access-policy window"", ""status"": 0}], ""requested_setaside_bytes"": 33947648, ""reset_after"": true, ""reset_before"": true, ""stream_value"": 0}"	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_L2P_PERSIST_L0_UP_L0_UP_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_l2_persistence_intervention_v1/ncu/natural/reports/L0_UP_D3_PERSIST_L0_UP /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_l2_persistence_natural.py --condition PERSIST_L0_UP --run-index 100
