option	value	source_config
-dram_bnk_indexing_policy	0	configs/dtc_l1/fast64/FAST64_BASE.config
-dram_bnkgrp_indexing_policy	1	configs/dtc_l1/fast64/FAST64_BASE.config
-dram_data_command_freq_ratio	2	configs/dtc_l1/fast64/FAST64_BASE.config
-dram_dual_bus_interface	1	configs/dtc_l1/fast64/FAST64_BASE.config
-dram_latency	100	configs/dtc_l1/fast64/FAST64_BASE.config
-enable_ptx_file_line_stats	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_TB_launch_latency	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_adaptive_cache_config	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_cache:dl1	N:32:128:20,L:T:m:L:L,A:512:8,16:0,32	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config
-gpgpu_cache:dl1PrefL1	N:32:128:20,L:T:m:L:L,A:512:8,16:0,32	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config
-gpgpu_cache:dl1PrefShared	N:32:128:20,L:T:m:L:L,A:512:8,16:0,32	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config
-gpgpu_cache:dl2	S:128:128:16,L:B:m:L:L,A:192:4,32:0,32	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_cache:dl2_texture_only	0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_cache:il1	N:64:128:16,L:R:f:N:L,S:2:48,4	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_clock_domains	1410.0:1410.0:1410.0:850.0	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_clock_gated_lanes	1	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_coalesce_arch	70	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_compute_capability_major	7	configs/dtc_l1/fast64/FAST64_BASE.config
-gpgpu_compute_capability_minor	0	configs/dtc_l1/fast64/FAST64_BASE.config
