snapshot_utc	workload	variant	cycles	instructions	pib_admits	validation	attempt_dir	evidence_boundary
2026-09-23T00:24:32Z	2DConvolution	B16-N	2676088	620347492	5240320	PASS strict	 sg1_g6_B16-N_2DConvolution_9623f41f-d3c1-4405-ac6f-10ca046fd84e	G6 canonical normal control
2026-09-23T00:24:32Z	2DConvolution	B16-S	2247155	620347492	5240320	PASS strict	 sg1_g6_B16-S_2DConvolution_9cc3f401-0612-4213-a484-e6ba4ca025f1	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	2DConvolution	TC80-N	1991426	620347492	5240320	PASS strict	 sg1_g6_TC80-N_2DConvolution_5b48158c-1746-4f7d-8041-aa5494572c7e	G6 canonical normal control
2026-09-23T00:24:32Z	2DConvolution	TC80-S	1585900	620347492	5240320	PASS strict	 sg1_g6_TC80-S_2DConvolution_4bbf027c-16ad-4044-802c-01769bd444eb	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	ATAX	B16-N	86884148	145666048	3145984	PASS strict	 sg1_g6_B16-N_ATAX_468c2ecd-1ef1-45ae-8361-3808a2e7bd50	G6 canonical normal control
2026-09-23T00:24:32Z	ATAX	B16-S	90196286	145666048	3145984	PASS strict	 sg1_g6_B16-S_ATAX_be08d4ff-5a3c-412c-be30-71da04133ce8	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	ATAX	TC80-N	29221093	145666048	3145984	PASS strict	 sg1_g6_TC80-N_ATAX_098a3e79-71c6-4223-9033-fccc942c78a0	G6 canonical normal control
2026-09-23T00:24:32Z	ATAX	TC80-S	31517615	145666048	3145984	PASS strict	 sg1_g6_TC80-S_ATAX_18cd8fda-8094-40ab-8727-ef2648c3eca9	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	BICG	B16-S	89507043	145666048	3145984	PASS strict	 sg1_g6_B16-S_BICG_5a17ceb2-f159-465e-aef9-74b210a2a271	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	BICG	TC80-S	26606829	145666048	3145984	PASS strict	 sg1_g6_TC80-S_BICG_9c223286-69df-4790-b7cc-4700868d6c60	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	Btree	B16-S	370647	444467849	1927551	PASS strict	 sg1_g6_B16-S_Btree_da1d7388-d0f6-40c7-b256-e5c3d86e2fad	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	Btree	TC80-S	320010	444467849	1927551	PASS strict	 sg1_g6_TC80-S_Btree_4a73e933-6346-41d8-a67c-ec343a12fe44	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	GESUMMV	B16-N	172310437	190918656	4194560	PASS strict	 sg1_g6_B16-N_GESUMMV_287f9ce0-da6a-4492-969c-a0bc3168633e	G6 canonical normal control
2026-09-23T00:24:32Z	GESUMMV	TC80-N	90638332	190918656	4194560	PASS strict	 sg1_g6_TC80-N_GESUMMV_073ade8a-3042-440d-abf6-0a8d006a371f	G6 canonical normal control
2026-09-23T00:24:32Z	GESUMMV	TC80-S	91370507	190918656	4194560	PASS strict	 sg1_g6_TC80-S_GESUMMV_710d4b7b-e46d-4c7e-9035-e6874e41f301	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	Gaussian	B16-N	4227927	283685120	743656	PASS strict	 sg1_g6_B16-N_Gaussian_6aff199e-4222-49a3-aadd-ccec44083b6b	G6 canonical normal control
2026-09-23T00:24:32Z	Gaussian	B16-S	4209353	283685120	743656	PASS strict	 sg1_g6_B16-S_Gaussian_e4597b94-0ec0-45aa-aee3-44acd6b34a54	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	Gaussian	TC80-N	3466619	283685120	743656	PASS strict	 sg1_g6_TC80-N_Gaussian_65281f75-e17f-4d01-a0ec-4955bb459e42	G6 canonical normal control
2026-09-23T00:24:32Z	Gaussian	TC80-S	3390360	283685120	743656	PASS strict	 sg1_g6_TC80-S_Gaussian_f3ea7498-c471-440e-a9ae-95b2a7d89c79	G6 same-Core sector fairness control
2026-09-23T00:24:32Z	MRI-Q	B16-N	366218	1411757056	21792	PASS strict	 sg1_fast12_B16-N_MRI-Q_4bbbc7db-133a-4b49-8f4d-2d53a5809ddb	FAST12 provisional immutable attempt; not final paper evidence before G6 gate
2026-09-23T00:24:32Z	MRI-Q	TC80-N	367214	1411757056	21792	PASS strict	 sg1_fast12_TC80-N_MRI-Q_0fed813b-e0d9-419d-9ee4-04a0b616b812	FAST12 provisional immutable attempt; not final paper evidence before G6 gate
