snapshot_utc	workload	variant	cycles	instructions	pib_admits	validation	attempt_dir	evidence_boundary
2026-09-23T12:55:12Z	DWT2D	B16-N	340834	148684429	437886	PASS strict	sg1_fast12_B16-N_DWT2D_226e445e-5559-4b8d-a154-31cbb7db6cbd	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	DWT2D	TC80-N	330548	148684429	437886	PASS strict	sg1_fast12_TC80-N_DWT2D_2fcfe628-8971-47ea-94c3-5d65c9c3ba8a	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	GEMM	B16-N	2583946	739246080	12599296	PASS strict	sg1_fast12_B16-N_GEMM_5ff9747f-8015-45db-bee8-d25cffc5d808	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	GEMM	TC80-N	2015527	739246080	12599296	PASS strict	sg1_fast12_TC80-N_GEMM_274c413e-4e7f-4560-a391-e1a44826c048	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	GESUMMV	B16-S	200180049	190918656	4194560	PASS strict	sg1_g6_B16-S_GESUMMV_9a8ded2b-d727-45e4-b877-67dbd4143cb9	G6 same-Core sector fairness control
2026-09-23T12:55:12Z	Hotspot1	B16-N	154621	377291004	161336	PASS strict	sg1_fast12_B16-N_Hotspot1_fb882d61-314e-4c87-a193-71e562beeb34	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	Hotspot1	TC80-N	109473	377291004	161336	PASS strict	sg1_fast12_TC80-N_Hotspot1_a5d8fa75-892f-41d9-b200-ca2880c8f254	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	LUD	B16-N	1143943	184963840	373488	PASS strict	sg1_fast12_B16-N_LUD_2a525809-3c6a-4c9c-a828-70431c409aa6	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	LUD	TC80-N	1111018	184963840	373488	PASS strict	sg1_fast12_TC80-N_LUD_129af82b-e05e-4727-b652-59e315b0ba40	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	NN	B16-N	6957	1284872	4011	PASS strict	sg1_fast12_B16-N_NN_b03243cc-d327-46e2-8e57-bb35d8f51e39	FAST12 immutable attempt, eligible after canonical G6 closure
2026-09-23T12:55:12Z	NN	TC80-N	6957	1284872	4011	PASS strict	sg1_fast12_TC80-N_NN_2a0208fa-e7a4-4c5f-b450-1a886fe64e1e	FAST12 immutable attempt, eligible after canonical G6 closure
