schema	stage	workload	variant	instructions	trace_list_sha256	canonical_core_source_head	canonical_runtime_sha256	base_config	base_config_sha256	overlay	overlay_sha256	launch_gate	strict_validation	evidence_boundary
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	ATAX	B16-N	145666048	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	ATAX	TC80-N	145666048	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	BICG	B16-N	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	BICG	TC80-N	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	GESUMMV	B16-N	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	GESUMMV	TC80-N	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	GEMM	B16-N	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	GEMM	TC80-N	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	2DConvolution	B16-N	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_B16_N_OVERLAY.config	658a13634cfc4a05e03437ed9b9a3922f9a91c2fce5d16c7b37784cfb38ccda8	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
SG1_CANONICAL_FAST12_PLAN_V1	D2B_FAST12	2DConvolution	TC80-N	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	6582b9d171330d88b17e8d5294c97704229e3823	4fcac62cd7bdccc5a49cc77950ffc45c60d5fce7c4ee44bba877e1fef2d07ef9	configs/dtc_l1/fast64/FAST64_BASE.config	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	docs/dtc_l1/iscas2027/granularity/sg1/config/SG1_TC80_N_OVERLAY.config	423832831f7d45757fcca350886dcf7a26cdd0158604a3b7c883638d006bbabd	D2B_G6_12_OF_12_STRICT_PASS+resource_slot	natural exit+authority trace/instruction+canonical core/runtime+NORMAL geometry+terminal PIB/drain	Fresh canonical primary-control evidence only; historical mixed-core rows remain preserved but nonfinal.
